date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2025-04-28,APPX,APPX,282000.0,28.2,0.0,282000.0,282000.0,0.0,0.0,282000.0,282000.0,BALANCED,12.0
2025-04-29,APPX,APPX,869000.0,28.96,0.0272,1151000.0,869000.0,0.0,0.0,1151000.0,1151000.0,BALANCED,14.0
2025-04-30,APPX,APPX,3505000.0,25.03,-0.1357,4656000.0,3505000.0,0.0,0.0,4656000.0,4656000.0,BALANCED,16.0
2025-05-01,APPX,APPX,0.0,26.92,0.0754,4656000.0,0.0,0.0,0.0,4656000.0,4656000.0,BALANCED,10.0
2025-05-02,APPX,APPX,-1131000.0,32.32,0.2005,3525000.0,0.0,-1131000.0,-1.0638,3525000.0,3525000.0,BALANCED,-18.5961
2025-05-05,APPX,APPX,155000.0,31.07,-0.0386,3680000.0,155000.0,0.0,-0.2938,3398000.0,3680000.0,BALANCED,4.6543
2025-05-06,APPX,APPX,0.0,31.63,0.018,3680000.0,0.0,0.0,-0.3644,2529000.0,3680000.0,BALANCED,0.8901
2025-05-07,APPX,APPX,3138000.0,31.38,-0.0079,6818000.0,3138000.0,0.0,1.4076,2162000.0,6818000.0,BALANCED,47.1893
2025-05-08,APPX,APPX,-777000.0,38.83,0.2374,6041000.0,0.0,-777000.0,-0.8977,1385000.0,6041000.0,BALANCED,-14.4436
2025-05-09,APPX,APPX,0.0,36.3,-0.065,6041000.0,0.0,0.0,-0.3934,2516000.0,6041000.0,BALANCED,0.1655
2025-05-12,APPX,APPX,811000.0,40.54,0.1168,6852000.0,811000.0,0.0,0.129,3172000.0,6852000.0,BALANCED,15.2247
2025-05-13,APPX,APPX,0.0,45.71,0.1274,6852000.0,0.0,0.0,-0.4073,3172000.0,6852000.0,BALANCED,-0.1825
2025-05-14,APPX,APPX,0.0,47.29,0.0345,6852000.0,0.0,0.0,-0.39,34000.0,6852000.0,BALANCED,0.2504
2025-05-15,APPX,APPX,2687000.0,44.78,-0.0531,9539000.0,2687000.0,0.0,1.4114,3498000.0,9539000.0,BALANCED,47.2846
2025-05-16,APPX,APPX,0.0,43.72,-0.0236,9539000.0,0.0,0.0,-0.4606,3498000.0,9539000.0,BALANCED,-1.5154
2025-05-19,APPX,APPX,0.0,45.68,0.0449,9539000.0,0.0,0.0,-0.4438,2687000.0,9539000.0,BALANCED,-1.0961
2025-05-20,APPX,APPX,0.0,43.8,-0.0413,9539000.0,0.0,0.0,-0.4288,2687000.0,9539000.0,BALANCED,-0.7198
2025-05-21,APPX,APPX,1706000.0,42.65,-0.0263,11245000.0,1706000.0,0.0,0.8331,4393000.0,11245000.0,BALANCED,32.8276
2025-05-22,APPX,APPX,0.0,41.0,-0.0387,11245000.0,0.0,0.0,-0.4662,1706000.0,11245000.0,BALANCED,-1.6556
2025-05-23,APPX,APPX,0.0,41.64,0.0157,11245000.0,0.0,0.0,-0.4525,1706000.0,11245000.0,BALANCED,-1.3115
2025-05-27,APPX,APPX,0.0,47.84,0.1489,11245000.0,0.0,0.0,-0.4399,1706000.0,10963000.0,BALANCED,-0.9965
2025-05-28,APPX,APPX,0.0,50.19,0.049,11245000.0,0.0,0.0,-0.4283,1706000.0,10094000.0,BALANCED,-0.7065
2025-05-29,APPX,APPX,1702000.0,48.62,-0.0312,12947000.0,1702000.0,0.0,0.9554,1702000.0,8291000.0,BALANCED,35.8858
2025-05-30,APPX,APPX,0.0,50.82,0.0453,12947000.0,0.0,0.0,-0.4604,1702000.0,8291000.0,BALANCED,-1.5105
2025-06-02,APPX,APPX,1858000.0,53.09,0.0446,14805000.0,1858000.0,0.0,1.0755,3560000.0,11280000.0,BALANCED,38.888
2025-06-03,APPX,APPX,0.0,52.17,-0.0173,14805000.0,0.0,0.0,-0.4913,3560000.0,11125000.0,BALANCED,-2.2829
2025-06-04,APPX,APPX,0.0,56.87,0.0901,14805000.0,0.0,0.0,-0.4803,3560000.0,11125000.0,BALANCED,-2.0066
2025-06-05,APPX,APPX,5901000.0,56.2,-0.0117,20706000.0,5901000.0,0.0,3.4194,7759000.0,13888000.0,ACCUMULATION,97.4846
2025-06-06,APPX,APPX,572000.0,57.21,0.0179,21278000.0,572000.0,0.0,-0.1091,8331000.0,15237000.0,BALANCED,11.273
2025-06-09,APPX,APPX,1194000.0,47.78,-0.1649,22472000.0,1194000.0,0.0,0.3049,7667000.0,16431000.0,BALANCED,23.6227
2025-06-10,APPX,APPX,0.0,47.76,-0.0004,22472000.0,0.0,0.0,-0.5055,7667000.0,15620000.0,BALANCED,-2.6373
2025-06-11,APPX,APPX,716000.0,47.7,-0.0012,23188000.0,716000.0,0.0,-0.0127,8383000.0,16336000.0,BALANCED,11.6827
