date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2023-06-28,BITX,BITX,3416000.0,14.85,0.0,3416000.0,3416000.0,0.0,0.0,3416000.0,3416000.0,BALANCED,12.0
2023-06-29,BITX,BITX,2155000.0,15.4,0.0366,5571000.0,2155000.0,0.0,0.0,5571000.0,5571000.0,BALANCED,14.0
2023-06-30,BITX,BITX,0.0,15.04,-0.0231,5571000.0,0.0,0.0,0.0,5571000.0,5571000.0,BALANCED,10.0
2023-07-03,BITX,BITX,2727000.0,16.04,0.0666,8298000.0,2727000.0,0.0,0.0,8298000.0,8298000.0,BALANCED,12.0
2023-07-05,BITX,BITX,3151000.0,15.0,-0.0646,11449000.0,3151000.0,0.0,0.6305,11449000.0,11449000.0,BALANCED,29.7628
2023-07-06,BITX,BITX,742000.0,14.83,-0.0114,12191000.0,742000.0,0.0,-0.9378,8775000.0,12191000.0,BALANCED,-7.4444
2023-07-07,BITX,BITX,3234000.0,14.7,-0.0088,15425000.0,3234000.0,0.0,0.7717,9854000.0,15425000.0,BALANCED,37.2925
2023-07-10,BITX,BITX,0.0,15.35,0.0439,15425000.0,0.0,0.0,-1.3195,9854000.0,15425000.0,BALANCED,-22.988
2023-07-11,BITX,BITX,0.0,15.06,-0.0185,15425000.0,0.0,0.0,-1.1347,7127000.0,15425000.0,BALANCED,-18.3677
2023-07-12,BITX,BITX,1619000.0,14.72,-0.0229,17044000.0,1619000.0,0.0,-0.06,5595000.0,17044000.0,BALANCED,10.5011
2023-07-13,BITX,BITX,1135000.0,16.22,0.1018,18179000.0,1135000.0,0.0,-0.38,5988000.0,18179000.0,BALANCED,4.4995
2023-07-14,BITX,BITX,2319000.0,14.49,-0.1062,20498000.0,2319000.0,0.0,0.4653,5073000.0,20498000.0,BALANCED,27.6313
2023-07-17,BITX,BITX,3133000.0,14.24,-0.0174,23631000.0,3133000.0,0.0,0.9982,8206000.0,23631000.0,BALANCED,42.9538
2023-07-18,BITX,BITX,4912000.0,14.04,-0.0145,28543000.0,4912000.0,0.0,1.9001,13118000.0,28543000.0,ACCUMULATION,67.5026
2023-07-19,BITX,BITX,0.0,14.33,0.0213,28543000.0,0.0,0.0,-1.2282,11499000.0,28543000.0,BALANCED,-20.7052
2023-07-20,BITX,BITX,0.0,14.04,-0.0203,28543000.0,0.0,0.0,-1.1359,10364000.0,28543000.0,BALANCED,-18.3967
2023-07-21,BITX,BITX,0.0,14.16,0.0082,28543000.0,0.0,0.0,-1.062,8045000.0,28543000.0,BALANCED,-16.5491
2023-07-24,BITX,BITX,0.0,13.39,-0.0545,28543000.0,0.0,0.0,-1.0011,4912000.0,28543000.0,BALANCED,-15.0263
2023-07-25,BITX,BITX,-1618000.0,13.49,0.0075,26925000.0,0.0,-1618000.0,-1.7792,-1618000.0,26925000.0,DISTRIBUTION,-56.48
2023-07-26,BITX,BITX,0.0,13.6,0.0084,26925000.0,0.0,0.0,-0.7964,-1618000.0,26925000.0,BALANCED,-29.9108
2023-07-27,BITX,BITX,0.0,13.32,-0.0206,26925000.0,0.0,0.0,-0.7661,-1618000.0,23509000.0,BALANCED,-29.1532
2023-07-28,BITX,BITX,0.0,13.52,0.0151,26925000.0,0.0,0.0,-0.7391,-1618000.0,21354000.0,BALANCED,-28.4771
2023-07-31,BITX,BITX,0.0,13.29,-0.0169,26925000.0,0.0,0.0,-0.7147,-1618000.0,21354000.0,BALANCED,-27.8687
2023-08-01,BITX,BITX,134000.0,13.43,0.0105,27059000.0,134000.0,0.0,-0.6149,134000.0,18761000.0,BALANCED,-3.3713
2023-08-02,BITX,BITX,0.0,13.29,-0.011,27059000.0,0.0,0.0,-0.6774,134000.0,15610000.0,BALANCED,-6.9358
2023-08-03,BITX,BITX,0.0,13.4,0.0087,27059000.0,0.0,0.0,-0.6588,134000.0,14868000.0,BALANCED,-6.4695
2023-08-04,BITX,BITX,0.0,13.11,-0.022,27059000.0,0.0,0.0,-0.6416,134000.0,11634000.0,BALANCED,-6.0401
