date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2026-02-19,COHX,COHX,269000.0,26.91,0.0,269000.0,269000.0,0.0,0.0,269000.0,269000.0,BALANCED,12.0
2026-02-20,COHX,COHX,0.0,30.54,0.1347,269000.0,0.0,0.0,0.0,269000.0,269000.0,BALANCED,10.0
2026-02-23,COHX,COHX,0.0,30.7,0.0054,269000.0,0.0,0.0,0.0,269000.0,269000.0,BALANCED,10.0
2026-02-24,COHX,COHX,1608000.0,32.16,0.0473,1877000.0,1608000.0,0.0,0.0,1877000.0,1877000.0,BALANCED,12.0
2026-02-25,COHX,COHX,6380000.0,35.44,0.1022,8257000.0,6380000.0,0.0,1.7346,8257000.0,8257000.0,ACCUMULATION,57.3639
2026-02-26,COHX,COHX,461000.0,30.74,-0.1328,8718000.0,461000.0,0.0,-0.399,8449000.0,8718000.0,BALANCED,6.0252
2026-02-27,COHX,COHX,3453000.0,32.89,0.0699,12171000.0,3453000.0,0.0,0.7166,11902000.0,12171000.0,BALANCED,35.9152
2026-03-02,COHX,COHX,2367000.0,43.03,0.3085,14538000.0,2367000.0,0.0,0.247,14269000.0,14538000.0,BALANCED,26.1745
2026-03-03,COHX,COHX,1701000.0,37.8,-0.1215,16239000.0,1701000.0,0.0,-0.0496,14362000.0,16239000.0,BALANCED,20.7595
2026-03-04,COHX,COHX,9409000.0,36.19,-0.0426,25648000.0,9409000.0,0.0,2.2046,17391000.0,25648000.0,ACCUMULATION,79.1151
2026-03-05,COHX,COHX,5518000.0,30.65,-0.153,31166000.0,5518000.0,0.0,0.8726,22448000.0,31166000.0,BALANCED,47.8139
2026-03-06,COHX,COHX,394000.0,26.26,-0.1433,31560000.0,394000.0,0.0,-0.7411,19389000.0,31560000.0,BALANCED,9.4716
2026-03-09,COHX,COHX,1498000.0,29.95,0.1404,33058000.0,1498000.0,0.0,-0.3596,18520000.0,33058000.0,BALANCED,21.0093
2026-03-10,COHX,COHX,479000.0,31.9,0.0652,33537000.0,479000.0,0.0,-0.6735,17298000.0,33537000.0,BALANCED,13.1623
2026-03-11,COHX,COHX,7113000.0,29.64,-0.0711,40650000.0,7113000.0,0.0,1.4675,15002000.0,40650000.0,BALANCED,66.6867
2026-03-12,COHX,COHX,953000.0,27.24,-0.0809,41603000.0,953000.0,0.0,-0.5618,10437000.0,41603000.0,BALANCED,15.9539
2026-03-13,COHX,COHX,276000.0,27.57,0.0121,41879000.0,276000.0,0.0,-0.7558,10319000.0,41879000.0,BALANCED,11.104
2026-03-16,COHX,COHX,-572000.0,28.6,0.0376,41307000.0,0.0,-572000.0,-0.9894,8249000.0,41307000.0,BALANCED,-16.7362
2026-03-17,COHX,COHX,282000.0,28.22,-0.0134,41589000.0,282000.0,0.0,-0.6683,8052000.0,41589000.0,BALANCED,-4.7073
2026-03-18,COHX,COHX,462000.0,30.83,0.0926,42051000.0,462000.0,0.0,-0.5851,1401000.0,42051000.0,BALANCED,-0.6269
2026-03-19,COHX,COHX,0.0,35.23,0.1425,42051000.0,0.0,0.0,-0.7226,448000.0,41782000.0,BALANCED,-8.0644
2026-03-20,COHX,COHX,2073000.0,29.61,-0.1595,44124000.0,2073000.0,0.0,0.0249,2245000.0,43855000.0,BALANCED,12.6227
2026-03-23,COHX,COHX,899000.0,29.96,0.0117,45023000.0,899000.0,0.0,-0.3991,3716000.0,44754000.0,BALANCED,4.0229
2026-03-24,COHX,COHX,0.0,33.99,0.1348,45023000.0,0.0,0.0,-0.7147,3434000.0,43146000.0,BALANCED,-7.8685
2026-03-25,COHX,COHX,0.0,33.91,-0.0024,45023000.0,0.0,0.0,-0.6936,2972000.0,36766000.0,BALANCED,-7.3389
2026-03-26,COHX,COHX,-1470000.0,26.73,-0.2117,43553000.0,0.0,-1470000.0,-1.1987,1502000.0,34835000.0,BALANCED,-21.967
2026-03-27,COHX,COHX,1204000.0,26.77,0.0012,44757000.0,1204000.0,0.0,-0.1762,633000.0,32586000.0,BALANCED,7.5945
2026-03-30,COHX,COHX,861000.0,21.52,-0.1961,45618000.0,861000.0,0.0,-0.3035,595000.0,31080000.0,BALANCED,6.4114
2026-03-31,COHX,COHX,0.0,25.14,0.1682,45618000.0,0.0,0.0,-0.6283,595000.0,29379000.0,BALANCED,-5.708
2026-04-01,COHX,COHX,0.0,27.16,0.0803,45618000.0,0.0,0.0,-0.614,595000.0,19970000.0,BALANCED,-5.3489
2026-04-02,COHX,COHX,0.0,29.42,0.0834,45618000.0,0.0,0.0,-0.6091,2065000.0,14452000.0,BALANCED,-5.2266
2026-04-06,COHX,COHX,-2404000.0,28.28,-0.0388,43214000.0,0.0,-2404000.0,-1.4926,-1543000.0,11654000.0,BALANCED,-49.3156
2026-04-07,COHX,COHX,0.0,28.68,0.0141,43214000.0,0.0,0.0,-0.5571,-2404000.0,10156000.0,BALANCED,-23.9271
2026-04-08,COHX,COHX,0.0,34.67,0.209,43214000.0,0.0,0.0,-0.5335,-2404000.0,9677000.0,BALANCED,-23.3385
2026-04-09,COHX,COHX,0.0,35.25,0.0167,43214000.0,0.0,0.0,-0.4828,-2404000.0,2564000.0,BALANCED,-22.0694
2026-04-10,COHX,COHX,1026000.0,41.03,0.164,44240000.0,1026000.0,0.0,-0.0656,-1378000.0,2637000.0,BALANCED,-9.6396
2026-04-13,COHX,COHX,0.0,41.13,0.0025,44240000.0,0.0,0.0,-0.4491,1026000.0,2361000.0,BALANCED,-1.2272
2026-04-14,COHX,COHX,0.0,42.57,0.0351,44240000.0,0.0,0.0,-0.4169,1026000.0,2933000.0,BALANCED,-0.4217
