date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2016-01-04,DRN,DRN,0.0,72.66,-0.0382,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-05,DRN,DRN,-3853000.0,77.06,0.0606,-3853000.0,0.0,-3853000.0,0.0,-3853000.0,-3853000.0,BALANCED,-12.0
2016-01-06,DRN,DRN,-3811000.0,76.22,-0.0109,-7664000.0,0.0,-3811000.0,0.0,-7664000.0,-7664000.0,BALANCED,-14.0
2016-01-07,DRN,DRN,0.0,71.85,-0.0573,-7664000.0,0.0,0.0,0.0,-7664000.0,-7664000.0,BALANCED,-10.0
2016-01-08,DRN,DRN,0.0,68.92,-0.0407,-7664000.0,0.0,0.0,0.7303,-7664000.0,-7664000.0,BALANCED,8.257
2016-01-11,DRN,DRN,0.0,70.24,0.0191,-7664000.0,0.0,0.0,0.6455,-7664000.0,-7664000.0,BALANCED,6.1371
2016-01-12,DRN,DRN,0.0,68.67,-0.0223,-7664000.0,0.0,0.0,0.5855,-3811000.0,-7664000.0,BALANCED,4.6382
2016-01-13,DRN,DRN,0.0,65.68,-0.0436,-7664000.0,0.0,0.0,0.5401,0.0,-7664000.0,BALANCED,13.5013
2016-01-14,DRN,DRN,0.0,65.39,-0.0044,-7664000.0,0.0,0.0,0.5039,0.0,-7664000.0,BALANCED,12.5986
2016-01-15,DRN,DRN,0.0,64.01,-0.0212,-7664000.0,0.0,0.0,0.4743,0.0,-7664000.0,BALANCED,11.8583
2016-01-19,DRN,DRN,0.0,65.03,0.016,-7664000.0,0.0,0.0,0.4495,0.0,-7664000.0,BALANCED,11.2365
2016-01-20,DRN,DRN,0.0,59.65,-0.0827,-7664000.0,0.0,0.0,0.4282,0.0,-7664000.0,BALANCED,10.7042
2016-01-21,DRN,DRN,0.0,60.79,0.0192,-7664000.0,0.0,0.0,0.4097,0.0,-7664000.0,BALANCED,10.2416
2016-01-22,DRN,DRN,0.0,65.74,0.0814,-7664000.0,0.0,0.0,0.3934,0.0,-7664000.0,BALANCED,9.8348
2016-01-25,DRN,DRN,0.0,64.47,-0.0193,-7664000.0,0.0,0.0,0.3789,0.0,-7664000.0,BALANCED,9.4731
2016-01-26,DRN,DRN,0.0,68.71,0.0657,-7664000.0,0.0,0.0,0.366,0.0,-7664000.0,BALANCED,9.1489
2016-01-27,DRN,DRN,0.0,64.71,-0.0583,-7664000.0,0.0,0.0,0.3542,0.0,-7664000.0,BALANCED,8.856
2016-01-28,DRN,DRN,0.0,63.21,-0.0231,-7664000.0,0.0,0.0,0.3436,0.0,-7664000.0,BALANCED,8.5897
2016-01-29,DRN,DRN,-3357000.0,67.13,0.062,-11021000.0,0.0,-3357000.0,-2.0133,-3357000.0,-11021000.0,DISTRIBUTION,-62.3314
2016-02-01,DRN,DRN,0.0,67.38,0.0037,-11021000.0,0.0,0.0,0.4086,-3357000.0,-11021000.0,BALANCED,0.2138
2016-02-02,DRN,DRN,0.0,65.41,-0.0293,-11021000.0,0.0,0.0,0.3975,-3357000.0,-11021000.0,BALANCED,-0.0614
2016-02-03,DRN,DRN,3344000.0,66.87,0.0224,-7677000.0,3344000.0,0.0,2.4141,-13000.0,-3824000.0,ACCUMULATION,52.3527
2016-02-04,DRN,DRN,0.0,67.02,0.0023,-7677000.0,0.0,0.0,0.2231,-13000.0,-13000.0,BALANCED,-4.4233
2016-02-05,DRN,DRN,0.0,63.02,-0.0597,-7677000.0,0.0,0.0,0.2183,3344000.0,-13000.0,BALANCED,15.4585
2016-02-08,DRN,DRN,0.0,57.6,-0.0861,-7677000.0,0.0,0.0,0.2139,3344000.0,-13000.0,BALANCED,15.3475
2016-02-09,DRN,DRN,0.0,54.35,-0.0564,-7677000.0,0.0,0.0,0.2097,3344000.0,-13000.0,BALANCED,15.2431
2016-02-10,DRN,DRN,0.0,55.56,0.0223,-7677000.0,0.0,0.0,0.2058,0.0,-13000.0,BALANCED,5.1445
2016-02-11,DRN,DRN,0.0,53.36,-0.0395,-7677000.0,0.0,0.0,0.2021,0.0,-13000.0,BALANCED,5.0513
2016-02-12,DRN,DRN,0.0,55.1,0.0325,-7677000.0,0.0,0.0,0.1985,0.0,-13000.0,BALANCED,4.963
2016-02-16,DRN,DRN,0.0,58.13,0.055,-7677000.0,0.0,0.0,0.1952,0.0,-13000.0,BALANCED,4.8792
2016-02-17,DRN,DRN,0.0,59.67,0.0266,-7677000.0,0.0,0.0,0.1952,0.0,-13000.0,BALANCED,4.8792
2016-02-18,DRN,DRN,0.0,61.3,0.0272,-7677000.0,0.0,0.0,0.1136,0.0,-13000.0,BALANCED,2.8409
2016-02-19,DRN,DRN,0.0,62.39,0.0179,-7677000.0,0.0,0.0,0.0005,0.0,-13000.0,BALANCED,0.0123
2016-02-22,DRN,DRN,-3210000.0,64.21,0.0292,-10887000.0,0.0,-3210000.0,-2.9348,-3210000.0,-3223000.0,DISTRIBUTION,-85.3708
2016-02-23,DRN,DRN,0.0,63.57,-0.0099,-10887000.0,0.0,0.0,0.1016,-3210000.0,-3223000.0,BALANCED,-7.4594
2016-02-24,DRN,DRN,0.0,63.36,-0.0034,-10887000.0,0.0,0.0,0.1016,-3210000.0,-3223000.0,BALANCED,-7.4594
2016-02-25,DRN,DRN,0.0,67.35,0.063,-10887000.0,0.0,0.0,0.1016,-3210000.0,-3223000.0,BALANCED,-7.4594
2016-02-26,DRN,DRN,0.0,66.16,-0.0177,-10887000.0,0.0,0.0,0.1016,-3210000.0,-3223000.0,BALANCED,-7.4594
2016-02-29,DRN,DRN,0.0,65.51,-0.0098,-10887000.0,0.0,0.0,0.1016,0.0,134000.0,BALANCED,2.5406
2016-03-01,DRN,DRN,0.0,70.99,0.0837,-10887000.0,0.0,0.0,0.1016,0.0,134000.0,BALANCED,2.5406
2016-03-02,DRN,DRN,-3631000.0,72.61,0.0228,-14518000.0,0.0,-3631000.0,-2.7507,-3631000.0,-3497000.0,DISTRIBUTION,-80.7664
2016-03-03,DRN,DRN,0.0,73.63,0.014,-14518000.0,0.0,0.0,0.1847,-3631000.0,-6841000.0,BALANCED,-5.3826
2016-03-04,DRN,DRN,0.0,73.57,-0.0008,-14518000.0,0.0,0.0,0.1847,-3631000.0,-6841000.0,BALANCED,-5.3826
2016-03-07,DRN,DRN,0.0,74.16,0.0081,-14518000.0,0.0,0.0,0.1847,-3631000.0,-6841000.0,BALANCED,-5.3826
2016-03-08,DRN,DRN,0.0,71.96,-0.0297,-14518000.0,0.0,0.0,0.1847,-3631000.0,-6841000.0,BALANCED,-5.3826
2016-03-09,DRN,DRN,0.0,73.16,0.0166,-14518000.0,0.0,0.0,0.1847,0.0,-6841000.0,BALANCED,4.6174
2016-03-10,DRN,DRN,0.0,72.22,-0.0127,-14518000.0,0.0,0.0,0.1847,0.0,-6841000.0,BALANCED,4.6174
2016-03-11,DRN,DRN,0.0,77.3,0.0702,-14518000.0,0.0,0.0,0.1847,0.0,-6841000.0,BALANCED,4.6174
2016-03-14,DRN,DRN,0.0,77.21,-0.0011,-14518000.0,0.0,0.0,0.1072,0.0,-6841000.0,BALANCED,2.681
2016-03-15,DRN,DRN,0.0,77.22,0.0001,-14518000.0,0.0,0.0,0.1072,0.0,-6841000.0,BALANCED,2.681
2016-03-16,DRN,DRN,0.0,79.97,0.0356,-14518000.0,0.0,0.0,0.1072,0.0,-6841000.0,BALANCED,2.681
2016-03-17,DRN,DRN,0.0,83.45,0.0435,-14518000.0,0.0,0.0,0.2622,0.0,-6841000.0,BALANCED,6.5559
2016-03-18,DRN,DRN,0.0,82.32,-0.0135,-14518000.0,0.0,0.0,0.2622,0.0,-6841000.0,BALANCED,6.5559
2016-03-21,DRN,DRN,0.0,80.05,-0.0276,-14518000.0,0.0,0.0,0.2622,0.0,-3631000.0,BALANCED,6.5559
2016-03-22,DRN,DRN,0.0,80.12,0.0009,-14518000.0,0.0,0.0,0.2622,0.0,-3631000.0,BALANCED,6.5559
2016-03-23,DRN,DRN,0.0,78.73,-0.0173,-14518000.0,0.0,0.0,0.2622,0.0,-3631000.0,BALANCED,6.5559
2016-03-24,DRN,DRN,-3943000.0,78.85,0.0015,-18461000.0,0.0,-3943000.0,-3.2546,-3943000.0,-7574000.0,DISTRIBUTION,-93.364
2016-03-28,DRN,DRN,0.0,81.01,0.0274,-18461000.0,0.0,0.0,0.3265,-3943000.0,-7574000.0,BALANCED,-1.8383
2016-03-29,DRN,DRN,0.0,86.37,0.0662,-18461000.0,0.0,0.0,0.3265,-3943000.0,-7574000.0,BALANCED,-1.8383
2016-03-30,DRN,DRN,0.0,85.65,-0.0084,-18461000.0,0.0,0.0,0.3265,-3943000.0,-7574000.0,BALANCED,-1.8383
2016-03-31,DRN,DRN,0.0,87.29,0.0192,-18461000.0,0.0,0.0,0.3265,-3943000.0,-3943000.0,BALANCED,-1.8383
2016-04-01,DRN,DRN,0.0,86.85,-0.0051,-18461000.0,0.0,0.0,0.3265,0.0,-3943000.0,BALANCED,8.1617
2016-04-04,DRN,DRN,0.0,86.48,-0.0042,-18461000.0,0.0,0.0,0.3265,0.0,-3943000.0,BALANCED,8.1617
2016-04-05,DRN,DRN,0.0,84.91,-0.0181,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-06,DRN,DRN,0.0,85.43,0.006,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-07,DRN,DRN,0.0,83.76,-0.0195,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-08,DRN,DRN,0.0,85.29,0.0182,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-11,DRN,DRN,0.0,84.6,-0.0081,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-12,DRN,DRN,0.0,86.48,0.0222,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-13,DRN,DRN,0.0,85.41,-0.0123,-18461000.0,0.0,0.0,0.2625,0.0,-3943000.0,BALANCED,6.5633
2016-04-14,DRN,DRN,0.0,83.92,-0.0175,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-15,DRN,DRN,0.0,85.83,0.0228,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-18,DRN,DRN,0.0,87.01,0.0138,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-19,DRN,DRN,0.0,87.21,0.0023,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-20,DRN,DRN,0.0,82.78,-0.0507,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-21,DRN,DRN,0.0,78.34,-0.0536,-18461000.0,0.0,0.0,0.1826,0.0,-3943000.0,BALANCED,4.5644
2016-04-22,DRN,DRN,0.0,80.81,0.0315,-18461000.0,0.0,0.0,0.1826,0.0,0.0,BALANCED,4.5644
2016-04-25,DRN,DRN,0.0,83.02,0.0273,-18461000.0,0.0,0.0,0.1826,0.0,0.0,BALANCED,4.5644
2016-04-26,DRN,DRN,0.0,83.96,0.0113,-18461000.0,0.0,0.0,0.1826,0.0,0.0,BALANCED,4.5644
2016-04-27,DRN,DRN,0.0,83.52,-0.0052,-18461000.0,0.0,0.0,0.1826,0.0,0.0,BALANCED,4.5644
2016-04-28,DRN,DRN,-4150000.0,83.01,-0.0061,-22611000.0,0.0,-4150000.0,-3.7783,-4150000.0,-4150000.0,DISTRIBUTION,-100.0
2016-04-29,DRN,DRN,0.0,80.62,-0.0288,-22611000.0,0.0,0.0,0.2627,-4150000.0,-4150000.0,BALANCED,-3.4331
2016-05-02,DRN,DRN,0.0,84.7,0.0506,-22611000.0,0.0,0.0,0.2627,-4150000.0,-4150000.0,BALANCED,-3.4331
2016-05-03,DRN,DRN,0.0,84.93,0.0026,-22611000.0,0.0,0.0,0.2627,-4150000.0,-4150000.0,BALANCED,-3.4331
2016-05-04,DRN,DRN,0.0,88.7,0.0444,-22611000.0,0.0,0.0,0.2627,-4150000.0,-4150000.0,BALANCED,-3.4331
2016-05-05,DRN,DRN,0.0,89.42,0.0081,-22611000.0,0.0,0.0,0.2627,0.0,-4150000.0,BALANCED,6.5669
2016-05-06,DRN,DRN,0.0,92.41,0.0334,-22611000.0,0.0,0.0,0.1826,0.0,-4150000.0,BALANCED,4.5644
2016-05-09,DRN,DRN,0.0,95.28,0.0311,-22611000.0,0.0,0.0,0.1826,0.0,-4150000.0,BALANCED,4.5644
2016-05-10,DRN,DRN,-9528000.0,95.28,-0.0,-32139000.0,0.0,-9528000.0,-4.8428,-9528000.0,-13678000.0,DISTRIBUTION,-100.0
2016-05-11,DRN,DRN,0.0,88.89,-0.0671,-32139000.0,0.0,0.0,0.2434,-9528000.0,-13678000.0,BALANCED,-3.9154
2016-05-12,DRN,DRN,0.0,90.68,0.0201,-32139000.0,0.0,0.0,0.2434,-9528000.0,-13678000.0,BALANCED,-3.9154
2016-05-13,DRN,DRN,0.0,88.06,-0.0289,-32139000.0,0.0,0.0,0.2434,-9528000.0,-13678000.0,BALANCED,-3.9154
2016-05-16,DRN,DRN,0.0,90.71,0.0301,-32139000.0,0.0,0.0,0.2434,-9528000.0,-13678000.0,BALANCED,-3.9154
2016-05-17,DRN,DRN,0.0,85.49,-0.0576,-32139000.0,0.0,0.0,0.2434,0.0,-13678000.0,BALANCED,6.0846
2016-05-18,DRN,DRN,0.0,81.69,-0.0445,-32139000.0,0.0,0.0,0.2434,0.0,-13678000.0,BALANCED,6.0846
