date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2025-03-21,HOOG,HOOG,386000.0,15.45,0.0,386000.0,386000.0,0.0,0.0,386000.0,386000.0,BALANCED,12.0
2025-03-24,HOOG,HOOG,0.0,18.24,0.1799,386000.0,0.0,0.0,0.0,386000.0,386000.0,BALANCED,10.0
2025-03-25,HOOG,HOOG,0.0,18.07,-0.0091,386000.0,0.0,0.0,0.0,386000.0,386000.0,BALANCED,10.0
2025-03-26,HOOG,HOOG,0.0,15.49,-0.1425,386000.0,0.0,0.0,0.0,386000.0,386000.0,BALANCED,10.0
2025-03-27,HOOG,HOOG,75000.0,14.97,-0.0336,461000.0,75000.0,0.0,-0.1027,461000.0,461000.0,BALANCED,9.4316
2025-03-28,HOOG,HOOG,135000.0,13.54,-0.0956,596000.0,135000.0,0.0,0.2366,210000.0,596000.0,BALANCED,19.9145
2025-03-31,HOOG,HOOG,-200000.0,13.34,-0.015,396000.0,0.0,-200000.0,-1.4401,10000.0,396000.0,BALANCED,-28.0032
2025-04-01,HOOG,HOOG,0.0,13.68,0.0254,396000.0,0.0,0.0,-0.2979,10000.0,396000.0,BALANCED,2.552
2025-04-02,HOOG,HOOG,0.0,14.01,0.0242,396000.0,0.0,0.0,-0.2815,10000.0,396000.0,BALANCED,2.962
2025-04-03,HOOG,HOOG,0.0,11.1,-0.2078,396000.0,0.0,0.0,-0.2675,-65000.0,396000.0,BALANCED,-16.6887
2025-04-04,HOOG,HOOG,0.0,8.9,-0.1982,396000.0,0.0,0.0,-0.2555,-200000.0,396000.0,BALANCED,-16.3865
2025-04-07,HOOG,HOOG,0.0,9.36,0.0515,396000.0,0.0,0.0,-0.2449,0.0,396000.0,BALANCED,-6.1218
2025-04-08,HOOG,HOOG,-130000.0,8.69,-0.0712,266000.0,0.0,-130000.0,-1.1005,-130000.0,266000.0,BALANCED,-39.513
2025-04-09,HOOG,HOOG,192000.0,12.77,0.47,458000.0,192000.0,0.0,1.1449,62000.0,458000.0,BALANCED,40.6227
2025-04-10,HOOG,HOOG,704000.0,11.74,-0.0813,1162000.0,704000.0,0.0,2.8593,766000.0,1162000.0,ACCUMULATION,85.4819
2025-04-11,HOOG,HOOG,-271000.0,13.55,0.155,891000.0,0.0,-271000.0,-1.4271,495000.0,891000.0,BALANCED,-27.6774
2025-04-14,HOOG,HOOG,0.0,13.83,0.0206,891000.0,0.0,0.0,-0.236,495000.0,891000.0,BALANCED,4.0994
2025-04-15,HOOG,HOOG,0.0,13.79,-0.0032,891000.0,0.0,0.0,-0.2294,625000.0,891000.0,BALANCED,4.2651
