date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2022-12-14,NVDL,NVDL,758000.0,25.28,0.0,758000.0,758000.0,0.0,0.0,758000.0,758000.0,BALANCED,12.0
2022-12-15,NVDL,NVDL,0.0,23.72,-0.0615,758000.0,0.0,0.0,0.0,758000.0,758000.0,BALANCED,10.0
2022-12-16,NVDL,NVDL,0.0,22.9,-0.0347,758000.0,0.0,0.0,0.0,758000.0,758000.0,BALANCED,10.0
2022-12-19,NVDL,NVDL,0.0,22.23,-0.0291,758000.0,0.0,0.0,0.0,758000.0,758000.0,BALANCED,10.0
2022-12-20,NVDL,NVDL,0.0,21.88,-0.0159,758000.0,0.0,0.0,-0.4472,758000.0,758000.0,BALANCED,-1.1803
2022-12-21,NVDL,NVDL,0.0,22.72,0.0386,758000.0,0.0,0.0,-0.4082,0.0,758000.0,BALANCED,-10.2062
2022-12-22,NVDL,NVDL,0.0,20.32,-0.1058,758000.0,0.0,0.0,-0.378,0.0,758000.0,BALANCED,-9.4491
2022-12-23,NVDL,NVDL,0.0,20.03,-0.0142,758000.0,0.0,0.0,-0.3536,0.0,758000.0,BALANCED,-8.8388
2022-12-27,NVDL,NVDL,0.0,17.88,-0.1071,758000.0,0.0,0.0,-0.3333,0.0,758000.0,BALANCED,-8.3333
2022-12-28,NVDL,NVDL,0.0,17.72,-0.0094,758000.0,0.0,0.0,-0.3162,0.0,758000.0,BALANCED,-7.9057
2022-12-29,NVDL,NVDL,0.0,18.78,0.0602,758000.0,0.0,0.0,-0.3015,0.0,758000.0,BALANCED,-7.5378
2022-12-30,NVDL,NVDL,0.0,18.79,0.0005,758000.0,0.0,0.0,-0.2887,0.0,758000.0,BALANCED,-7.2169
2023-01-03,NVDL,NVDL,0.0,18.23,-0.0301,758000.0,0.0,0.0,-0.2774,0.0,758000.0,BALANCED,-6.9338
2023-01-04,NVDL,NVDL,0.0,19.05,0.0451,758000.0,0.0,0.0,-0.2673,0.0,758000.0,BALANCED,-6.6815
2023-01-05,NVDL,NVDL,0.0,18.11,-0.0493,758000.0,0.0,0.0,-0.2582,0.0,758000.0,BALANCED,-6.455
