date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2023-10-19,NVDX,NVDX,249000.0,24.88,0.0,249000.0,249000.0,0.0,0.0,249000.0,249000.0,BALANCED,12.0
2023-10-20,NVDX,NVDX,0.0,24.88,0.0,249000.0,0.0,0.0,0.0,249000.0,249000.0,BALANCED,10.0
2023-10-23,NVDX,NVDX,0.0,24.02,-0.0343,249000.0,0.0,0.0,0.0,249000.0,249000.0,BALANCED,10.0
2023-10-24,NVDX,NVDX,267000.0,26.69,0.111,516000.0,267000.0,0.0,0.0,516000.0,516000.0,BALANCED,12.0
2023-10-25,NVDX,NVDX,0.0,24.38,-0.0865,516000.0,0.0,0.0,-0.7296,516000.0,516000.0,BALANCED,-8.2389
2023-10-26,NVDX,NVDX,0.0,22.68,-0.0699,516000.0,0.0,0.0,-0.6449,267000.0,516000.0,BALANCED,-6.1227
2023-10-27,NVDX,NVDX,0.0,22.68,0.0,516000.0,0.0,0.0,-0.585,267000.0,516000.0,BALANCED,-4.626
2023-10-30,NVDX,NVDX,0.0,23.58,0.0399,516000.0,0.0,0.0,-0.5396,267000.0,516000.0,BALANCED,-3.4906
2023-10-31,NVDX,NVDX,0.0,23.13,-0.019,516000.0,0.0,0.0,-0.5036,0.0,516000.0,BALANCED,-12.589
2023-11-01,NVDX,NVDX,249000.0,24.88,0.0754,765000.0,249000.0,0.0,1.3993,249000.0,765000.0,BALANCED,46.983
2023-11-02,NVDX,NVDX,0.0,26.27,0.0559,765000.0,0.0,0.0,-0.5834,249000.0,765000.0,BALANCED,-4.5858
2023-11-03,NVDX,NVDX,0.0,28.08,0.0688,765000.0,0.0,0.0,-0.5524,249000.0,765000.0,BALANCED,-3.8091
2023-11-06,NVDX,NVDX,0.0,28.98,0.0322,765000.0,0.0,0.0,-0.5259,249000.0,765000.0,BALANCED,-3.1464
2023-11-07,NVDX,NVDX,1169000.0,29.23,0.0086,1934000.0,1169000.0,0.0,3.2665,1418000.0,1934000.0,ACCUMULATION,93.6636
