date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2025-03-21,PANG,PANG,368000.0,14.7,0.0,368000.0,368000.0,0.0,0.0,368000.0,368000.0,BALANCED,12.0
2025-03-24,PANG,PANG,0.0,15.1,0.0268,368000.0,0.0,0.0,0.0,368000.0,368000.0,BALANCED,10.0
2025-03-25,PANG,PANG,0.0,15.93,0.0555,368000.0,0.0,0.0,0.0,368000.0,368000.0,BALANCED,10.0
2025-03-26,PANG,PANG,0.0,15.09,-0.0529,368000.0,0.0,0.0,0.0,368000.0,368000.0,BALANCED,10.0
2025-03-27,PANG,PANG,134000.0,13.37,-0.1142,502000.0,134000.0,0.0,0.2094,502000.0,502000.0,BALANCED,17.2352
2025-03-28,PANG,PANG,0.0,13.09,-0.0204,502000.0,0.0,0.0,-0.5606,134000.0,502000.0,BALANCED,-4.0144
2025-03-31,PANG,PANG,-128000.0,12.77,-0.0251,374000.0,0.0,-128000.0,-1.1483,6000.0,374000.0,BALANCED,-20.7073
2025-04-01,PANG,PANG,0.0,12.86,0.0075,374000.0,0.0,0.0,-0.317,6000.0,374000.0,BALANCED,2.0759
2025-04-02,PANG,PANG,0.0,13.14,0.0215,374000.0,0.0,0.0,-0.2993,6000.0,374000.0,BALANCED,2.5176
2025-04-03,PANG,PANG,0.0,11.92,-0.0929,374000.0,0.0,0.0,-0.2843,-128000.0,374000.0,BALANCED,-17.1069
2025-04-04,PANG,PANG,0.0,10.23,-0.1417,374000.0,0.0,0.0,-0.2713,-128000.0,374000.0,BALANCED,-16.7827
2025-04-07,PANG,PANG,0.0,10.07,-0.0151,374000.0,0.0,0.0,-0.26,0.0,374000.0,BALANCED,-6.4991
2025-04-08,PANG,PANG,0.0,10.08,0.0008,374000.0,0.0,0.0,-0.2499,0.0,374000.0,BALANCED,-6.2482
2025-04-09,PANG,PANG,0.0,12.79,0.2681,374000.0,0.0,0.0,-0.241,0.0,374000.0,BALANCED,-6.0243
2025-04-10,PANG,PANG,0.0,12.08,-0.0554,374000.0,0.0,0.0,-0.2329,0.0,374000.0,BALANCED,-5.8228
2025-04-11,PANG,PANG,0.0,12.08,-0.0003,374000.0,0.0,0.0,-0.2256,0.0,374000.0,BALANCED,-5.6402
2025-04-14,PANG,PANG,0.0,12.3,0.0188,374000.0,0.0,0.0,-0.219,0.0,374000.0,BALANCED,-5.4738
2025-04-15,PANG,PANG,0.0,12.81,0.0416,374000.0,0.0,0.0,-0.2129,0.0,374000.0,BALANCED,-5.3213
2025-04-16,PANG,PANG,0.0,12.25,-0.044,374000.0,0.0,0.0,-0.2072,0.0,374000.0,BALANCED,-5.1808
2025-04-17,PANG,PANG,0.0,11.93,-0.0259,374000.0,0.0,0.0,-0.202,0.0,374000.0,BALANCED,-5.0509
2025-04-21,PANG,PANG,0.0,10.84,-0.0916,374000.0,0.0,0.0,-0.1972,0.0,6000.0,BALANCED,-4.9303
2025-04-22,PANG,PANG,0.0,11.32,0.0443,374000.0,0.0,0.0,-0.1927,0.0,6000.0,BALANCED,-4.818
2025-04-23,PANG,PANG,0.0,11.96,0.0569,374000.0,0.0,0.0,-0.1885,0.0,6000.0,BALANCED,-4.713
2025-04-24,PANG,PANG,0.0,13.06,0.0913,374000.0,0.0,0.0,-0.1846,0.0,6000.0,BALANCED,-4.6145
2025-04-25,PANG,PANG,0.0,13.48,0.0323,374000.0,0.0,0.0,-0.1809,0.0,-128000.0,BALANCED,-4.522
2025-04-28,PANG,PANG,0.0,13.86,0.0283,374000.0,0.0,0.0,-0.1774,0.0,-128000.0,BALANCED,-4.4348
2025-04-29,PANG,PANG,0.0,14.64,0.056,374000.0,0.0,0.0,-0.1741,0.0,0.0,BALANCED,-4.3525
2025-04-30,PANG,PANG,147000.0,14.67,0.0026,521000.0,147000.0,0.0,1.5652,147000.0,147000.0,ACCUMULATION,51.1301
2025-05-01,PANG,PANG,218000.0,14.56,-0.0076,739000.0,218000.0,0.0,2.1716,365000.0,365000.0,ACCUMULATION,68.2891
2025-05-02,PANG,PANG,-148000.0,14.77,0.0141,591000.0,0.0,-148000.0,-1.8092,217000.0,217000.0,DISTRIBUTION,-37.2308
2025-05-05,PANG,PANG,0.0,14.83,0.0042,591000.0,0.0,0.0,-0.1138,217000.0,217000.0,BALANCED,7.1549
2025-05-06,PANG,PANG,0.0,14.91,0.0056,591000.0,0.0,0.0,-0.1138,217000.0,217000.0,BALANCED,7.1549
2025-05-07,PANG,PANG,0.0,14.82,-0.0062,591000.0,0.0,0.0,-0.1138,70000.0,217000.0,BALANCED,7.1549
2025-05-08,PANG,PANG,-74000.0,14.87,0.0036,517000.0,0.0,-74000.0,-1.1789,-222000.0,143000.0,BALANCED,-41.4729
2025-05-09,PANG,PANG,0.0,14.6,-0.0182,517000.0,0.0,0.0,-0.008,-74000.0,143000.0,BALANCED,-10.2003
2025-05-12,PANG,PANG,0.0,15.62,0.0698,517000.0,0.0,0.0,-0.008,-74000.0,143000.0,BALANCED,-10.2003
2025-05-13,PANG,PANG,0.0,15.37,-0.0159,517000.0,0.0,0.0,-0.0829,-74000.0,143000.0,BALANCED,-12.073
2025-05-14,PANG,PANG,0.0,15.19,-0.0118,517000.0,0.0,0.0,-0.0829,-74000.0,143000.0,BALANCED,-12.073
2025-05-15,PANG,PANG,0.0,15.5,0.0206,517000.0,0.0,0.0,-0.0829,0.0,143000.0,BALANCED,-2.073
2025-05-16,PANG,PANG,0.0,15.5,-0.0002,517000.0,0.0,0.0,-0.0829,0.0,143000.0,BALANCED,-2.073
2025-05-19,PANG,PANG,0.0,15.71,0.0133,517000.0,0.0,0.0,-0.0829,0.0,143000.0,BALANCED,-2.073
2025-05-20,PANG,PANG,0.0,15.73,0.0015,517000.0,0.0,0.0,-0.0829,0.0,143000.0,BALANCED,-2.073
2025-05-21,PANG,PANG,0.0,13.59,-0.1363,517000.0,0.0,0.0,-0.0829,0.0,143000.0,BALANCED,-2.073
2025-05-22,PANG,PANG,72000.0,14.32,0.0535,589000.0,72000.0,0.0,1.1032,72000.0,215000.0,BALANCED,39.5803
2025-05-23,PANG,PANG,360000.0,14.39,0.0051,949000.0,360000.0,0.0,3.9107,432000.0,575000.0,ACCUMULATION,100.0
2025-05-27,PANG,PANG,0.0,14.49,0.0073,949000.0,0.0,0.0,-0.2199,432000.0,575000.0,BALANCED,4.502
2025-05-28,PANG,PANG,0.0,14.54,0.0033,949000.0,0.0,0.0,-0.2199,432000.0,575000.0,BALANCED,4.502
2025-05-29,PANG,PANG,0.0,14.23,-0.0214,949000.0,0.0,0.0,-0.2199,432000.0,428000.0,BALANCED,4.502
2025-05-30,PANG,PANG,0.0,15.23,0.0703,949000.0,0.0,0.0,-0.2199,360000.0,210000.0,BALANCED,4.502
2025-06-02,PANG,PANG,0.0,15.61,0.0247,949000.0,0.0,0.0,-0.2199,0.0,358000.0,BALANCED,-5.498
2025-06-03,PANG,PANG,0.0,15.96,0.0229,949000.0,0.0,0.0,-0.2199,0.0,358000.0,BALANCED,-5.498
2025-06-04,PANG,PANG,0.0,15.46,-0.0312,949000.0,0.0,0.0,-0.2199,0.0,358000.0,BALANCED,-5.498
2025-06-05,PANG,PANG,0.0,15.94,0.0309,949000.0,0.0,0.0,-0.2199,0.0,358000.0,BALANCED,-5.498
2025-06-06,PANG,PANG,0.0,16.33,0.0243,949000.0,0.0,0.0,-0.2199,0.0,432000.0,BALANCED,-5.498
2025-06-09,PANG,PANG,0.0,15.79,-0.0331,949000.0,0.0,0.0,-0.2199,0.0,432000.0,BALANCED,-5.498
2025-06-10,PANG,PANG,0.0,15.72,-0.0042,949000.0,0.0,0.0,-0.2199,0.0,432000.0,BALANCED,-5.498
2025-06-11,PANG,PANG,0.0,15.47,-0.0163,949000.0,0.0,0.0,-0.2199,0.0,432000.0,BALANCED,-5.498
2025-06-12,PANG,PANG,0.0,15.98,0.0334,949000.0,0.0,0.0,-0.1703,0.0,432000.0,BALANCED,-4.2569
2025-06-13,PANG,PANG,0.0,15.74,-0.0151,949000.0,0.0,0.0,-0.094,0.0,432000.0,BALANCED,-2.3509
2025-06-16,PANG,PANG,0.0,16.03,0.0184,949000.0,0.0,0.0,-0.1743,0.0,432000.0,BALANCED,-4.3566
2025-06-17,PANG,PANG,0.0,16.66,0.0394,949000.0,0.0,0.0,-0.1743,0.0,432000.0,BALANCED,-4.3566
2025-06-18,PANG,PANG,0.0,16.28,-0.0231,949000.0,0.0,0.0,-0.1743,0.0,432000.0,BALANCED,-4.3566
2025-06-20,PANG,PANG,0.0,16.17,-0.0064,949000.0,0.0,0.0,-0.1743,0.0,432000.0,BALANCED,-4.3566
2025-06-23,PANG,PANG,0.0,16.83,0.0406,949000.0,0.0,0.0,-0.2163,0.0,360000.0,BALANCED,-5.4068
2025-06-24,PANG,PANG,0.0,16.56,-0.0164,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-06-25,PANG,PANG,0.0,16.98,0.0256,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-06-26,PANG,PANG,0.0,16.65,-0.0195,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-06-27,PANG,PANG,0.0,16.34,-0.0185,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-06-30,PANG,PANG,0.0,17.0,0.0403,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-07-01,PANG,PANG,0.0,15.82,-0.0693,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-07-02,PANG,PANG,0.0,15.72,-0.0065,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-07-03,PANG,PANG,0.0,16.47,0.0479,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-07-07,PANG,PANG,0.0,16.4,-0.0043,949000.0,0.0,0.0,-0.2163,0.0,0.0,BALANCED,-5.4068
2025-07-08,PANG,PANG,0.0,16.81,0.0252,949000.0,0.0,0.0,-0.1826,0.0,0.0,BALANCED,-4.5644
2025-07-09,PANG,PANG,0.0,17.15,0.0199,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-10,PANG,PANG,0.0,14.81,-0.1361,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-11,PANG,PANG,0.0,14.08,-0.0497,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-14,PANG,PANG,0.0,14.57,0.0352,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-15,PANG,PANG,0.0,14.8,0.0158,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-16,PANG,PANG,0.0,14.85,0.0032,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-17,PANG,PANG,0.0,15.41,0.038,949000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2025-07-18,PANG,PANG,77000.0,15.32,-0.0062,1026000.0,77000.0,0.0,5.2947,77000.0,77000.0,ACCUMULATION,100.0
2025-07-21,PANG,PANG,0.0,15.96,0.0415,1026000.0,0.0,0.0,-0.1826,77000.0,77000.0,BALANCED,5.4356
2025-07-22,PANG,PANG,0.0,15.45,-0.0319,1026000.0,0.0,0.0,-0.1826,77000.0,77000.0,BALANCED,5.4356
2025-07-23,PANG,PANG,0.0,15.83,0.025,1026000.0,0.0,0.0,-0.1826,77000.0,77000.0,BALANCED,5.4356
2025-07-24,PANG,PANG,0.0,16.13,0.0191,1026000.0,0.0,0.0,-0.1826,77000.0,77000.0,BALANCED,5.4356
2025-07-25,PANG,PANG,0.0,16.46,0.02,1026000.0,0.0,0.0,-0.1826,0.0,77000.0,BALANCED,-4.5644
2025-07-28,PANG,PANG,0.0,16.65,0.0118,1026000.0,0.0,0.0,-0.1826,0.0,77000.0,BALANCED,-4.5644
2025-07-29,PANG,PANG,0.0,14.91,-0.1046,1026000.0,0.0,0.0,-0.1826,0.0,77000.0,BALANCED,-4.5644
2025-07-30,PANG,PANG,0.0,13.24,-0.1119,1026000.0,0.0,0.0,-0.1826,0.0,77000.0,BALANCED,-4.5644
2025-07-31,PANG,PANG,1602000.0,11.87,-0.1036,2628000.0,1602000.0,0.0,5.2885,1602000.0,1679000.0,ACCUMULATION,100.0
2025-08-01,PANG,PANG,0.0,11.76,-0.0095,2628000.0,0.0,0.0,-0.1914,1602000.0,1679000.0,BALANCED,5.2139
2025-08-04,PANG,PANG,805000.0,11.5,-0.0223,3433000.0,805000.0,0.0,2.2399,2407000.0,2484000.0,ACCUMULATION,67.9984
2025-08-05,PANG,PANG,1123000.0,11.23,-0.0228,4556000.0,1123000.0,0.0,2.684,3530000.0,3607000.0,ACCUMULATION,81.101
2025-08-06,PANG,PANG,176000.0,11.73,0.0446,4732000.0,176000.0,0.0,0.1338,3706000.0,3783000.0,BALANCED,19.3442
2025-08-07,PANG,PANG,0.0,11.08,-0.0558,4732000.0,0.0,0.0,-0.338,2104000.0,3783000.0,BALANCED,1.549
2025-08-08,PANG,PANG,0.0,10.93,-0.0135,4732000.0,0.0,0.0,-0.338,2104000.0,3783000.0,BALANCED,1.549
2025-08-11,PANG,PANG,996000.0,11.07,0.0128,5728000.0,996000.0,0.0,2.0689,2295000.0,4779000.0,ACCUMULATION,63.7218
2025-08-12,PANG,PANG,300000.0,12.02,0.0855,6028000.0,300000.0,0.0,0.3235,1472000.0,5079000.0,BALANCED,22.0867
2025-08-13,PANG,PANG,0.0,12.21,0.0163,6028000.0,0.0,0.0,-0.419,1296000.0,5079000.0,BALANCED,-0.475
2025-08-14,PANG,PANG,0.0,11.75,-0.0378,6028000.0,0.0,0.0,-0.419,1296000.0,5079000.0,BALANCED,-0.475
2025-08-15,PANG,PANG,-61000.0,12.22,0.0397,5967000.0,0.0,-61000.0,-0.5635,1235000.0,4941000.0,BALANCED,-6.0874
2025-08-18,PANG,PANG,1088000.0,12.09,-0.0108,7055000.0,1088000.0,0.0,2.0238,1327000.0,6029000.0,ACCUMULATION,62.5939
2025-08-19,PANG,PANG,320000.0,12.82,0.0608,7375000.0,320000.0,0.0,0.2428,1347000.0,6349000.0,BALANCED,20.0692
2025-08-20,PANG,PANG,0.0,13.22,0.0312,7375000.0,0.0,0.0,-0.4915,1347000.0,6349000.0,BALANCED,-2.2876
2025-08-21,PANG,PANG,261000.0,13.06,-0.0124,7636000.0,261000.0,0.0,0.0878,1608000.0,6610000.0,BALANCED,14.1948
2025-08-22,PANG,PANG,-1072000.0,13.41,0.0268,6564000.0,0.0,-1072000.0,-2.5537,597000.0,5538000.0,DISTRIBUTION,-55.8419
2025-08-25,PANG,PANG,0.0,13.21,-0.0146,6564000.0,0.0,0.0,-0.3796,-491000.0,5538000.0,BALANCED,-19.4897
