date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2023-02-21,SHNY,SHNY,4000000.0,25.0,0.0,4000000.0,4000000.0,0.0,0.0,4000000.0,4000000.0,BALANCED,12.0
2023-02-27,SHNY,SHNY,0.0,24.2,-0.0318,4000000.0,0.0,0.0,0.0,4000000.0,4000000.0,BALANCED,10.0
2023-02-28,SHNY,SHNY,0.0,24.52,0.0131,4000000.0,0.0,0.0,0.0,4000000.0,4000000.0,BALANCED,10.0
2023-03-01,SHNY,SHNY,100000.0,24.93,0.0167,4100000.0,100000.0,0.0,0.0,4100000.0,4100000.0,BALANCED,12.0
2023-03-02,SHNY,SHNY,-99000.0,24.87,-0.0024,4001000.0,0.0,-99000.0,-0.5023,4001000.0,4001000.0,BALANCED,-4.5578
2023-03-03,SHNY,SHNY,0.0,25.66,0.0316,4001000.0,0.0,0.0,-0.4081,1000.0,4001000.0,BALANCED,-0.2017
2023-03-06,SHNY,SHNY,0.0,25.22,-0.0169,4001000.0,0.0,0.0,-0.3778,1000.0,4001000.0,BALANCED,0.5549
2023-03-07,SHNY,SHNY,0.0,23.88,-0.053,4001000.0,0.0,0.0,-0.3534,1000.0,4001000.0,BALANCED,1.1649
2023-03-08,SHNY,SHNY,0.0,23.84,-0.002,4001000.0,0.0,0.0,-0.3332,-99000.0,4001000.0,BALANCED,-18.3299
2023-03-09,SHNY,SHNY,0.0,24.53,0.0289,4001000.0,0.0,0.0,-0.3161,0.0,4001000.0,BALANCED,-7.9025
2023-03-10,SHNY,SHNY,0.0,26.1,0.0641,4001000.0,0.0,0.0,-0.3014,0.0,4001000.0,BALANCED,-7.5347
2023-03-13,SHNY,SHNY,0.0,27.85,0.067,4001000.0,0.0,0.0,-0.2886,0.0,4001000.0,BALANCED,-7.214
2023-03-14,SHNY,SHNY,0.0,27.35,-0.018,4001000.0,0.0,0.0,-0.2772,0.0,4001000.0,BALANCED,-6.931
2023-03-15,SHNY,SHNY,0.0,27.97,0.0228,4001000.0,0.0,0.0,-0.2672,0.0,4001000.0,BALANCED,-6.6789
2023-03-16,SHNY,SHNY,0.0,28.12,0.0055,4001000.0,0.0,0.0,-0.2581,0.0,4001000.0,BALANCED,-6.4524
2023-03-17,SHNY,SHNY,0.0,30.56,0.0868,4001000.0,0.0,0.0,-0.2499,0.0,4001000.0,BALANCED,-6.2475
2023-03-20,SHNY,SHNY,0.0,30.54,-0.0007,4001000.0,0.0,0.0,-0.2424,0.0,4001000.0,BALANCED,-6.061
2023-03-21,SHNY,SHNY,0.0,28.79,-0.0572,4001000.0,0.0,0.0,-0.2356,0.0,4001000.0,BALANCED,-5.8903
2023-03-22,SHNY,SHNY,0.0,30.25,0.0505,4001000.0,0.0,0.0,-0.2293,0.0,4001000.0,BALANCED,-5.7332
2023-03-23,SHNY,SHNY,0.0,31.37,0.037,4001000.0,0.0,0.0,-0.2235,0.0,4001000.0,BALANCED,-5.588
2023-03-24,SHNY,SHNY,0.0,30.29,-0.0344,4001000.0,0.0,0.0,-0.2181,0.0,1000.0,BALANCED,-5.4533
2023-03-27,SHNY,SHNY,0.0,29.39,-0.0296,4001000.0,0.0,0.0,-0.2131,0.0,1000.0,BALANCED,-5.328
2023-03-28,SHNY,SHNY,0.0,30.1,0.024,4001000.0,0.0,0.0,-0.2084,0.0,1000.0,BALANCED,-5.2109
2023-03-29,SHNY,SHNY,0.0,29.63,-0.0155,4001000.0,0.0,0.0,-0.204,0.0,-99000.0,BALANCED,-5.1011
2023-03-30,SHNY,SHNY,0.0,30.42,0.0265,4001000.0,0.0,0.0,-0.1999,0.0,0.0,BALANCED,-4.9981
2023-03-31,SHNY,SHNY,0.0,29.92,-0.0163,4001000.0,0.0,0.0,-0.196,0.0,0.0,BALANCED,-4.901
2023-04-03,SHNY,SHNY,0.0,30.51,0.0198,4001000.0,0.0,0.0,-0.1924,0.0,0.0,BALANCED,-4.8094
2023-04-04,SHNY,SHNY,0.0,32.2,0.0553,4001000.0,0.0,0.0,-0.1889,0.0,0.0,BALANCED,-4.7228
2023-04-05,SHNY,SHNY,0.0,32.1,-0.003,4001000.0,0.0,0.0,-0.1856,0.0,0.0,BALANCED,-4.6406
2023-04-06,SHNY,SHNY,0.0,31.4,-0.022,4001000.0,0.0,0.0,-0.1825,0.0,0.0,BALANCED,-4.5626
2023-04-10,SHNY,SHNY,0.0,30.62,-0.0247,4001000.0,0.0,0.0,-0.0013,0.0,0.0,BALANCED,-0.0319
2023-04-11,SHNY,SHNY,0.0,31.18,0.0183,4001000.0,0.0,0.0,-0.0013,0.0,0.0,BALANCED,-0.0319
2023-04-12,SHNY,SHNY,0.0,31.62,0.014,4001000.0,0.0,0.0,-0.0013,0.0,0.0,BALANCED,-0.0319
2023-04-13,SHNY,SHNY,0.0,32.88,0.0399,4001000.0,0.0,0.0,0.1826,0.0,0.0,BALANCED,4.5644
2023-04-14,SHNY,SHNY,0.0,31.12,-0.0537,4001000.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
