date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2016-01-04,SVXY,SVXY,9633000.0,48.17,-0.0521,9633000.0,9633000.0,0.0,0.0,9633000.0,9633000.0,BALANCED,12.0
2016-01-05,SVXY,SVXY,41602000.0,48.94,0.0162,51235000.0,41602000.0,0.0,0.0,51235000.0,51235000.0,BALANCED,14.0
2016-01-06,SVXY,SVXY,9437000.0,47.19,-0.0359,60672000.0,9437000.0,0.0,0.0,60672000.0,60672000.0,BALANCED,16.0
2016-01-07,SVXY,SVXY,8303000.0,41.51,-0.1202,68975000.0,8303000.0,0.0,0.0,68975000.0,68975000.0,BALANCED,18.0
2016-01-08,SVXY,SVXY,73779000.0,38.83,-0.0646,142754000.0,73779000.0,0.0,1.5631,142754000.0,142754000.0,ACCUMULATION,59.0764
2016-01-11,SVXY,SVXY,51181000.0,40.94,0.0544,193935000.0,51181000.0,0.0,0.6863,184302000.0,193935000.0,BALANCED,39.1563
2016-01-12,SVXY,SVXY,79187000.0,42.8,0.0454,273122000.0,79187000.0,0.0,1.3081,221887000.0,273122000.0,BALANCED,56.7013
2016-01-13,SVXY,SVXY,51913000.0,38.45,-0.1016,325035000.0,51913000.0,0.0,0.3919,264363000.0,325035000.0,BALANCED,35.7966
2016-01-14,SVXY,SVXY,0.0,39.91,0.0379,325035000.0,0.0,0.0,-1.1979,256060000.0,325035000.0,BALANCED,-19.948
2016-01-15,SVXY,SVXY,10822000.0,36.07,-0.0961,335857000.0,10822000.0,0.0,-0.7709,193103000.0,335857000.0,BALANCED,-7.2731
2016-01-19,SVXY,SVXY,49363000.0,36.57,0.0137,385220000.0,49363000.0,0.0,0.5048,191285000.0,385220000.0,BALANCED,26.6198
2016-01-20,SVXY,SVXY,3550000.0,35.5,-0.0291,388770000.0,3550000.0,0.0,-1.0096,115648000.0,388770000.0,BALANCED,-9.2394
2016-01-21,SVXY,SVXY,50769000.0,35.01,-0.0138,439539000.0,50769000.0,0.0,0.6094,114504000.0,439539000.0,BALANCED,33.235
2016-01-22,SVXY,SVXY,0.0,38.24,0.0922,439539000.0,0.0,0.0,-1.1125,114504000.0,439539000.0,BALANCED,-17.8114
2016-01-25,SVXY,SVXY,-21661000.0,36.1,-0.0559,417878000.0,0.0,-21661000.0,-1.6262,82021000.0,417878000.0,DISTRIBUTION,-32.6553
2016-01-26,SVXY,SVXY,-69770000.0,37.71,0.0447,348108000.0,0.0,-69770000.0,-2.3944,-37112000.0,348108000.0,DISTRIBUTION,-73.8607
2016-01-27,SVXY,SVXY,-27276000.0,36.37,-0.0357,320832000.0,0.0,-27276000.0,-1.1871,-67938000.0,320832000.0,BALANCED,-45.6777
2016-01-28,SVXY,SVXY,-18558000.0,37.12,0.0205,302274000.0,0.0,-18558000.0,-0.9127,-137265000.0,302274000.0,BALANCED,-40.8176
2016-01-29,SVXY,SVXY,-53300000.0,39.48,0.0637,248974000.0,0.0,-53300000.0,-1.6223,-190565000.0,248974000.0,DISTRIBUTION,-60.5575
2016-02-01,SVXY,SVXY,-91222000.0,39.66,0.0046,157752000.0,0.0,-91222000.0,-2.1467,-260126000.0,157752000.0,DISTRIBUTION,-75.6685
2016-02-02,SVXY,SVXY,-29576000.0,36.97,-0.0679,128176000.0,0.0,-29576000.0,-0.7801,-219932000.0,118543000.0,BALANCED,-43.5034
2016-02-03,SVXY,SVXY,0.0,37.49,0.0141,128176000.0,0.0,0.0,-0.1305,-192656000.0,76941000.0,BALANCED,-13.262
2016-02-04,SVXY,SVXY,0.0,36.99,-0.0134,128176000.0,0.0,0.0,-0.1277,-174098000.0,67504000.0,BALANCED,-13.1924
2016-02-05,SVXY,SVXY,0.0,35.76,-0.0331,128176000.0,0.0,0.0,-0.1251,-120798000.0,59201000.0,BALANCED,-13.127
2016-02-08,SVXY,SVXY,0.0,34.17,-0.0446,128176000.0,0.0,0.0,-0.1226,-29576000.0,-14578000.0,BALANCED,-13.0655
2016-02-09,SVXY,SVXY,0.0,33.39,-0.0228,128176000.0,0.0,0.0,-0.1203,0.0,-65759000.0,BALANCED,-3.0075
2016-02-10,SVXY,SVXY,0.0,33.19,-0.0061,128176000.0,0.0,0.0,-0.1181,0.0,-144946000.0,BALANCED,-2.9526
2016-02-11,SVXY,SVXY,4725000.0,31.5,-0.0507,132901000.0,4725000.0,0.0,-0.0005,4725000.0,-192134000.0,BALANCED,11.9864
2016-02-12,SVXY,SVXY,19420000.0,32.37,0.0274,152321000.0,19420000.0,0.0,0.3649,24145000.0,-172714000.0,BALANCED,23.1217
2016-02-16,SVXY,SVXY,-18750000.0,34.09,0.0533,133571000.0,0.0,-18750000.0,-0.6042,5395000.0,-202286000.0,BALANCED,-7.1039
2016-02-17,SVXY,SVXY,-21226000.0,35.38,0.0377,112345000.0,0.0,-21226000.0,-0.6374,-15831000.0,-272875000.0,BALANCED,-29.9345
2016-02-18,SVXY,SVXY,-19573000.0,35.59,0.006,92772000.0,0.0,-19573000.0,-0.5486,-35404000.0,-295998000.0,BALANCED,-29.7154
2016-02-19,SVXY,SVXY,-14485000.0,36.21,0.0176,78287000.0,0.0,-14485000.0,-0.3938,-54614000.0,-361252000.0,BALANCED,-27.8442
2016-02-22,SVXY,SVXY,-19169000.0,38.34,0.0587,59118000.0,0.0,-19169000.0,-0.4905,-93203000.0,-380421000.0,BALANCED,-32.2614
2016-02-23,SVXY,SVXY,-36339000.0,36.34,-0.0522,22779000.0,0.0,-36339000.0,-0.8911,-110792000.0,-395099000.0,BALANCED,-44.2781
2016-02-24,SVXY,SVXY,-5548000.0,36.99,0.0179,17231000.0,0.0,-5548000.0,0.0098,-95114000.0,-330877000.0,BALANCED,-23.7539
2016-02-25,SVXY,SVXY,0.0,38.47,0.04,17231000.0,0.0,0.0,0.2763,-75541000.0,-303601000.0,BALANCED,-3.0918
2016-02-26,SVXY,SVXY,-24335000.0,37.44,-0.0268,-7104000.0,0.0,-24335000.0,-0.4607,-85391000.0,-309378000.0,BALANCED,-23.5182
2016-02-29,SVXY,SVXY,57170000.0,36.88,-0.0148,50066000.0,57170000.0,0.0,2.1175,-9052000.0,-198908000.0,ACCUMULATION,44.9381
2016-03-01,SVXY,SVXY,2023000.0,40.45,0.0968,52089000.0,2023000.0,0.0,0.3683,29310000.0,-105663000.0,BALANCED,23.2079
2016-03-02,SVXY,SVXY,0.0,40.66,0.005,52089000.0,0.0,0.0,0.3802,34858000.0,-76087000.0,BALANCED,19.5062
2016-03-03,SVXY,SVXY,-8476000.0,42.38,0.0424,43613000.0,0.0,-8476000.0,0.1042,26382000.0,-84563000.0,BALANCED,10.6045
2016-03-04,SVXY,SVXY,-24708000.0,41.18,-0.0284,18905000.0,0.0,-24708000.0,-0.4007,26009000.0,-109271000.0,BALANCED,-4.0183
