date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2016-01-04,UGL,UGL,0.0,30.97,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-05,UGL,UGL,0.0,30.67,-0.0097,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-06,UGL,UGL,0.0,31.49,0.0267,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-07,UGL,UGL,0.0,32.35,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-08,UGL,UGL,0.0,32.09,-0.0082,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-11,UGL,UGL,0.0,32.03,-0.0019,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-12,UGL,UGL,0.0,31.13,-0.0279,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-13,UGL,UGL,0.0,31.29,0.005,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-14,UGL,UGL,0.0,31.3,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-15,UGL,UGL,0.0,31.61,0.0098,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-19,UGL,UGL,-1558000.0,31.17,-0.0139,-1558000.0,0.0,-1558000.0,-3.0151,-1558000.0,-1558000.0,DISTRIBUTION,-87.3778
2016-01-20,UGL,UGL,0.0,32.06,0.0285,-1558000.0,0.0,0.0,0.2887,-1558000.0,-1558000.0,BALANCED,-2.7831
2016-01-21,UGL,UGL,0.0,31.75,-0.0096,-1558000.0,0.0,0.0,0.2774,-1558000.0,-1558000.0,BALANCED,-3.0662
2016-01-22,UGL,UGL,0.0,31.74,-0.0004,-1558000.0,0.0,0.0,0.2673,-1558000.0,-1558000.0,BALANCED,-3.3185
