date,ticker,trackinsight_key,usd_flow,nav,perf_pct,cumulative_flow,daily_inflow,daily_outflow,flow_zscore,flow_5d,flow_20d,regime,pressure
2016-01-04,YCL,YCL,0.0,55.47,0.0131,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-05,YCL,YCL,0.0,55.82,0.0064,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-06,YCL,YCL,0.0,56.33,0.0092,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-07,YCL,YCL,0.0,57.19,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-08,YCL,YCL,0.0,57.28,0.0016,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-11,YCL,YCL,0.0,57.03,-0.0045,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-12,YCL,YCL,0.0,57.05,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-13,YCL,YCL,0.0,57.1,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-14,YCL,YCL,0.0,56.71,-0.0068,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-15,YCL,YCL,0.0,57.79,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-19,YCL,YCL,0.0,57.15,-0.0112,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-20,YCL,YCL,0.0,57.83,0.0119,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-21,YCL,YCL,0.0,57.23,-0.0104,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-22,YCL,YCL,0.0,55.93,-0.0226,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-25,YCL,YCL,0.0,56.42,0.0087,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-26,YCL,YCL,0.0,56.31,-0.002,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-27,YCL,YCL,0.0,56.12,-0.0034,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-28,YCL,YCL,0.0,55.92,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
2016-01-29,YCL,YCL,0.0,53.85,-0.0369,0.0,0.0,0.0,0.0,0.0,0.0,BALANCED,0.0
