ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
CSD,SNDK,Sandisk Corp/DE,0.0,2026-02-12,2026-02-16
CSD,CR,Crane Co,0.0,2026-02-12,2026-02-16
CSD,GEV,GE Vernova Inc,0.0,2026-02-12,2026-02-16
CSD,SOLS,Solstice Advanced Materials Inc,0.0,2026-02-12,2026-02-16
CSD,CEG,Constellation Energy Corp,0.0,2026-02-12,2026-02-16
CSD,Q,Qnity Electronics Inc,0.0,2026-02-12,2026-02-16
CSD,ESAB,Esab Corp,0.0,2026-02-12,2026-02-16
CSD,GEHC,GE HealthCare Technologies Inc,0.0,2026-02-12,2026-02-16
CSD,VLTO,Veralto Corp,0.0,2026-02-12,2026-02-16
CSD,ECG,Everus Construction Group Inc,0.0,2026-02-12,2026-02-16
