ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
QQQM,NVDA,NVIDIA Corp,0.0855,2026-03-26,2026-03-31
QQQM,AAPL,Apple Inc,0.0767,2026-03-26,2026-03-31
QQQM,MSFT,Microsoft Corp,0.0556,2026-03-26,2026-03-31
QQQM,AMZN,Amazon.com Inc,0.0449,2026-03-26,2026-03-31
QQQM,TSLA,Tesla Inc,0.0379,2026-03-26,2026-03-31
QQQM,WMT,Walmart Inc,0.0349,2026-03-26,2026-03-31
QQQM,GOOGL,Alphabet Inc,0.0335,2026-03-26,2026-03-31
QQQM,META,Meta Platforms Inc,0.0326,2026-03-26,2026-03-31
QQQM,GOOG,Alphabet Inc,0.0313,2026-03-26,2026-03-31
QQQM,AVGO,Broadcom Inc,0.03,2026-03-26,2026-03-31
