ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
RPG,SNDK,Sandisk Corp/DE,0.0446,2026-03-12,2026-03-17
RPG,FIX,Comfort Systems USA Inc,0.0341,2026-03-12,2026-03-17
RPG,BRK/B,Berkshire Hathaway Inc,0.0277,2026-03-12,2026-03-17
RPG,HWM,Howmet Aerospace Inc,0.0255,2026-03-12,2026-03-17
RPG,CIEN,Ciena Corp,0.0236,2026-03-12,2026-03-17
RPG,MPWR,Monolithic Power Systems Inc,0.0231,2026-03-12,2026-03-17
RPG,MU,Micron Technology Inc,0.022799999999999997,2026-03-12,2026-03-17
RPG,APH,Amphenol Corp,0.022799999999999997,2026-03-12,2026-03-17
RPG,HCA,HCA Healthcare Inc,0.0225,2026-03-12,2026-03-17
RPG,KLAC,KLA Corp,0.0213,2026-03-12,2026-03-17
