ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPHB,AMD,Advanced Micro Devices Inc,0.019799999999999998,2026-05-01,2026-05-04
SPHB,INTC,Intel Corp,0.018000000000000002,2026-05-01,2026-05-04
SPHB,DELL,Dell Technologies Inc,0.0178,2026-05-01,2026-05-04
SPHB,MU,Micron Technology Inc,0.0171,2026-05-01,2026-05-04
SPHB,MPWR,Monolithic Power Systems Inc,0.0168,2026-05-01,2026-05-04
SPHB,WDC,Western Digital Corp,0.0165,2026-05-01,2026-05-04
SPHB,ON,ON Semiconductor Corp,0.016399999999999998,2026-05-01,2026-05-04
SPHB,STX,Seagate Technology Holdings PLC,0.0159,2026-05-01,2026-05-04
SPHB,COIN,Coinbase Global Inc,0.0154,2026-05-01,2026-05-04
SPHB,MCHP,Microchip Technology Inc,0.0151,2026-05-01,2026-05-04
