ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPHQ,COST,Costco Wholesale Corp,0.0481,2026-04-29,2026-05-01
SPHQ,V,Visa Inc,0.046799999999999994,2026-04-29,2026-05-01
SPHQ,AAPL,Apple Inc,0.045,2026-04-29,2026-05-01
SPHQ,MA,Mastercard Inc,0.0433,2026-04-29,2026-05-01
SPHQ,GE,General Electric Co,0.0416,2026-04-29,2026-05-01
SPHQ,LRCX,Lam Research Corp,0.0409,2026-04-29,2026-05-01
SPHQ,CAT,Caterpillar Inc,0.0378,2026-04-29,2026-05-01
SPHQ,CSCO,Cisco Systems Inc,0.0354,2026-04-29,2026-05-01
SPHQ,PG,Procter & Gamble Co/The,0.0349,2026-04-29,2026-05-01
SPHQ,KO,Coca-Cola Co/The,0.0333,2026-04-29,2026-05-01
