ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XLG,NVDA,NVIDIA Corp,0.1272,2026-03-31,2026-04-03
XLG,AAPL,Apple Inc,0.1118,2026-03-31,2026-04-03
XLG,MSFT,Microsoft Corp,0.0817,2026-03-31,2026-04-03
XLG,AMZN,Amazon.com Inc,0.0613,2026-03-31,2026-04-03
XLG,GOOGL,Alphabet Inc,0.0516,2026-03-31,2026-04-03
XLG,AVGO,Broadcom Inc,0.0443,2026-03-31,2026-04-03
XLG,GOOG,Alphabet Inc,0.041100000000000005,2026-03-31,2026-04-03
XLG,META,Meta Platforms Inc,0.0377,2026-03-31,2026-04-03
XLG,TSLA,Tesla Inc,0.0319,2026-03-31,2026-04-03
XLG,BRK/B,Berkshire Hathaway Inc,0.026099999999999998,2026-03-31,2026-04-03
