ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XMMO,CW,Curtiss-Wright Corp,0.0397,2026-03-24,2026-03-27
XMMO,FTI,TechnipFMC PLC,0.0351,2026-03-24,2026-03-27
XMMO,WWD,Woodward Inc,0.0276,2026-03-24,2026-03-27
XMMO,RGLD,Royal Gold Inc,0.027000000000000003,2026-03-24,2026-03-27
XMMO,FN,Fabrinet,0.026699999999999998,2026-03-24,2026-03-27
XMMO,ATI,ATI Inc,0.0263,2026-03-24,2026-03-27
XMMO,CASY,Casey's General Stores Inc,0.0259,2026-03-24,2026-03-27
XMMO,NXT,Nextpower Inc,0.0252,2026-03-24,2026-03-27
XMMO,KTOS,Kratos Defense & Security Solutions Inc,0.0246,2026-03-24,2026-03-27
XMMO,BWXT,BWX Technologies Inc,0.023700000000000002,2026-03-24,2026-03-27
