ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XSMO,VIAV,Viavi Solutions Inc,0.0322,2026-04-13,2026-04-16
XSMO,VSAT,Viasat Inc,0.031200000000000002,2026-04-13,2026-04-16
XSMO,PRIM,Primoris Services Corp,0.0294,2026-04-13,2026-04-16
XSMO,ESE,ESCO Technologies Inc,0.0274,2026-04-13,2026-04-16
XSMO,FORM,FormFactor Inc,0.0219,2026-04-13,2026-04-16
XSMO,KRYS,Krystal Biotech Inc,0.0204,2026-04-13,2026-04-16
XSMO,SANM,Sanmina Corp,0.018500000000000003,2026-04-13,2026-04-16
XSMO,POWL,Powell Industries Inc,0.0181,2026-04-13,2026-04-16
XSMO,PTGX,Protagonist Therapeutics Inc,0.018000000000000002,2026-04-13,2026-04-16
XSMO,SNEX,StoneX Group Inc,0.0177,2026-04-13,2026-04-16
