ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
CALF,ABM,ABM Industries Inc,0.0039000000000000003,2026-04-17,2026-04-19
CALF,ADT,ADT Inc,0.0085,2026-04-17,2026-04-19
CALF,ALIT,Alight Inc,0.0007000000000000001,2026-04-17,2026-04-19
CALF,ALKS,Alkermes PLC,0.0068000000000000005,2026-04-17,2026-04-19
CALF,ALV,Autoliv Inc,0.0095,2026-04-17,2026-04-19
CALF,AMN,AMN Healthcare Services Inc,0.0018,2026-04-17,2026-04-19
CALF,AMPH,Amphastar Pharmaceuticals Inc,0.0017000000000000001,2026-04-17,2026-04-19
CALF,ANF,Abercrombie & Fitch Co,0.0051,2026-04-17,2026-04-19
CALF,ANGI,Angi Inc,0.0005,2026-04-17,2026-04-19
CALF,ANIP,ANI Pharmaceuticals Inc,0.002,2026-04-17,2026-04-19
CALF,APA,APA Corp,0.0192,2026-04-17,2026-04-19
CALF,ASGN,ASGN Inc,0.0036,2026-04-17,2026-04-19
CALF,ATKR,Atkore Inc,0.0027,2026-04-17,2026-04-19
CALF,AZZ,AZZ Inc,0.0054,2026-04-17,2026-04-19
CALF,BBWI,Bath & Body Works Inc,0.009300000000000001,2026-04-17,2026-04-19
CALF,BBY,Best Buy Co Inc,0.0182,2026-04-17,2026-04-19
CALF,BCRX,BioCryst Pharmaceuticals Inc,0.0043,2026-04-17,2026-04-19
CALF,BH,Biglari Holdings Inc,0.0005,2026-04-17,2026-04-19
CALF,BILL,BILL Holdings Inc,0.0037,2026-04-17,2026-04-19
CALF,BKE,Buckle Inc/The,0.0027,2026-04-17,2026-04-19
CALF,BLBD,Blue Bird Corp,0.0021,2026-04-17,2026-04-19
CALF,BLKB,Blackbaud Inc,0.002,2026-04-17,2026-04-19
CALF,BMBL,Bumble Inc,0.0008,2026-04-17,2026-04-19
CALF,BOX,Box Inc,0.0034999999999999996,2026-04-17,2026-04-19
CALF,BRBR,BellRing Brands Inc,0.0027,2026-04-17,2026-04-19
CALF,BWA,BorgWarner Inc,0.0149,2026-04-17,2026-04-19
CALF,CABO,Cable One Inc,0.0011,2026-04-17,2026-04-19
CALF,CALM,Cal-Maine Foods Inc,0.008100000000000001,2026-04-17,2026-04-19
CALF,CALY,Callaway Golf Co,0.004,2026-04-17,2026-04-19
CALF,CARG,Cargurus Inc,0.0036,2026-04-17,2026-04-19
CALF,CARS,Cars.com Inc,0.0014000000000000002,2026-04-17,2026-04-19
CALF,CART,Maplebear Inc,0.0113,2026-04-17,2026-04-19
CALF,CBT,Cabot Corp,0.0053,2026-04-17,2026-04-19
CALF,CHRD,Chord Energy Corp,0.0079,2026-04-17,2026-04-19
CALF,CNMD,CONMED Corp,0.0018,2026-04-17,2026-04-19
CALF,CNXC,Concentrix Corp,0.0031,2026-04-17,2026-04-19
CALF,COLL,Collegium Pharmaceutical Inc,0.0025,2026-04-17,2026-04-19
CALF,COLM,Columbia Sportswear Co,0.0027,2026-04-17,2026-04-19
CALF,COTY,Coty Inc,0.002,2026-04-17,2026-04-19
CALF,COUR,Coursera Inc,0.0009,2026-04-17,2026-04-19
CALF,CPRX,Catalyst Pharmaceuticals Inc,0.0027,2026-04-17,2026-04-19
CALF,CRC,California Resources Corp,0.0064,2026-04-17,2026-04-19
CALF,CRGY,Crescent Energy Co,0.0066,2026-04-17,2026-04-19
CALF,CRMD,CorMedix Inc,0.0012,2026-04-17,2026-04-19
CALF,CROX,Crocs Inc,0.0103,2026-04-17,2026-04-19
CALF,CRUS,Cirrus Logic Inc,0.0087,2026-04-17,2026-04-19
CALF,CVSA,Covista Inc,0.004699999999999999,2026-04-17,2026-04-19
CALF,CXM,Sprinklr Inc,0.0014000000000000002,2026-04-17,2026-04-19
CALF,DBD,Diebold Nixdorf Inc,0.0034000000000000002,2026-04-17,2026-04-19
CALF,DBX,Dropbox Inc,0.0098,2026-04-17,2026-04-19
CALF,DDS,Dillard's Inc,0.0042,2026-04-17,2026-04-19
CALF,DEA,Easterly Government Properties Inc,0.0024,2026-04-17,2026-04-19
CALF,DECK,Deckers Outdoor Corp,0.011899999999999999,2026-04-17,2026-04-19
CALF,DLB,Dolby Laboratories Inc,0.004699999999999999,2026-04-17,2026-04-19
CALF,DOCS,Doximity Inc,0.0036,2026-04-17,2026-04-19
CALF,DOCU,Docusign Inc,0.011000000000000001,2026-04-17,2026-04-19
CALF,DOX,Amdocs Ltd,0.0088,2026-04-17,2026-04-19
CALF,DUOL,Duolingo Inc,0.0042,2026-04-17,2026-04-19
CALF,DV,DoubleVerify Holdings Inc,0.0021,2026-04-17,2026-04-19
CALF,DVN,Devon Energy Corp,0.0177,2026-04-17,2026-04-19
CALF,DXC,DXC Technology Co,0.0052,2026-04-17,2026-04-19
CALF,EBS,Emergent BioSolutions Inc,0.0011,2026-04-17,2026-04-19
CALF,EPAM,EPAM Systems Inc,0.0067,2026-04-17,2026-04-19
CALF,ETD,Ethan Allen Interiors Inc,0.0005,2026-04-17,2026-04-19
CALF,ETSY,Etsy Inc,0.0087,2026-04-17,2026-04-19
CALF,EVER,EverQuote Inc,0.001,2026-04-17,2026-04-19
CALF,EXEL,Exelixis Inc,0.0109,2026-04-17,2026-04-19
CALF,EXPE,Expedia Group Inc,0.0215,2026-04-17,2026-04-19
CALF,FDP,Fresh Del Monte Produce Inc,0.0021,2026-04-17,2026-04-19
CALF,FET,Forum Energy Technologies Inc,0.0008,2026-04-17,2026-04-19
CALF,FIVN,Five9 Inc,0.0019,2026-04-17,2026-04-19
CALF,FLO,Flowers Foods Inc,0.0034999999999999996,2026-04-17,2026-04-19
CALF,FOXA,Fox Corp,0.021,2026-04-17,2026-04-19
CALF,FRSH,Freshworks Inc,0.0026,2026-04-17,2026-04-19
CALF,FTDR,Frontdoor Inc,0.0044,2026-04-17,2026-04-19
CALF,G,Genpact Ltd,0.008,2026-04-17,2026-04-19
CALF,GCT,GigaCloud Technology Inc,0.0027,2026-04-17,2026-04-19
CALF,GDDY,GoDaddy Inc,0.0191,2026-04-17,2026-04-19
CALF,GDRX,GoodRx Holdings Inc,0.0005,2026-04-17,2026-04-19
CALF,GDYN,Grid Dynamics Holdings Inc,0.0003,2026-04-17,2026-04-19
CALF,GEN,GEN DIGITAL INC,0.0169,2026-04-17,2026-04-19
CALF,GIII,G-III Apparel Group Ltd,0.0026,2026-04-17,2026-04-19
CALF,GME,GameStop Corp,0.0068000000000000005,2026-04-17,2026-04-19
CALF,GNTX,Gentex Corp,0.005600000000000001,2026-04-17,2026-04-19
CALF,GOLD,Gold.com Inc,0.0022,2026-04-17,2026-04-19
CALF,GRPN,Groupon Inc,0.0008,2026-04-17,2026-04-19
CALF,GTLB,Gitlab Inc,0.0026,2026-04-17,2026-04-19
CALF,GTM,ZoomInfo Technologies Inc,0.0039000000000000003,2026-04-17,2026-04-19
CALF,HAE,Haemonetics Corp,0.0036,2026-04-17,2026-04-19
CALF,HCSG,Healthcare Services Group Inc,0.0016,2026-04-17,2026-04-19
CALF,HLF,Herbalife Ltd,0.0032,2026-04-17,2026-04-19
CALF,HLIT,Harmonic Inc,0.0012,2026-04-17,2026-04-19
CALF,HLX,Helix Energy Solutions Group Inc,0.0014000000000000002,2026-04-17,2026-04-19
CALF,HOG,Harley-Davidson Inc,0.0063,2026-04-17,2026-04-19
CALF,HOV,Hovnanian Enterprises Inc,0.0012,2026-04-17,2026-04-19
CALF,HRB,H&R Block Inc,0.0063,2026-04-17,2026-04-19
CALF,HRMY,Harmony Biosciences Holdings Inc,0.0028000000000000004,2026-04-17,2026-04-19
CALF,HZO,MarineMax Inc,0.0013,2026-04-17,2026-04-19
CALF,IDT,IDT Corp,0.0014000000000000002,2026-04-17,2026-04-19
CALF,IIPR,Innovative Industrial Properties Inc,0.002,2026-04-17,2026-04-19
CALF,INCY,Incyte Corp,0.0161,2026-04-17,2026-04-19
CALF,INGM,Ingram Micro Holding Corp,0.0015,2026-04-17,2026-04-19
CALF,INVA,Innoviva Inc,0.0025,2026-04-17,2026-04-19
CALF,INVX,Innovex International Inc,0.0019,2026-04-17,2026-04-19
CALF,IRWD,Ironwood Pharmaceuticals Inc,0.0015,2026-04-17,2026-04-19
CALF,IT,Gartner Inc,0.0125,2026-04-17,2026-04-19
CALF,ITRI,Itron Inc,0.0048,2026-04-17,2026-04-19
CALF,JAZZ,Jazz Pharmaceuticals PLC,0.0155,2026-04-17,2026-04-19
CALF,JBI,Janus International Group Inc,0.0014000000000000002,2026-04-17,2026-04-19
CALF,KFY,Korn Ferry,0.0036,2026-04-17,2026-04-19
CALF,KMX,CarMax Inc,0.0139,2026-04-17,2026-04-19
CALF,KSS,Kohl's Corp,0.0038,2026-04-17,2026-04-19
CALF,KTB,Kontoor Brands Inc,0.005699999999999999,2026-04-17,2026-04-19
CALF,LEG,Leggett & Platt Inc,0.0038,2026-04-17,2026-04-19
CALF,LPG,Dorian LPG Ltd,0.0019,2026-04-17,2026-04-19
CALF,LYFT,Lyft Inc,0.0138,2026-04-17,2026-04-19
CALF,LZ,Legalzoom.com Inc,0.0017000000000000001,2026-04-17,2026-04-19
CALF,LZB,La-Z-Boy Inc,0.0019,2026-04-17,2026-04-19
CALF,M,Macy's Inc,0.0105,2026-04-17,2026-04-19
CALF,MAX,MediaAlpha Inc,0.0008,2026-04-17,2026-04-19
CALF,MBLY,Mobileye Global Inc,0.0029,2026-04-17,2026-04-19
CALF,MCRI,Monarch Casino & Resort Inc,0.0015,2026-04-17,2026-04-19
CALF,MD,Pediatrix Medical Group Inc,0.0034000000000000002,2026-04-17,2026-04-19
CALF,MGNI,Magnite Inc,0.002,2026-04-17,2026-04-19
CALF,MH,McGraw Hill Inc,0.0008,2026-04-17,2026-04-19
CALF,MHK,Mohawk Industries Inc,0.0075,2026-04-17,2026-04-19
CALF,MITK,Mitek Systems Inc,0.0008,2026-04-17,2026-04-19
CALF,MMI,Marcus & Millichap Inc,0.0007000000000000001,2026-04-17,2026-04-19
CALF,MNTN,MNTN Inc,0.0003,2026-04-17,2026-04-19
CALF,MRP,Millrose Properties Inc,0.0111,2026-04-17,2026-04-19
CALF,MTCH,Match Group Inc,0.013500000000000002,2026-04-17,2026-04-19
CALF,NEU,NewMarket Corp,0.0060999999999999995,2026-04-17,2026-04-19
CALF,NGVT,Ingevity Corp,0.0037,2026-04-17,2026-04-19
CALF,NOV,NOV Inc,0.0104,2026-04-17,2026-04-19
CALF,NSIT,Insight Enterprises Inc,0.003,2026-04-17,2026-04-19
CALF,NTAP,NetApp Inc,0.0195,2026-04-17,2026-04-19
CALF,NTCT,NetScout Systems Inc,0.0034999999999999996,2026-04-17,2026-04-19
CALF,NTNX,Nutanix Inc,0.0091,2026-04-17,2026-04-19
CALF,NUTX,Nutex Health Inc,0.0009,2026-04-17,2026-04-19
CALF,OIS,Oil States International Inc,0.0007000000000000001,2026-04-17,2026-04-19
CALF,OMC,Omnicom Group Inc,0.0187,2026-04-17,2026-04-19
CALF,PARR,Par Pacific Holdings Inc,0.0044,2026-04-17,2026-04-19
CALF,PBI,Pitney Bowes Inc,0.0044,2026-04-17,2026-04-19
CALF,PCRX,Pacira BioSciences Inc,0.0017000000000000001,2026-04-17,2026-04-19
CALF,PD,PagerDuty Inc,0.001,2026-04-17,2026-04-19
CALF,PENG,Penguin Solutions Inc,0.002,2026-04-17,2026-04-19
CALF,PGNY,Progyny Inc,0.0023,2026-04-17,2026-04-19
CALF,PII,Polaris Inc,0.0072,2026-04-17,2026-04-19
CALF,PRDO,Perdoceo Education Corp,0.0025,2026-04-17,2026-04-19
CALF,PRGS,Progress Software Corp,0.0023,2026-04-17,2026-04-19
CALF,PTON,Peloton Interactive Inc,0.004699999999999999,2026-04-17,2026-04-19
CALF,QLYS,Qualys Inc,0.0029,2026-04-17,2026-04-19
CALF,QNST,QuinStreet Inc,0.001,2026-04-17,2026-04-19
CALF,QRVO,Qorvo Inc,0.0072,2026-04-17,2026-04-19
CALF,RAMP,LiveRamp Holdings Inc,0.002,2026-04-17,2026-04-19
CALF,REPX,Riley Exploration Permian Inc,0.0008,2026-04-17,2026-04-19
