ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
COWZ,ABNB,Airbnb Inc,0.0097,2026-09-24,2026-09-24
COWZ,ACN,Accenture PLC,0.020499999999999997,2026-09-24,2026-09-24
COWZ,ADBE,Adobe Inc,0.0189,2026-09-24,2026-09-24
COWZ,ADSK,Autodesk Inc,0.0068000000000000005,2026-09-24,2026-09-24
COWZ,AU,Anglogold Ashanti Plc,0.009300000000000001,2026-09-24,2026-09-24
COWZ,BBY,Best Buy Co Inc,0.0043,2026-09-24,2026-09-24
COWZ,BIIB,Biogen Inc,0.0062,2026-09-24,2026-09-24
COWZ,BKNG,Booking Holdings Inc,0.0169,2026-09-24,2026-09-24
COWZ,BKR,Baker Hughes Co,0.0069,2026-09-24,2026-09-24
COWZ,BMY,Bristol-Myers Squibb Co,0.0191,2026-09-24,2026-09-24
COWZ,CAH,Cardinal Health Inc,0.0098,2026-09-24,2026-09-24
COWZ,CCL,Carnival Corp Ltd,0.0070999999999999995,2026-09-24,2026-09-24
COWZ,CDE,COEUR MINING INC.,0.0025,2026-09-24,2026-09-24
COWZ,CF,CF Industries Holdings Inc,0.0042,2026-09-24,2026-09-24
COWZ,CL,Colgate-Palmolive Co,0.0091,2026-09-24,2026-09-24
COWZ,CMCSA,Comcast Corp,0.0178,2026-09-24,2026-09-24
COWZ,COP,ConocoPhillips,0.0199,2026-09-24,2026-09-24
COWZ,COR,Cencora Inc,0.009300000000000001,2026-09-24,2026-09-24
COWZ,CPRT,Copart Inc,0.0028000000000000004,2026-09-24,2026-09-24
COWZ,CRM,Salesforce Inc,0.0192,2026-09-24,2026-09-24
COWZ,CTSH,Cognizant Technology Solutions Corp,0.006,2026-09-24,2026-09-24
COWZ,CVS,CVS Health Corp,0.018600000000000002,2026-09-24,2026-09-24
COWZ,CVX,Chevron Corp,0.0206,2026-09-24,2026-09-24
COWZ,DAL,Delta Air Lines Inc,0.0084,2026-09-24,2026-09-24
COWZ,DD,DuPont de Nemours Inc,0.0025,2026-09-24,2026-09-24
COWZ,DG,Dollar General Corp,0.0044,2026-09-24,2026-09-24
COWZ,DHI,DR Horton Inc,0.0076,2026-09-24,2026-09-24
COWZ,DINO,HF Sinclair Corp,0.005600000000000001,2026-09-24,2026-09-24
COWZ,DLTR,Dollar Tree Inc,0.0040999999999999995,2026-09-24,2026-09-24
COWZ,EBAY,eBay Inc,0.0067,2026-09-24,2026-09-24
COWZ,EOG,EOG Resources Inc,0.015700000000000002,2026-09-24,2026-09-24
COWZ,EQT,EQT Corp,0.0085,2026-09-24,2026-09-24
COWZ,EXE,Expand Energy Corp,0.0053,2026-09-24,2026-09-24
COWZ,EXPE,Expedia Group Inc,0.009399999999999999,2026-09-24,2026-09-24
COWZ,FANG,Diamondback Energy Inc,0.0147,2026-09-24,2026-09-24
COWZ,FDX,FedEx Corp,0.011200000000000002,2026-09-24,2026-09-24
COWZ,FFIV,F5 Inc,0.0027,2026-09-24,2026-09-24
COWZ,FSLR,First Solar Inc,0.0034000000000000002,2026-09-24,2026-09-24
COWZ,FTI,TechnipFMC PLC,0.0034000000000000002,2026-09-24,2026-09-24
COWZ,FTV,Fortive Corp,0.0023,2026-09-24,2026-09-24
COWZ,GD,General Dynamics Corp,0.0149,2026-09-24,2026-09-24
COWZ,GEN,GEN DIGITAL INC,0.0032,2026-09-24,2026-09-24
COWZ,GEV,GE Vernova Inc,0.021099999999999997,2026-09-24,2026-09-24
COWZ,GILD,Gilead Sciences Inc,0.021,2026-09-24,2026-09-24
COWZ,GIS,General Mills Inc,0.0037,2026-09-24,2026-09-24
COWZ,HAL,Halliburton Co,0.0037,2026-09-24,2026-09-24
