ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
CSD,SNDK,Sandisk Corporation,0.12279999999999999,2026-05-15,2026-05-16
CSD,Q,"Qnity Electronics, Inc.",0.0761,2026-05-15,2026-05-16
CSD,GEV,GE Vernova Inc.,0.07519999999999999,2026-05-15,2026-05-16
CSD,VLTO,Veralto Corporation,0.0559,2026-05-15,2026-05-16
CSD,RAL,Ralliant Corporation,0.055,2026-05-15,2026-05-16
CSD,GEHC,GE HealthCare Technologies Inc.,0.054400000000000004,2026-05-15,2026-05-16
CSD,ECG,"Everus Construction Group, Inc.",0.0499,2026-05-15,2026-05-16
CSD,SOLS,"Solstice Advanced Materials, Inc.",0.045599999999999995,2026-05-15,2026-05-16
CSD,SOLV,Solventum Corporation,0.0454,2026-05-15,2026-05-16
CSD,VSNT,"Versant Media Group, Inc.",0.039599999999999996,2026-05-15,2026-05-16
CSD,UHAL.B,U-Haul Holding Company,0.0392,2026-05-15,2026-05-16
CSD,LLYVK,"Liberty Live Holdings, Inc.",0.039,2026-05-15,2026-05-16
CSD,CR,Crane Company,0.0388,2026-05-15,2026-05-16
CSD,KNF,Knife River Corporation,0.0346,2026-05-15,2026-05-16
CSD,MRP,"Millrose Properties, Inc.",0.0308,2026-05-15,2026-05-16
CSD,NATL,NCR Atleos Corporation,0.030699999999999998,2026-05-15,2026-05-16
CSD,VGNT,Versigent PLC,0.0286,2026-05-15,2026-05-16
CSD,PHIN,PHINIA Inc.,0.027999999999999997,2026-05-15,2026-05-16
CSD,RXO,"RXO, Inc.",0.0276,2026-05-15,2026-05-16
CSD,AMTM,"Amentum Holdings, Inc.",0.026099999999999998,2026-05-15,2026-05-16
CSD,CURB,Curbline Properties Corp.,0.02,2026-05-15,2026-05-16
CSD,FTRE,Fortrea Holdings Inc.,0.0118,2026-05-15,2026-05-16
CSD,VSTS,Vestis Corporation,0.0089,2026-05-15,2026-05-16
CSD,MBC,"MasterBrand, Inc.",0.0083,2026-05-15,2026-05-16
CSD,EHAB,"Enhabit, Inc.",0.0067,2026-05-15,2026-05-16
