ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
EEMO,000660,SK hynix Inc,0.131118,2026-05-19,2026-05-20
EEMO,005930,Samsung Electronics Co Ltd,0.102474,2026-05-19,2026-05-20
EEMO,005935,Samsung Electronics Co Ltd,0.045821,2026-05-19,2026-05-20
EEMO,2308,Delta Electronics Inc,0.042842,2026-05-19,2026-05-20
EEMO,402340,SK Square Co Ltd,0.038378,2026-05-19,2026-05-20
EEMO,VALE3,Vale SA,0.017782,2026-05-19,2026-05-20
EEMO,005380,Hyundai Motor Co,0.017597,2026-05-19,2026-05-20
EEMO,2383,Elite Material Co Ltd,0.014697,2026-05-19,2026-05-20
EEMO,ITUB4,Itau Unibanco Holding SA,0.013251,2026-05-19,2026-05-20
EEMO,2318,Ping An Insurance Group Co of China Ltd,0.012809,2026-05-19,2026-05-20
EEMO,034020,Doosan Enerbility Co Ltd,0.012422,2026-05-19,2026-05-20
EEMO,GFI,Gold Fields Ltd,0.010883,2026-05-19,2026-05-20
EEMO,3037,Unimicron Technology Corp,0.010513,2026-05-19,2026-05-20
EEMO,GMEXICOB,Grupo Mexico SAB de CV,0.010061,2026-05-19,2026-05-20
EEMO,2899,Zijin Mining Group Co Ltd,0.00994,2026-05-19,2026-05-20
EEMO,009150,Samsung Electro-Mechanics Co Ltd,0.009828,2026-05-19,2026-05-20
EEMO,2628,China Life Insurance Co Ltd,0.009651,2026-05-19,2026-05-20
EEMO,012450,Hanwha Aerospace Co Ltd,0.009482,2026-05-19,2026-05-20
EEMO,OTP,OTP Bank Nyrt,0.009389,2026-05-19,2026-05-20
EEMO,BAP,Credicorp Ltd,0.008705,2026-05-19,2026-05-20
EEMO,PKN,ORLEN SA,0.008703,2026-05-19,2026-05-20
EEMO,2360,Chroma ATE Inc,0.008284,2026-05-19,2026-05-20
EEMO,298040,Hyosung Heavy Industries Corp,0.008166,2026-05-19,2026-05-20
EEMO,028260,Samsung C&T Corp,0.008022,2026-05-19,2026-05-20
EEMO,2327,Yageo Corp,0.007863,2026-05-19,2026-05-20
EEMO,2344,Winbond Electronics Corp,0.007617,2026-05-19,2026-05-20
EEMO,8299,Phison Electronics Corp,0.00759,2026-05-19,2026-05-20
EEMO,857,PetroChina Co Ltd,0.007476,2026-05-19,2026-05-20
EEMO,055550,Shinhan Financial Group Co Ltd,0.007375,2026-05-19,2026-05-20
EEMO,3017,Asia Vital Components Co Ltd,0.007335,2026-05-19,2026-05-20
EEMO,2408,Nanya Technology Corp,0.006697,2026-05-19,2026-05-20
EEMO,032830,Samsung Life Insurance Co Ltd,0.006152,2026-05-19,2026-05-20
EEMO,VAL,Valterra Platinum Ltd,0.005786,2026-05-19,2026-05-20
EEMO,BBDC4,Banco Bradesco SA,0.005684,2026-05-19,2026-05-20
EEMO,086790,Hana Financial Group Inc,0.005394,2026-05-19,2026-05-20
EEMO,CPI,Capitec Bank Holdings Ltd,0.005337,2026-05-19,2026-05-20
EEMO,2368,Gold Circuit Electronics Ltd,0.0051,2026-05-19,2026-05-20
EEMO,1378,China Hongqiao Group Ltd,0.004961,2026-05-19,2026-05-20
EEMO,6223,MPI Corp,0.004812,2026-05-19,2026-05-20
EEMO,MTN,MTN Group Ltd,0.004804,2026-05-19,2026-05-20
EEMO,1347,Hua Hong Semiconductor Ltd,0.004783,2026-05-19,2026-05-20
EEMO,CEMEXCPO,Cemex SAB de CV,0.004715,2026-05-19,2026-05-20
EEMO,006800,Mirae Asset Securities Co Ltd,0.004699,2026-05-19,2026-05-20
EEMO,ASELS,Aselsan Elektronik Sanayi Ve Ticaret AS,0.004688,2026-05-19,2026-05-20
EEMO,SBIN,State Bank of India,0.004633,2026-05-19,2026-05-20
EEMO,316140,Woori Financial Group Inc,0.004511,2026-05-19,2026-05-20
EEMO,ITSA4,Itausa SA,0.004491,2026-05-19,2026-05-20
EEMO,KGH,KGHM Polska Miedz SA,0.004451,2026-05-19,2026-05-20
EEMO,EMIRATES,Emirates NBD Bank PJSC,0.004272,2026-05-19,2026-05-20
EEMO,278470,APR Corp/Korea,0.004235,2026-05-19,2026-05-20
EEMO,5274,ASPEED Technology Inc,0.004205,2026-05-19,2026-05-20
EEMO,SCCO,Southern Copper Corp,0.004128,2026-05-19,2026-05-20
EEMO,IMP,Impala Platinum Holdings Ltd,0.004064,2026-05-19,2026-05-20
EEMO,PE&amp;OLES*,Industrias Penoles SAB de CV,0.004039,2026-05-19,2026-05-20
EEMO,HNDL,Hindalco Industries Ltd,0.00399,2026-05-19,2026-05-20
EEMO,064350,Hyundai Rotem Co Ltd,0.003929,2026-05-19,2026-05-20
