ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
FPXI,6857.JP,Advantest Corporation,0.09480000000000001,2026-06-04,2026-06-05
FPXI,3750.HK,"Contemporary Amperex Technology Co., Ltd. (Class H)",0.08839999999999999,2026-06-04,2026-06-05
FPXI,285A.JP,Kioxia Holdings Corporation,0.0876,2026-06-04,2026-06-05
FPXI,ARM,Arm Holdings Plc,0.0701,2026-06-04,2026-06-05
FPXI,ENR.GR,Siemens Energy AG,0.0535,2026-06-04,2026-06-05
FPXI,AEM,Agnico Eagle Mines Limited,0.0297,2026-06-04,2026-06-05
FPXI,2327.TT,Yageo Corporation,0.0288,2026-06-04,2026-06-05
FPXI,2513.HK,"Knowledge Atlas Technology Co., Ltd. (Class H)",0.027200000000000002,2026-06-04,2026-06-05
FPXI,SDZ.SW,Sandoz Group AG,0.0268,2026-06-04,2026-06-05
FPXI,CXSE3.BZ,Caixa Seguridade Participacoes SA,0.025099999999999997,2026-06-04,2026-06-05
FPXI,3986.HK,GigaDevice Semiconductor Inc. (Class H),0.0236,2026-06-04,2026-06-05
FPXI,HOT.GY,Hochtief AG,0.022400000000000003,2026-06-04,2026-06-05
FPXI,AS,"Amer Sports, Inc.",0.0219,2026-06-04,2026-06-05
FPXI,6990.HK,"Sichuan Kelun-Biotech Biopharmaceutical Co., Ltd. (Class H)",0.021400000000000002,2026-06-04,2026-06-05
FPXI,VIK,Viking Holdings Ltd,0.0202,2026-06-04,2026-06-05
FPXI,GALD.SE,Galderma Group AG,0.020099999999999996,2026-06-04,2026-06-05
FPXI,329180.KS,"HD Hyundai Heavy Industries Co., Ltd.",0.0187,2026-06-04,2026-06-05
FPXI,TFPM,Triple Flag Precious Metals Corp.,0.0184,2026-06-04,2026-06-05
FPXI,NHY.NO,Norsk Hydro ASA,0.0168,2026-06-04,2026-06-05
FPXI,NTR,Nutrien Ltd.,0.0167,2026-06-04,2026-06-05
FPXI,CLS,Celestica Inc.,0.016399999999999998,2026-06-04,2026-06-05
FPXI,TPRO.IM,Technoprobe SpA,0.016399999999999998,2026-06-04,2026-06-05
FPXI,UCB.BB,UCB S.A.,0.0148,2026-06-04,2026-06-05
FPXI,TEL2B.SS,Tele2 AB (Class B),0.0141,2026-06-04,2026-06-05
FPXI,VALT.LN,Valterra Platinum Limited,0.0141,2026-06-04,2026-06-05
FPXI,EDV.CN,Endeavour Mining Plc,0.0139,2026-06-04,2026-06-05
FPXI,LTM,LATAM Airlines Group S.A. (ADR),0.0132,2026-06-04,2026-06-05
FPXI,LTMC.IM,Lottomatica Group SpA,0.011399999999999999,2026-06-04,2026-06-05
FPXI,WCP.CN,Whitecap Resources Inc.,0.0113,2026-06-04,2026-06-05
FPXI,GRGD.CT,Groupe Dynamite Inc.,0.0106,2026-06-04,2026-06-05
FPXI,9903.HK,"Shanghai Iluvatar CoreX Semiconductor Co., Ltd. (Class H)",0.009399999999999999,2026-06-04,2026-06-05
FPXI,4507.JP,"Shionogi & Co., Ltd.",0.0092,2026-06-04,2026-06-05
FPXI,ENLT,Enlight Renewable Energy Ltd.,0.0089,2026-06-04,2026-06-05
FPXI,IPN.FP,Ipsen SA,0.0088,2026-06-04,2026-06-05
FPXI,1787.HK,"Shandong Gold Mining Co., Ltd. (Class H)",0.008,2026-06-04,2026-06-05
FPXI,4904.TT,"Far EasTone Telecommunications Co., Ltd.",0.0078000000000000005,2026-06-04,2026-06-05
FPXI,3036.TT,"WT Microelectronics Co., Ltd.",0.0076,2026-06-04,2026-06-05
FPXI,PAYP,PayPay Corporation (ADR),0.0070999999999999995,2026-06-04,2026-06-05
FPXI,278470.KS,APR Corporation,0.0066,2026-06-04,2026-06-05
FPXI,ACLN.SW,Accelleron Industries AG,0.0063,2026-06-04,2026-06-05
FPXI,SAVE.SS,Nordnet AB (publ),0.006,2026-06-04,2026-06-05
FPXI,DPM.CT,DPM Metals Inc.,0.0052,2026-06-04,2026-06-05
FPXI,SOBO,South Bow Corporation,0.0052,2026-06-04,2026-06-05
FPXI,NE,Noble Corp Plc,0.005,2026-06-04,2026-06-05
FPXI,316140.KS,Woori Financial Group Inc.,0.0049,2026-06-04,2026-06-05
FPXI,FERTIGLB.UH,Fertiglobe Plc,0.0046,2026-06-04,2026-06-05
FPXI,FUTU,Futu Holdings Limited (ADR),0.0045000000000000005,2026-06-04,2026-06-05
FPXI,RENT3.BZ,Localiza Rent a Car S.A.,0.0045000000000000005,2026-06-04,2026-06-05
FPXI,1878.JP,"Daito Trust Construction Co., Ltd.",0.0042,2026-06-04,2026-06-05
FPXI,$USD,US Dollar,0.0040999999999999995,2026-06-04,2026-06-05
FPXI,9660.HK,"Horizon Robotics, Inc.",0.0032,2026-06-04,2026-06-05
FPXI,$EUR,Euro,0.0002,2026-06-04,2026-06-05
FPXI,$JPY,Japanese Yen,0.0002,2026-06-04,2026-06-05
FPXI,$BRL,Brazilian Real,0.0,2026-06-04,2026-06-05
FPXI,$CAD,Canadian Dollar,0.0,2026-06-04,2026-06-05
FPXI,$MXN,Mexican Peso,0.0,2026-06-04,2026-06-05
FPXI,$TWD,New Taiwan Dollar,0.0,2026-06-04,2026-06-05
FPXI,$GBP,Pound Sterling,0.0,2026-06-04,2026-06-05
FPXI,$SAR,Saudi Riyal,0.0,2026-06-04,2026-06-05
FPXI,$KRW,South Korean Won,0.0,2026-06-04,2026-06-05
FPXI,$CNY,Yuan Renminbi,0.0,2026-06-04,2026-06-05
