ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
GRIN,SE US,SEA LTD-ADR,0.018338,2026-08-21,2026-08-21
GRIN,AEM US,AGNICO EAGLE MINES LTD,0.016169,2026-08-21,2026-08-21
GRIN,AGI,ALAMOS GOLD INC,0.005794,2026-08-21,2026-08-21
GRIN,B U,BARRICK MINING CORP,0.027278,2026-08-21,2026-08-21
GRIN,CLS US,CELESTICA INC,0.01014,2026-08-21,2026-08-21
GRIN,ESLT US,ELBIT SYSTEMS LTD,0.008634,2026-08-21,2026-08-21
GRIN,AG US,FIRST MAJESTIC SILVER COR,0.008088,2026-08-21,2026-08-21
GRIN,GIL US,GILDAN ACTIVEWEAR INC,0.004207,2026-08-21,2026-08-21
GRIN,IAG US,IAMGOLD CORP,0.01322,2026-08-21,2026-08-21
GRIN,IHG,INTERCONTINENTAL HOTELS G,0.01599,2026-08-21,2026-08-21
GRIN,KGC U,KINROSS GOLD CORP,0.019216,2026-08-21,2026-08-21
GRIN,NVMI US,NOVA LTD,0.006773,2026-08-21,2026-08-21
GRIN,ONON US,ON HOLDING AG,0.002922,2026-08-21,2026-08-21
GRIN,PAAS US,PAN AMERICAN SILVER CORP,0.011884,2026-08-21,2026-08-21
GRIN,SHOP US,SHOPIFY INC,0.007228,2026-08-21,2026-08-21
GRIN,FTI,TECHNIPFMC PLC,0.022542,2026-08-21,2026-08-21
GRIN,ACLN SW,ACCELLERON INDUSTRIES AG,0.004695,2026-08-21,2026-08-21
GRIN,ADDTB SS,ADDTECH AB,0.002306,2026-08-21,2026-08-21
GRIN,6857 JP,ADVANTEST CORP,0.034863,2026-08-21,2026-08-21
GRIN,AIR FP,AIRBUS SE,0.00912,2026-08-21,2026-08-21
GRIN,ALFA SS,ALFA LAVAL AB,0.008601,2026-08-21,2026-08-21
GRIN,AMS SM,AMADEUS IT GROUP SA,0.010771,2026-08-21,2026-08-21
GRIN,ARGX BB,ARGENX SE,0.015954,2026-08-21,2026-08-21
GRIN,7936 JP,ASICS CORP,0.00644,2026-08-21,2026-08-21
GRIN,ASM NA,ASM INTERNATIONAL NV,0.009928,2026-08-21,2026-08-21
GRIN,ASML NA,ASML HOLDING N.V.,0.035731,2026-08-21,2026-08-21
GRIN,AZN LN,ASTRAZENECA PLC,0.018031,2026-08-21,2026-08-21
GRIN,BAB LN,BABCOCK INTERNATIONAL GRO,0.002117,2026-08-21,2026-08-21
GRIN,7832 JP,BANDAI NAMCO HOLDINGS INC,0.008394,2026-08-21,2026-08-21
GRIN,BEAN S,BELIMO HOLDING AG,0.002125,2026-08-21,2026-08-21
GRIN,BBD/B C,BOMBARDIER INC,0.020372,2026-08-21,2026-08-21
GRIN,BXB AU,BRAMBLES LIMITED,0.006366,2026-08-21,2026-08-21
GRIN,CPU AU,COMPUTERSHARE LTD,0.006423,2026-08-21,2026-08-21
GRIN,CSU CN,CONSTELLATION SOFTWARE IN,0.01137,2026-08-21,2026-08-21
GRIN,DIE BB,D'IETEREN GROUP,0.002312,2026-08-21,2026-08-21
GRIN,DPLM LN,DIPLOMA PLC,0.006599,2026-08-21,2026-08-21
GRIN,6146 JP,DISCO CORP,0.010093,2026-08-21,2026-08-21
GRIN,DOL CN,DOLLARAMA INC,0.003752,2026-08-21,2026-08-21
GRIN,DPM C,DPM METALS INC,0.011963,2026-08-21,2026-08-21
GRIN,EDV LN,ENDEAVOUR MINING PLC,0.012367,2026-08-21,2026-08-21
GRIN,EPIA,EPIROC AB,0.006366,2026-08-21,2026-08-21
GRIN,EVO SS,EVOLUTION AB,0.004197,2026-08-21,2026-08-21
GRIN,EVN AU,EVOLUTION MINING LTD,0.008058,2026-08-21,2026-08-21
GRIN,9983 JP,FAST RETAILING CO LTD,0.016606,2026-08-21,2026-08-21
GRIN,RACE IM,FERRARI NV,0.010552,2026-08-21,2026-08-21
GRIN,FPH NZ,FISHER & PAYKEL HEALTH,0.002681,2026-08-21,2026-08-21
GRIN,FRO NO,FRONTLINE PLC,0.007806,2026-08-21,2026-08-21
GRIN,5803 JP,FUJIKURA LTD,0.019238,2026-08-21,2026-08-21
GRIN,GTT FP,GAZTRANSPORT ET TECHNIGAZ,0.003754,2026-08-21,2026-08-21
GRIN,GMAB DC,GENMAB A/S,0.00689,2026-08-21,2026-08-21
GRIN,HLMA LN,HALMA PLC,0.009085,2026-08-21,2026-08-21
GRIN,RMS FP,HERMES INTERNATIONAL,0.012378,2026-08-21,2026-08-21
GRIN,HOT GR,HOCHTIEF AG,0.013806,2026-08-21,2026-08-21
GRIN,ITX SM,INDITEX,0.011589,2026-08-21,2026-08-21
GRIN,IDR SM,INDRA SISTEMAS SA,0.004258,2026-08-21,2026-08-21
GRIN,IPN FP,IPSEN SA,0.008081,2026-08-21,2026-08-21
GRIN,285A JP,KIOXIA HOLDINGS CORP,0.026484,2026-08-21,2026-08-21
GRIN,9766 JP,KONAMI GROUP CORP,0.003349,2026-08-21,2026-08-21
GRIN,KOG N,KONGSBERG GRUPPEN ASA,0.0044,2026-08-21,2026-08-21
GRIN,6920 JP,LASERTEC CORP,0.011249,2026-08-21,2026-08-21
GRIN,LUG CN,LUNDIN GOLD INC,0.004034,2026-08-21,2026-08-21
GRIN,LUNR CN,LUNR ROYALTIES CORP,0.0,2026-08-21,2026-08-21
GRIN,7011 JP,MITSUBISHI HEAVY INDUSTRI,0.008658,2026-08-21,2026-08-21
GRIN,NEM GR,NEMETSCHEK SE,0.003919,2026-08-21,2026-08-21
GRIN,3659 JP,NEXON CO LTD,0.003707,2026-08-21,2026-08-21
GRIN,NXT LN,NEXT PLC,0.005309,2026-08-21,2026-08-21
GRIN,NXSN IT,NEXT VISION STABILIZED SY,0.003506,2026-08-21,2026-08-21
GRIN,NDX1 GR,NORDEX SE,0.009137,2026-08-21,2026-08-21
GRIN,NOVOB D,NOVO,0.018861,2026-08-21,2026-08-21
