ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
JHMM,VLY,VALLEY NATIONAL BANCORP UNITED STATES OF AMERICA (THE),0.0006,2026-07-13,2026-07-14
JHMM,ONB,OLD NATIONAL BANCORP UNITED STATES OF AMERICA (THE),0.0011,2026-07-13,2026-07-14
JHMM,WTFC,WINTRUST FINANCIAL CORP UNITED STATES OF AMERICA (THE),0.0016,2026-07-13,2026-07-14
JHMM,FITB,FIFTH THIRD BANCORP UNITED STATES OF AMERICA (THE),0.0047,2026-07-13,2026-07-14
JHMM,L,LOEWS CORP UNITED STATES OF AMERICA (THE),0.0021,2026-07-13,2026-07-14
JHMM,CNA,CNA FINANCIAL CORP UNITED STATES OF AMERICA (THE),0.0002,2026-07-13,2026-07-14
JHMM,DTE,DTE ENERGY COMPANY UNITED STATES OF AMERICA (THE),0.0024,2026-07-13,2026-07-14
JHMM,UMBF,UMB FINANCIAL CORP UNITED STATES OF AMERICA (THE),0.001,2026-07-13,2026-07-14
JHMM,AIT,APPLIED INDUSTRIAL TECH INC UNITED STATES OF AMERICA (THE),0.0016,2026-07-13,2026-07-14
JHMM,FCNCA,FIRST CITIZENS BCSHS CL A UNITED STATES OF AMERICA (THE),0.0023,2026-07-13,2026-07-14
JHMM,OSK,OSHKOSH CORP UNITED STATES OF AMERICA (THE),0.0016,2026-07-13,2026-07-14
JHMM,DGX,QUEST DIAGNOSTICS INC UNITED STATES OF AMERICA (THE),0.003,2026-07-13,2026-07-14
JHMM,AAON,AAON INC UNITED STATES OF AMERICA (THE),0.0008,2026-07-13,2026-07-14
JHMM,CSGP,COSTAR GROUP INC UNITED STATES OF AMERICA (THE),0.0004,2026-07-13,2026-07-14
JHMM,TTWO,TAKE TWO INTERACTIVE SOFTWRE UNITED STATES OF AMERICA (THE),0.0033,2026-07-13,2026-07-14
JHMM,ARE,ALEXANDRIA REAL ESTATE EQUIT UNITED STATES OF AMERICA (THE),0.0004,2026-07-13,2026-07-14
JHMM,AEIS,ADVANCED ENERGY INDUSTRIES UNITED STATES OF AMERICA (THE),0.0009,2026-07-13,2026-07-14
JHMM,FR,FIRST INDUSTRIAL REALTY TR UNITED STATES OF AMERICA (THE),0.0008,2026-07-13,2026-07-14
JHMM,BAX,BAXTER INTERNATIONAL INC UNITED STATES OF AMERICA (THE),0.0009,2026-07-13,2026-07-14
JHMM,HAL,HALLIBURTON CO UNITED STATES OF AMERICA (THE),0.0021,2026-07-13,2026-07-14
JHMM,VMC,VULCAN MATERIALS CO UNITED STATES OF AMERICA (THE),0.0023,2026-07-13,2026-07-14
JHMM,WY,WEYERHAEUSER CO UNITED STATES OF AMERICA (THE),0.001,2026-07-13,2026-07-14
JHMM,EXEL,EXELIXIS INC UNITED STATES OF AMERICA (THE),0.0027,2026-07-13,2026-07-14
JHMM,EAT,BRINKER INTERNATIONAL INC UNITED STATES OF AMERICA (THE),0.001,2026-07-13,2026-07-14
JHMM,MGM,MGM RESORTS INTERNATIONAL UNITED STATES OF AMERICA (THE),0.0013,2026-07-13,2026-07-14
JHMM,LECO,LINCOLN ELECTRIC HOLDINGS UNITED STATES OF AMERICA (THE),0.0017,2026-07-13,2026-07-14
JHMM,TTMI,TTM TECHNOLOGIES UNITED STATES OF AMERICA (THE),0.0016,2026-07-13,2026-07-14
JHMM,AYI,ACUITY INC UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,PRU,PRUDENTIAL FINANCIAL INC UNITED STATES OF AMERICA (THE),0.003,2026-07-13,2026-07-14
JHMM,DPZ,DOMINO S PIZZA INC UNITED STATES OF AMERICA (THE),0.0008,2026-07-13,2026-07-14
JHMM,POOL,POOL CORP UNITED STATES OF AMERICA (THE),0.0009,2026-07-13,2026-07-14
JHMM,EVR,EVERCORE INC A UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,IBKR,INTERACTIVE BROKERS GRO CL A UNITED STATES OF AMERICA (THE),0.0034,2026-07-13,2026-07-14
JHMM,RIG,TRANSOCEAN LTD UNITED STATES OF AMERICA (THE),0.0005,2026-07-13,2026-07-14
JHMM,EQT,EQT CORP UNITED STATES OF AMERICA (THE),0.002,2026-07-13,2026-07-14
JHMM,DG,DOLLAR GENERAL CORP UNITED STATES OF AMERICA (THE),0.002,2026-07-13,2026-07-14
JHMM,SSNC,SS+C TECHNOLOGIES HOLDINGS UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,PRI,PRIMERICA INC UNITED STATES OF AMERICA (THE),0.0014,2026-07-13,2026-07-14
JHMM,GRMN,GARMIN LTD UNITED STATES OF AMERICA (THE),0.0029,2026-07-13,2026-07-14
JHMM,FN,FABRINET UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,RL,RALPH LAUREN CORP UNITED STATES OF AMERICA (THE),0.0017,2026-07-13,2026-07-14
JHMM,LPLA,LPL FINANCIAL HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0024,2026-07-13,2026-07-14
JHMM,PTC,PTC INC UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,CDW,CDW CORP/DE UNITED STATES OF AMERICA (THE),0.0019,2026-07-13,2026-07-14
JHMM,WMS,ADVANCED DRAINAGE SYSTEMS IN UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,AXTA,AXALTA COATING SYSTEMS LTD UNITED STATES OF AMERICA (THE),0.0011,2026-07-13,2026-07-14
JHMM,GDDY,GODADDY INC CLASS A UNITED STATES OF AMERICA (THE),0.0011,2026-07-13,2026-07-14
JHMM,TRU,TRANSUNION UNITED STATES OF AMERICA (THE),0.0017,2026-07-13,2026-07-14
JHMM,HLI,HOULIHAN LOKEY INC UNITED STATES OF AMERICA (THE),0.0009,2026-07-13,2026-07-14
JHMM,PLNT,PLANET FITNESS INC CL A UNITED STATES OF AMERICA (THE),0.0004,2026-07-13,2026-07-14
JHMM,ACI,ALBERTSONS COS INC CLASS A UNITED STATES OF AMERICA (THE),0.0008,2026-07-13,2026-07-14
JHMM,USFD,US FOODS HOLDING CORP UNITED STATES OF AMERICA (THE),0.0026,2026-07-13,2026-07-14
JHMM,ITT,ITT INC UNITED STATES OF AMERICA (THE),0.002,2026-07-13,2026-07-14
JHMM,SBAC,SBA COMMUNICATIONS CORP UNITED STATES OF AMERICA (THE),0.0011,2026-07-13,2026-07-14
JHMM,TPR,TAPESTRY INC UNITED STATES OF AMERICA (THE),0.003,2026-07-13,2026-07-14
JHMM,WH,WYNDHAM HOTELS + RESORTS INC UNITED STATES OF AMERICA (THE),0.001,2026-07-13,2026-07-14
JHMM,ELAN,ELANCO ANIMAL HEALTH INC UNITED STATES OF AMERICA (THE),0.0018,2026-07-13,2026-07-14
JHMM,GH,GUARDANT HEALTH INC UNITED STATES OF AMERICA (THE),0.0013,2026-07-13,2026-07-14
JHMM,PSN,PARSONS CORP UNITED STATES OF AMERICA (THE),0.0003,2026-07-13,2026-07-14
JHMM,WFRD,WEATHERFORD INTERNATIONAL PL UNITED STATES OF AMERICA (THE),0.0005,2026-07-13,2026-07-14
JHMM,RVMD,REVOLUTION MEDICINES INC UNITED STATES OF AMERICA (THE),0.0022,2026-07-13,2026-07-14
JHMM,AFRM,AFFIRM HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0014,2026-07-13,2026-07-14
JHMM,CHRD,CHORD ENERGY CORP UNITED STATES OF AMERICA (THE),0.001,2026-07-13,2026-07-14
JHMM,DINO,HF SINCLAIR CORP UNITED STATES OF AMERICA (THE),0.0016,2026-07-13,2026-07-14
JHMM,HR,HEALTHCARE REALTY TRUST INC UNITED STATES OF AMERICA (THE),0.0007,2026-07-13,2026-07-14
JHMM,SPXC,SPX TECHNOLOGIES INC UNITED STATES OF AMERICA (THE),0.0012,2026-07-13,2026-07-14
JHMM,CAVA,CAVA GROUP INC UNITED STATES OF AMERICA (THE),0.0005,2026-07-13,2026-07-14
JHMM,ALAB,ASTERA LABS INC UNITED STATES OF AMERICA (THE),0.0027,2026-07-13,2026-07-14
JHMM,ULS,UL SOLUTIONS INC CLASS A UNITED STATES OF AMERICA (THE),0.0006,2026-07-13,2026-07-14
JHMM,QXO,QXO INC UNITED STATES OF AMERICA (THE),0.0007,2026-07-13,2026-07-14
JHMM,SW,SMURFIT WESTROCK PLC UNITED STATES OF AMERICA (THE),0.0022,2026-07-13,2026-07-14
JHMM,FIG,FIGMA INC CL A UNITED STATES OF AMERICA (THE),0.0003,2026-07-13,2026-07-14
JHMM,PSKY,PARAMOUNT SKYDANCE CL B UNITED STATES OF AMERICA (THE),0.0011,2026-07-13,2026-07-14
JHMM,EQH,EQUITABLE HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0015,2026-07-13,2026-07-14
JHMM,OTIS,OTIS WORLDWIDE CORP UNITED STATES OF AMERICA (THE),0.0012,2026-07-13,2026-07-14
JHMM,MTCH,MATCH GROUP INC UNITED STATES OF AMERICA (THE),0.0009,2026-07-13,2026-07-14
JHMM,RPRX,ROYALTY PHARMA PLC CL A UNITED STATES OF AMERICA (THE),0.0017,2026-07-13,2026-07-14
JHMM,RKT,ROCKET COS INC CLASS A UNITED STATES OF AMERICA (THE),0.0001,2026-07-13,2026-07-14
