ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
JHSC,STNG,SCORPIO TANKERS INC UNITED STATES OF AMERICA (THE),0.0012,2026-06-26,2026-06-29
JHSC,NVST,ENVISTA HOLDINGS CORP UNITED STATES OF AMERICA (THE),0.0018,2026-06-26,2026-06-29
JHSC,IMVT,IMMUNOVANT INC UNITED STATES OF AMERICA (THE),0.0012,2026-06-26,2026-06-29
JHSC,VNT,VONTIER CORP UNITED STATES OF AMERICA (THE),0.0024,2026-06-26,2026-06-29
JHSC,CHRD,CHORD ENERGY CORP UNITED STATES OF AMERICA (THE),0.0026,2026-06-26,2026-06-29
JHSC,UWMC,UWM HOLDINGS CORP UNITED STATES OF AMERICA (THE),0.0002,2026-06-26,2026-06-29
JHSC,ZETA,ZETA GLOBAL HOLDINGS CORP A UNITED STATES OF AMERICA (THE),0.0012,2026-06-26,2026-06-29
JHSC,FCFS,FIRSTCASH HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0044,2026-06-26,2026-06-29
JHSC,HHH,HOWARD HUGHES HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0009,2026-06-26,2026-06-29
JHSC,LAZ,LAZARD INC UNITED STATES OF AMERICA (THE),0.0025,2026-06-26,2026-06-29
JHSC,PACS,PACS GROUP INC UNITED STATES OF AMERICA (THE),0.0006,2026-06-26,2026-06-29
JHSC,LB,LANDBRIDGE CO LLC A UNITED STATES OF AMERICA (THE),0.0005,2026-06-26,2026-06-29
JHSC,SIRI,SIRIUS XM HOLDINGS INC UNITED STATES OF AMERICA (THE),0.0018,2026-06-26,2026-06-29
JHSC,PRM,PERIMETER SOLUTIONS INC UNITED STATES OF AMERICA (THE),0.002,2026-06-26,2026-06-29
JHSC,SAIL,SAILPOINT INC UNITED STATES OF AMERICA (THE),0.0003,2026-06-26,2026-06-29
JHSC,RAL,RALLIANT CORP UNITED STATES OF AMERICA (THE),0.0032,2026-06-26,2026-06-29
JHSC,VSNT,VERSANT MEDIA GROUP INC UNITED STATES OF AMERICA (THE),0.0018,2026-06-26,2026-06-29
JHSC,IBOC,INTERNATIONAL BANCSHARES CRP UNITED STATES OF AMERICA (THE),0.0017,2026-06-26,2026-06-29
JHSC,TREX,TREX COMPANY INC UNITED STATES OF AMERICA (THE),0.0029,2026-06-26,2026-06-29
JHSC,WTM,WHITE MOUNTAINS INSURANCE GP UNITED STATES OF AMERICA (THE),0.002,2026-06-26,2026-06-29
JHSC,JOE,ST JOE CO/THE UNITED STATES OF AMERICA (THE),0.0009,2026-06-26,2026-06-29
JHSC,LNC,LINCOLN NATIONAL CORP UNITED STATES OF AMERICA (THE),0.0031,2026-06-26,2026-06-29
JHSC,FUL,H.B. FULLER CO. UNITED STATES OF AMERICA (THE),0.0014,2026-06-26,2026-06-29
JHSC,IDA,IDACORP INC UNITED STATES OF AMERICA (THE),0.0041,2026-06-26,2026-06-29
JHSC,LPX,LOUISIANA PACIFIC CORP UNITED STATES OF AMERICA (THE),0.0028,2026-06-26,2026-06-29
JHSC,AZZ,AZZ INC UNITED STATES OF AMERICA (THE),0.002,2026-06-26,2026-06-29
JHSC,CWST,CASELLA WASTE SYSTEMS INC A UNITED STATES OF AMERICA (THE),0.0031,2026-06-26,2026-06-29
JHSC,CENX,CENTURY ALUMINUM COMPANY UNITED STATES OF AMERICA (THE),0.0009,2026-06-26,2026-06-29
JHSC,ESE,ESCO TECHNOLOGIES INC UNITED STATES OF AMERICA (THE),0.0037,2026-06-26,2026-06-29
JHSC,HXL,HEXCEL CORP UNITED STATES OF AMERICA (THE),0.004,2026-06-26,2026-06-29
JHSC,INDB,INDEPENDENT BANK CORP/MA UNITED STATES OF AMERICA (THE),0.0016,2026-06-26,2026-06-29
JHSC,POWL,POWELL INDUSTRIES INC UNITED STATES OF AMERICA (THE),0.0035,2026-06-26,2026-06-29
JHSC,SIGI,SELECTIVE INSURANCE GROUP UNITED STATES OF AMERICA (THE),0.0032,2026-06-26,2026-06-29
JHSC,BCPC,BALCHEM CORP UNITED STATES OF AMERICA (THE),0.003,2026-06-26,2026-06-29
JHSC,GPI,GROUP 1 AUTOMOTIVE INC UNITED STATES OF AMERICA (THE),0.002,2026-06-26,2026-06-29
JHSC,OTTR,OTTER TAIL CORP UNITED STATES OF AMERICA (THE),0.0015,2026-06-26,2026-06-29
JHSC,USLM,UNITED STATES LIME + MINERAL UNITED STATES OF AMERICA (THE),0.0004,2026-06-26,2026-06-29
JHSC,NHI,NATL HEALTH INVESTORS INC UNITED STATES OF AMERICA (THE),0.0014,2026-06-26,2026-06-29
JHSC,CBT,CABOT CORP UNITED STATES OF AMERICA (THE),0.0029,2026-06-26,2026-06-29
JHSC,SON,SONOCO PRODUCTS CO UNITED STATES OF AMERICA (THE),0.0031,2026-06-26,2026-06-29
JHSC,AD,ARRAY DIGITAL INFRASTRUCTURE UNITED STATES OF AMERICA (THE),0.0002,2026-06-26,2026-06-29
JHSC,SXT,SENSIENT TECHNOLOGIES CORP UNITED STATES OF AMERICA (THE),0.0022,2026-06-26,2026-06-29
JHSC,BRKR,BRUKER CORP UNITED STATES OF AMERICA (THE),0.0023,2026-06-26,2026-06-29
JHSC,EXP,EAGLE MATERIALS INC UNITED STATES OF AMERICA (THE),0.003,2026-06-26,2026-06-29
JHSC,BDC,BELDEN INC UNITED STATES OF AMERICA (THE),0.002,2026-06-26,2026-06-29
JHSC,NEU,NEWMARKET CORP UNITED STATES OF AMERICA (THE),0.0033,2026-06-26,2026-06-29
JHSC,MPT,MEDICAL PROPERTIES TRUST INC UNITED STATES OF AMERICA (THE),0.0008,2026-06-26,2026-06-29
