ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
PDP,AAPL,Apple Inc,0.032123,2026-08-13,2026-08-14
PDP,APH,Amphenol Corp,0.029444,2026-08-13,2026-08-14
PDP,TRGP,Targa Resources Corp,0.02709,2026-08-13,2026-08-14
PDP,ATI,ATI Inc,0.0252,2026-08-13,2026-08-14
PDP,FIX,Comfort Systems USA Inc,0.024566,2026-08-13,2026-08-14
PDP,SNDK,Sandisk Corp,0.023282,2026-08-13,2026-08-14
PDP,CRS,Carpenter Technology Corp,0.022427,2026-08-13,2026-08-14
PDP,MU,Micron Technology Inc,0.018903,2026-08-13,2026-08-14
PDP,STX,Seagate Technology Holdings PLC,0.018645,2026-08-13,2026-08-14
PDP,MTSI,MACOM Technology Solutions Holdings Inc,0.01817,2026-08-13,2026-08-14
PDP,PWR,Quanta Services Inc,0.018117,2026-08-13,2026-08-14
PDP,AMAT,Applied Materials Inc,0.018017,2026-08-13,2026-08-14
PDP,HWM,Howmet Aerospace Inc,0.01787,2026-08-13,2026-08-14
PDP,GWW,WW Grainger Inc,0.01742,2026-08-13,2026-08-14
PDP,WDC,Western Digital Corp,0.017306,2026-08-13,2026-08-14
PDP,ANET,Arista Networks Inc,0.016839,2026-08-13,2026-08-14
PDP,TT,Trane Technologies PLC,0.016035,2026-08-13,2026-08-14
PDP,GH,Guardant Health Inc,0.015845,2026-08-13,2026-08-14
PDP,HOOD,Robinhood Markets Inc,0.015733,2026-08-13,2026-08-14
PDP,JBL,Jabil Inc,0.014047,2026-08-13,2026-08-14
PDP,COST,Costco Wholesale Corp,0.013633,2026-08-13,2026-08-14
PDP,EME,EMCOR Group Inc,0.013278,2026-08-13,2026-08-14
PDP,ARWR,Arrowhead Pharmaceuticals Inc,0.013144,2026-08-13,2026-08-14
PDP,TTMI,TTM Technologies Inc,0.01271,2026-08-13,2026-08-14
PDP,LRCX,Lam Research Corp,0.012301,2026-08-13,2026-08-14
PDP,URI,United Rentals Inc,0.011893,2026-08-13,2026-08-14
PDP,GOOGL,Alphabet Inc,0.011455,2026-08-13,2026-08-14
PDP,NET,Cloudflare Inc,0.011068,2026-08-13,2026-08-14
PDP,RVMD,Revolution Medicines Inc,0.010788,2026-08-13,2026-08-14
PDP,DELL,Dell Technologies Inc,0.010558,2026-08-13,2026-08-14
PDP,MLI,Mueller Industries Inc,0.010427,2026-08-13,2026-08-14
PDP,COHR,Coherent Corp,0.010145,2026-08-13,2026-08-14
PDP,INTC,Intel Corp,0.009861,2026-08-13,2026-08-14
PDP,AMD,Advanced Micro Devices Inc,0.00969,2026-08-13,2026-08-14
PDP,TER,Teradyne Inc,0.009377,2026-08-13,2026-08-14
PDP,STRL,Sterling Infrastructure Inc,0.009301,2026-08-13,2026-08-14
PDP,KLAC,KLA Corp,0.009246,2026-08-13,2026-08-14
PDP,CAT,Caterpillar Inc,0.008983,2026-08-13,2026-08-14
PDP,MOG/A,Moog Inc,0.008922,2026-08-13,2026-08-14
PDP,CW,Curtiss-Wright Corp,0.008478,2026-08-13,2026-08-14
PDP,CLH,Clean Harbors Inc,0.008092,2026-08-13,2026-08-14
PDP,MKSI,MKS Inc,0.008078,2026-08-13,2026-08-14
PDP,ROIV,Roivant Sciences Ltd,0.008011,2026-08-13,2026-08-14
PDP,IBKR,Interactive Brokers Group Inc,0.007949,2026-08-13,2026-08-14
PDP,ONTO,Onto Innovation Inc,0.007917,2026-08-13,2026-08-14
PDP,CASY,Casey's General Stores Inc,0.007873,2026-08-13,2026-08-14
PDP,PANW,Palo Alto Networks Inc,0.007834,2026-08-13,2026-08-14
PDP,VLO,Valero Energy Corp,0.007804,2026-08-13,2026-08-14
PDP,DINO,HF Sinclair Corp,0.007662,2026-08-13,2026-08-14
PDP,CRWD,Crowdstrike Holdings Inc,0.007395,2026-08-13,2026-08-14
PDP,GLW,Corning Inc,0.007338,2026-08-13,2026-08-14
PDP,DY,Dycom Industries Inc,0.007039,2026-08-13,2026-08-14
PDP,AME,AMETEK Inc,0.007027,2026-08-13,2026-08-14
PDP,MRVL,Marvell Technology Inc,0.007018,2026-08-13,2026-08-14
PDP,MRNA,Moderna Inc,0.007012,2026-08-13,2026-08-14
PDP,ETN,Eaton Corp PLC,0.006919,2026-08-13,2026-08-14
PDP,CRDO,Credo Technology Group Holding Ltd,0.006891,2026-08-13,2026-08-14
PDP,AEIS,Advanced Energy Industries Inc,0.006867,2026-08-13,2026-08-14
PDP,GS,Goldman Sachs Group Inc/The,0.006702,2026-08-13,2026-08-14
PDP,WAB,Westinghouse Air Brake Technologies Corp,0.006685,2026-08-13,2026-08-14
PDP,BPOP,Popular Inc,0.006671,2026-08-13,2026-08-14
PDP,IRM,Iron Mountain Inc,0.006583,2026-08-13,2026-08-14
PDP,BNY,Bank of New York Mellon Corp/The,0.006531,2026-08-13,2026-08-14
PDP,FTNT,Fortinet Inc,0.006511,2026-08-13,2026-08-14
PDP,DDOG,Datadog Inc,0.006509,2026-08-13,2026-08-14
PDP,RS,Reliance Inc,0.006462,2026-08-13,2026-08-14
PDP,CNC,Centene Corp,0.006438,2026-08-13,2026-08-14
PDP,WWD,Woodward Inc,0.006359,2026-08-13,2026-08-14
PDP,ENTG,Entegris Inc,0.006193,2026-08-13,2026-08-14
PDP,LSCC,Lattice Semiconductor Corp,0.006181,2026-08-13,2026-08-14
PDP,MPWR,Monolithic Power Systems Inc,0.006024,2026-08-13,2026-08-14
PDP,HEI,HEICO Corp,0.006009,2026-08-13,2026-08-14
PDP,JAZZ,Jazz Pharmaceuticals PLC,0.005984,2026-08-13,2026-08-14
PDP,AXSM,Axsome Therapeutics Inc,0.00591,2026-08-13,2026-08-14
PDP,RBC,RBC Bearings Inc,0.005897,2026-08-13,2026-08-14
PDP,KEYS,Keysight Technologies Inc,0.005872,2026-08-13,2026-08-14
PDP,AMKR,Amkor Technology Inc,0.005858,2026-08-13,2026-08-14
