ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
PIE,2345,Accton Technology Corp,0.030365,2026-07-10,2026-07-12
PIE,5434,Topco Scientific Co Ltd,0.028331,2026-07-10,2026-07-12
PIE,2330,Taiwan Semiconductor Manufacturing Co Ltd,0.028077,2026-07-10,2026-07-12
PIE,2404,United Integrated Services Co Ltd,0.027644,2026-07-10,2026-07-12
PIE,6257,Sigurd Microelectronics Corp,0.0274,2026-07-10,2026-07-12
PIE,6196,Marketech International Corp,0.026559,2026-07-10,2026-07-12
PIE,6691,Yankey Engineering Co Ltd,0.022902,2026-07-10,2026-07-12
PIE,3939,Wanguo Gold Group Ltd,0.022337,2026-07-10,2026-07-12
PIE,8046,Nan Ya Printed Circuit Board Corp,0.021815,2026-07-10,2026-07-12
PIE,3189,Kinsus Interconnect Technology Corp,0.01829,2026-07-10,2026-07-12
PIE,2360,Chroma ATE Inc,0.017934,2026-07-10,2026-07-12
PIE,8112,Supreme Electronics Co Ltd,0.017711,2026-07-10,2026-07-12
PIE,3711,ASE Technology Holding Co Ltd,0.017421,2026-07-10,2026-07-12
PIE,2899,Zijin Mining Group Co Ltd,0.017049,2026-07-10,2026-07-12
PIE,MTELEKOM,Magyar Telekom Telecommunications PLC,0.016954,2026-07-10,2026-07-12
PIE,3037,Unimicron Technology Corp,0.016833,2026-07-10,2026-07-12
PIE,3044,Tripod Technology Corp,0.016028,2026-07-10,2026-07-12
PIE,ASELS,Aselsan Elektronik Sanayi Ve Ticaret AS,0.015565,2026-07-10,2026-07-12
PIE,ICT,International Container Terminal Services Inc,0.014764,2026-07-10,2026-07-12
PIE,6515,WinWay Technology Co Ltd,0.014421,2026-07-10,2026-07-12
PIE,6944,Mega Union Technology Inc,0.014224,2026-07-10,2026-07-12
PIE,VKE,Vukile Property Fund Ltd,0.013088,2026-07-10,2026-07-12
PIE,3665,Bizlink Holding Inc,0.012684,2026-07-10,2026-07-12
PIE,2059,King Slide Works Co Ltd,0.011787,2026-07-10,2026-07-12
PIE,1088,China Shenhua Energy Co Ltd,0.011137,2026-07-10,2026-07-12
PIE,ADH,Advtech Ltd,0.010958,2026-07-10,2026-07-12
PIE,2313,Compeq Manufacturing Co Ltd,0.010891,2026-07-10,2026-07-12
PIE,1133,Harbin Electric Co Ltd,0.010692,2026-07-10,2026-07-12
PIE,6213,ITEQ Corp,0.010661,2026-07-10,2026-07-12
PIE,2368,Gold Circuit Electronics Ltd,0.010537,2026-07-10,2026-07-12
PIE,2492,Walsin Technology Corp,0.01023,2026-07-10,2026-07-12
PIE,GMEXICOB,Grupo Mexico SAB de CV,0.010148,2026-07-10,2026-07-12
PIE,1303,Nan Ya Plastics Corp,0.01004,2026-07-10,2026-07-12
PIE,OTP,OTP Bank Nyrt,0.009901,2026-07-10,2026-07-12
PIE,1347,Hua Hong Grace Semiconductor Ltd,0.009849,2026-07-10,2026-07-12
PIE,4958,Zhen Ding Technology Holding Ltd,0.009834,2026-07-10,2026-07-12
PIE,2890,SinoPac Financial Holdings Co Ltd,0.009786,2026-07-10,2026-07-12
PIE,2308,Delta Electronics Inc,0.009511,2026-07-10,2026-07-12
PIE,2855,President Securities Corp,0.009331,2026-07-10,2026-07-12
PIE,857,PetroChina Co Ltd,0.009298,2026-07-10,2026-07-12
PIE,2887,TS Financial Holding Co Ltd,0.00885,2026-07-10,2026-07-12
PIE,INVP,Investec PLC,0.00847,2026-07-10,2026-07-12
PIE,OUT,OUTsurance Group Ltd,0.008441,2026-07-10,2026-07-12
PIE,2206,Sanyang Motor Co Ltd,0.008355,2026-07-10,2026-07-12
PIE,SBSP3,Cia de Saneamento Basico do Estado de Sao Paulo SABESP,0.008152,2026-07-10,2026-07-12
PIE,6770,Powerchip Semiconductor Manufacturing Corp,0.007947,2026-07-10,2026-07-12
PIE,8210,Chenbro Micom Co Ltd,0.007892,2026-07-10,2026-07-12
PIE,KTB-R,Krung Thai Bank PCL,0.007889,2026-07-10,2026-07-12
PIE,KST,PSG Financial Services Ltd,0.007816,2026-07-10,2026-07-12
PIE,BAP,Credicorp Ltd,0.00778,2026-07-10,2026-07-12
PIE,2359,WuXi AppTec Co Ltd,0.007631,2026-07-10,2026-07-12
PIE,3808,Sinotruk Hong Kong Ltd,0.007324,2026-07-10,2026-07-12
PIE,3006,Elite Semiconductor Microelectronics Technology Inc,0.007004,2026-07-10,2026-07-12
PIE,1802,Taiwan Glass Industry Corp,0.006787,2026-07-10,2026-07-12
PIE,TCAP-R,Thanachart Capital PCL,0.006603,2026-07-10,2026-07-12
PIE,3443,Global Unichip Corp,0.006562,2026-07-10,2026-07-12
PIE,2812,Taichung Commercial Bank Co Ltd,0.006471,2026-07-10,2026-07-12
PIE,6531,AP Memory Technology Corp,0.006354,2026-07-10,2026-07-12
PIE,2486,I-Chiun Precision Industry Co Ltd,0.006321,2026-07-10,2026-07-12
PIE,2891,CTBC Financial Holding Co Ltd,0.00629,2026-07-10,2026-07-12
PIE,ASTOR,Astor Transformator Enerji Turizm Insaat Ve Petrol Sanayi Ticaret AS,0.006229,2026-07-10,2026-07-12
PIE,2449,King Yuan Electronics Co Ltd,0.006188,2026-07-10,2026-07-12
PIE,SWB,Sunway Bhd,0.00605,2026-07-10,2026-07-12
PIE,KBANK-R,Kasikornbank PCL,0.005963,2026-07-10,2026-07-12
PIE,KKP-R,Kiatnakin Phatra Bank PCL,0.005955,2026-07-10,2026-07-12
PIE,PSSA3,Porto Seguro SA,0.005944,2026-07-10,2026-07-12
PIE,SBK,Standard Bank Group Ltd,0.005939,2026-07-10,2026-07-12
PIE,2451,Transcend Information Inc,0.005933,2026-07-10,2026-07-12
PIE,KPJ,KPJ Healthcare Bhd,0.005922,2026-07-10,2026-07-12
PIE,KCE-R,KCE Electronics PCL,0.005895,2026-07-10,2026-07-12
PIE,SCGP-R,SCG Packaging PCL,0.005855,2026-07-10,2026-07-12
PIE,1560,Kinik Co,0.005854,2026-07-10,2026-07-12
PIE,992,Lenovo Group Ltd,0.005822,2026-07-10,2026-07-12
PIE,1378,China Hongqiao Group Ltd,0.005787,2026-07-10,2026-07-12
