ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
PIZ,BBD/B,Bombardier Inc,0.030177,2026-07-10,2026-07-14
PIZ,CSU,Constellation Software Inc/Canada,0.030077,2026-07-10,2026-07-14
PIZ,TIH,Toromont Industries Ltd,0.029215,2026-07-10,2026-07-14
PIZ,TD,Toronto-Dominion Bank/The,0.024757,2026-07-10,2026-07-14
PIZ,BEAN,Belimo Holding AG,0.024039,2026-07-10,2026-07-14
PIZ,RY,Royal Bank of Canada,0.023485,2026-07-10,2026-07-14
PIZ,267260,HD Hyundai Electric Co Ltd,0.023228,2026-07-10,2026-07-14
PIZ,000660,SK hynix Inc,0.022478,2026-07-10,2026-07-14
PIZ,BGEO,Lion Finance Group PLC,0.021292,2026-07-10,2026-07-14
PIZ,INVEB,Investor AB,0.021049,2026-07-10,2026-07-14
PIZ,IHG,InterContinental Hotels Group PLC,0.019173,2026-07-10,2026-07-14
PIZ,SWEDA,Swedbank AB,0.018681,2026-07-10,2026-07-14
PIZ,UNI,Unipol Assicurazioni SpA,0.017868,2026-07-10,2026-07-14
PIZ,BPE,BPER Banca SPA,0.017327,2026-07-10,2026-07-14
PIZ,ABBN,ABB Ltd,0.017216,2026-07-10,2026-07-14
PIZ,1888,Kingboard Laminates Holdings Ltd,0.016685,2026-07-10,2026-07-14
PIZ,4062,Ibiden Co Ltd,0.01641,2026-07-10,2026-07-14
PIZ,TPEIR,Piraeus Bank SA,0.015666,2026-07-10,2026-07-14
PIZ,OCBC,Oversea-Chinese Banking Corp Ltd,0.015621,2026-07-10,2026-07-14
PIZ,BIRG,Bank of Ireland Group PLC,0.014834,2026-07-10,2026-07-14
PIZ,VACN,VAT Group AG,0.014195,2026-07-10,2026-07-14
PIZ,BCP,Banco Comercial Portugues SA,0.013584,2026-07-10,2026-07-14
PIZ,SLHN,Swiss Life Holding AG,0.013436,2026-07-10,2026-07-14
PIZ,HOT,HOCHTIEF AG,0.013197,2026-07-10,2026-07-14
PIZ,5016,JX Advanced Metals Corp,0.012002,2026-07-10,2026-07-14
PIZ,RILBA,Ringkjoebing Landbobank A/S,0.011905,2026-07-10,2026-07-14
PIZ,AIBG,AIB Group PLC,0.011718,2026-07-10,2026-07-14
PIZ,036930,Jusung Engineering Co Ltd,0.011067,2026-07-10,2026-07-14
PIZ,ATCOA,Atlas Copco AB,0.0107,2026-07-10,2026-07-14
PIZ,CABK,CaixaBank SA,0.010303,2026-07-10,2026-07-14
PIZ,ACS,ACS Actividades de Construccion y Servicios SA,0.009433,2026-07-10,2026-07-14
PIZ,FER,Ferrovial NV,0.009264,2026-07-10,2026-07-14
PIZ,BG,BAWAG Group AG,0.009244,2026-07-10,2026-07-14
PIZ,6361,Ebara Corp,0.009043,2026-07-10,2026-07-14
PIZ,PRY,Prysmian SpA,0.008897,2026-07-10,2026-07-14
PIZ,ALSYDB,AL Sydbank,0.008735,2026-07-10,2026-07-14
PIZ,7735,SCREEN Holdings Co Ltd,0.008715,2026-07-10,2026-07-14
PIZ,8341,77 Bank Ltd/The,0.008697,2026-07-10,2026-07-14
PIZ,EIF,Exchange Income Corp,0.008544,2026-07-10,2026-07-14
PIZ,6976,Taiyo Yuden Co Ltd,0.008344,2026-07-10,2026-07-14
PIZ,DPLM,Diploma PLC,0.008298,2026-07-10,2026-07-14
PIZ,7936,Asics Corp,0.008253,2026-07-10,2026-07-14
PIZ,4004,Resonac Holdings Corp,0.008162,2026-07-10,2026-07-14
PIZ,3436,SUMCO Corp,0.007689,2026-07-10,2026-07-14
PIZ,TKA,thyssenkrupp AG,0.007658,2026-07-10,2026-07-14
