ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
QMOM,NVT,nVent Electric PLC,0.022799999999999997,2026-05-04,2026-05-05
QMOM,MTZ,MasTec Inc,0.0213,2026-05-04,2026-05-05
QMOM,PBF,PBF Energy Inc,0.0212,2026-05-04,2026-05-05
QMOM,PL,Planet Labs PBC,0.0209,2026-05-04,2026-05-05
QMOM,PWR,Quanta Services Inc,0.0209,2026-05-04,2026-05-05
QMOM,ARWR,Arrowhead Pharmaceuticals Inc,0.0208,2026-05-04,2026-05-05
QMOM,MTSI,MACOM Technology Solutions Holdings Inc,0.0208,2026-05-04,2026-05-05
QMOM,PR,Permian Resources Corp,0.0208,2026-05-04,2026-05-05
QMOM,APA,APA Corp,0.0207,2026-05-04,2026-05-05
QMOM,RVMD,Revolution Medicines Inc,0.0206,2026-05-04,2026-05-05
QMOM,DY,Dycom Industries Inc,0.020499999999999997,2026-05-04,2026-05-05
QMOM,UUUU,Energy Fuels Inc/Canada,0.020499999999999997,2026-05-04,2026-05-05
QMOM,MPC,Marathon Petroleum Corp,0.020499999999999997,2026-05-04,2026-05-05
QMOM,DELL,Dell Technologies Inc,0.0204,2026-05-04,2026-05-05
QMOM,INSM,Insmed Inc,0.0204,2026-05-04,2026-05-05
QMOM,EME,EMCOR Group Inc,0.020099999999999996,2026-05-04,2026-05-05
QMOM,IONS,Ionis Pharmaceuticals Inc,0.020099999999999996,2026-05-04,2026-05-05
QMOM,MP,MP Materials Corp,0.020099999999999996,2026-05-04,2026-05-05
QMOM,CRS,Carpenter Technology Corp,0.02,2026-05-04,2026-05-05
QMOM,KEYS,Keysight Technologies Inc,0.02,2026-05-04,2026-05-05
QMOM,VLO,Valero Energy Corp,0.02,2026-05-04,2026-05-05
QMOM,ATI,ATI Inc,0.0199,2026-05-04,2026-05-05
QMOM,BWXT,BWX Technologies Inc,0.0199,2026-05-04,2026-05-05
QMOM,FORM,FormFactor Inc,0.0199,2026-05-04,2026-05-05
QMOM,JBL,Jabil Inc,0.0199,2026-05-04,2026-05-05
QMOM,CW,Curtiss-Wright Corp,0.019799999999999998,2026-05-04,2026-05-05
QMOM,HAL,Halliburton Co,0.019799999999999998,2026-05-04,2026-05-05
QMOM,KTOS,Kratos Defense & Security Solutions Inc,0.019799999999999998,2026-05-04,2026-05-05
QMOM,WWD,Woodward Inc,0.019799999999999998,2026-05-04,2026-05-05
QMOM,FLEX,Flex Ltd,0.019799999999999998,2026-05-04,2026-05-05
QMOM,AMAT,Applied Materials Inc,0.0197,2026-05-04,2026-05-05
QMOM,VIAV,Viavi Solutions Inc,0.0197,2026-05-04,2026-05-05
QMOM,CDE,COEUR MINING INC.,0.0196,2026-05-04,2026-05-05
QMOM,FIVE,Five Below Inc,0.0196,2026-05-04,2026-05-05
QMOM,GEV,GE Vernova Inc,0.0196,2026-05-04,2026-05-05
QMOM,BWA,BorgWarner Inc,0.0195,2026-05-04,2026-05-05
QMOM,GLW,Corning Inc,0.0195,2026-05-04,2026-05-05
QMOM,CMI,Cummins Inc,0.0195,2026-05-04,2026-05-05
QMOM,HL,Hecla Mining Co,0.0195,2026-05-04,2026-05-05
QMOM,NEM,Newmont Corp,0.0195,2026-05-04,2026-05-05
QMOM,ALB,Albemarle Corp,0.0194,2026-05-04,2026-05-05
QMOM,CAT,Caterpillar Inc,0.0194,2026-05-04,2026-05-05
QMOM,SCCO,Southern Copper Corp,0.0194,2026-05-04,2026-05-05
QMOM,FTI,TechnipFMC PLC,0.0194,2026-05-04,2026-05-05
QMOM,TPR,Tapestry Inc,0.019299999999999998,2026-05-04,2026-05-05
QMOM,AU,Anglogold Ashanti Plc,0.019299999999999998,2026-05-04,2026-05-05
QMOM,SATS,EchoStar Corp,0.0192,2026-05-04,2026-05-05
QMOM,KRMN,Karman Holdings Inc,0.0191,2026-05-04,2026-05-05
QMOM,XPO,XPO Inc,0.0182,2026-05-04,2026-05-05
QMOM,CHRW,CH Robinson Worldwide Inc,0.0177,2026-05-04,2026-05-05
QMOM,FGXXX,First American Government Obligations Fund 12/01/2031,0.002,2026-05-04,2026-05-05
QMOM,Cash&Other,Cash & Other,-0.0002,2026-05-04,2026-05-05
