ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
QQQM,NVDA,NVIDIA Corp,0.087981,2026-09-03,2026-09-04
QQQM,AAPL,Apple Inc,0.076714,2026-09-03,2026-09-04
QQQM,MSFT,Microsoft Corp,0.06041,2026-09-03,2026-09-04
QQQM,MU,Micron Technology Inc,0.04747,2026-09-03,2026-09-04
QQQM,AMZN,Amazon.com Inc,0.044319,2026-09-03,2026-09-04
QQQM,AMD,Advanced Micro Devices Inc,0.032677,2026-09-03,2026-09-04
QQQM,GOOGL,Alphabet Inc,0.031741,2026-09-03,2026-09-04
QQQM,TSLA,Tesla Inc,0.029919,2026-09-03,2026-09-04
QQQM,GOOG,Alphabet Inc,0.02944,2026-09-03,2026-09-04
QQQM,META,Meta Platforms Inc,0.028778,2026-09-03,2026-09-04
QQQM,AVGO,Broadcom Inc,0.026948,2026-09-03,2026-09-04
QQQM,WMT,Walmart Inc,0.023288,2026-09-03,2026-09-04
QQQM,INTC,Intel Corp,0.020241,2026-09-03,2026-09-04
QQQM,CSCO,Cisco Systems Inc,0.018806,2026-09-03,2026-09-04
QQQM,PLTR,Palantir Technologies Inc,0.018412,2026-09-03,2026-09-04
QQQM,COST,Costco Wholesale Corp,0.018037,2026-09-03,2026-09-04
QQQM,LRCX,Lam Research Corp,0.016079,2026-09-03,2026-09-04
QQQM,NFLX,Netflix Inc,0.015293,2026-09-03,2026-09-04
QQQM,AMAT,Applied Materials Inc,0.015223,2026-09-03,2026-09-04
QQQM,SPCX,Space Exploration Technologies Corp,0.012609,2026-09-03,2026-09-04
QQQM,PANW,Palo Alto Networks Inc,0.0119,2026-09-03,2026-09-04
QQQM,AMGN,Amgen Inc,0.01059,2026-09-03,2026-09-04
QQQM,TXN,Texas Instruments Inc,0.010149,2026-09-03,2026-09-04
QQQM,SNDK,Sandisk Corp,0.010117,2026-09-03,2026-09-04
QQQM,KLAC,KLA Corp,0.009925,2026-09-03,2026-09-04
QQQM,LIN,Linde PLC,0.009827,2026-09-03,2026-09-04
QQQM,CRWD,Crowdstrike Holdings Inc,0.009617,2026-09-03,2026-09-04
QQQM,TMUS,T-Mobile US Inc,0.008987,2026-09-03,2026-09-04
QQQM,PEP,PepsiCo Inc,0.008407,2026-09-03,2026-09-04
QQQM,GILD,Gilead Sciences Inc,0.008248,2026-09-03,2026-09-04
QQQM,MRVL,Marvell Technology Inc,0.008026,2026-09-03,2026-09-04
QQQM,STX,Seagate Technology Holdings PLC,0.007867,2026-09-03,2026-09-04
QQQM,QCOM,QUALCOMM Inc,0.007848,2026-09-03,2026-09-04
QQQM,SHOP,Shopify Inc,0.007816,2026-09-03,2026-09-04
QQQM,ADI,Analog Devices Inc,0.007652,2026-09-03,2026-09-04
QQQM,WDC,Western Digital Corp,0.006686,2026-09-03,2026-09-04
QQQM,BKNG,Booking Holdings Inc,0.006643,2026-09-03,2026-09-04
QQQM,ASML,ASML Holding NV,0.006628,2026-09-03,2026-09-04
QQQM,VRTX,Vertex Pharmaceuticals Inc,0.006221,2026-09-03,2026-09-04
QQQM,ISRG,Intuitive Surgical Inc,0.005754,2026-09-03,2026-09-04
QQQM,SBUX,Starbucks Corp,0.005298,2026-09-03,2026-09-04
QQQM,ADBE,Adobe Inc,0.005074,2026-09-03,2026-09-04
QQQM,FTNT,Fortinet Inc,0.005033,2026-09-03,2026-09-04
QQQM,ADP,Automatic Data Processing Inc,0.004979,2026-09-03,2026-09-04
QQQM,CEG,Constellation Energy Corp,0.00453,2026-09-03,2026-09-04
QQQM,ARM,ARM Holdings PLC,0.004519,2026-09-03,2026-09-04
