ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
RPG,SNDK,Sandisk Corp,0.070718,2026-08-04,2026-08-06
RPG,MU,Micron Technology Inc,0.035179,2026-08-04,2026-08-06
RPG,FIX,Comfort Systems USA Inc,0.032578,2026-08-04,2026-08-06
RPG,CRWD,Crowdstrike Holdings Inc,0.026306,2026-08-04,2026-08-06
RPG,AMD,Advanced Micro Devices Inc,0.025645,2026-08-04,2026-08-06
RPG,HWM,Howmet Aerospace Inc,0.022814,2026-08-04,2026-08-06
RPG,MPWR,Monolithic Power Systems Inc,0.021591,2026-08-04,2026-08-06
RPG,KLAC,KLA Corp,0.021549,2026-08-04,2026-08-06
RPG,BRK/B,Berkshire Hathaway Inc,0.021532,2026-08-04,2026-08-06
RPG,APH,Amphenol Corp,0.021473,2026-08-04,2026-08-06
RPG,CIEN,Ciena Corp,0.021142,2026-08-04,2026-08-06
RPG,ANET,Arista Networks Inc,0.019686,2026-08-04,2026-08-06
RPG,IBKR,Interactive Brokers Group Inc,0.019569,2026-08-04,2026-08-06
RPG,LRCX,Lam Research Corp,0.018956,2026-08-04,2026-08-06
RPG,DDOG,Datadog Inc,0.018301,2026-08-04,2026-08-06
RPG,VRT,Vertiv Holdings Co,0.018198,2026-08-04,2026-08-06
RPG,PWR,Quanta Services Inc,0.018,2026-08-04,2026-08-06
RPG,INCY,Incyte Corp,0.017302,2026-08-04,2026-08-06
RPG,LLY,Eli Lilly & Co,0.016527,2026-08-04,2026-08-06
RPG,GEV,GE Vernova Inc,0.01633,2026-08-04,2026-08-06
RPG,AVGO,Broadcom Inc,0.016101,2026-08-04,2026-08-06
RPG,PLTR,Palantir Technologies Inc,0.016081,2026-08-04,2026-08-06
RPG,NVDA,NVIDIA Corp,0.016048,2026-08-04,2026-08-06
RPG,AMAT,Applied Materials Inc,0.015769,2026-08-04,2026-08-06
RPG,EME,EMCOR Group Inc,0.015451,2026-08-04,2026-08-06
RPG,TPR,Tapestry Inc,0.015294,2026-08-04,2026-08-06
RPG,FSLR,First Solar Inc,0.014805,2026-08-04,2026-08-06
RPG,RCL,Royal Caribbean Cruises Ltd,0.014405,2026-08-04,2026-08-06
RPG,CCL,Carnival Corp Ltd,0.014391,2026-08-04,2026-08-06
RPG,RTX,RTX Corp,0.014343,2026-08-04,2026-08-06
RPG,EXPE,Expedia Group Inc,0.014159,2026-08-04,2026-08-06
RPG,TKO,TKO Group Holdings Inc,0.014101,2026-08-04,2026-08-06
RPG,COHR,Coherent Corp,0.014019,2026-08-04,2026-08-06
RPG,ECHO,EchoStar Corp,0.01376,2026-08-04,2026-08-06
RPG,RL,Ralph Lauren Corp,0.01346,2026-08-04,2026-08-06
RPG,LITE,Lumentum Holdings Inc,0.013394,2026-08-04,2026-08-06
RPG,HOOD,Robinhood Markets Inc,0.013013,2026-08-04,2026-08-06
RPG,WYNN,Wynn Resorts Ltd,0.012728,2026-08-04,2026-08-06
RPG,HCA,HCA Healthcare Inc,0.012426,2026-08-04,2026-08-06
RPG,CAT,Caterpillar Inc,0.012347,2026-08-04,2026-08-06
RPG,NEM,Newmont Corp,0.012271,2026-08-04,2026-08-06
RPG,MNST,Monster Beverage Corp,0.011704,2026-08-04,2026-08-06
RPG,APP,AppLovin Corp,0.011161,2026-08-04,2026-08-06
RPG,HLT,Hilton Worldwide Holdings Inc,0.011009,2026-08-04,2026-08-06
RPG,WELL,Welltower Inc,0.010628,2026-08-04,2026-08-06
RPG,MAR,Marriott International Inc/MD,0.0103,2026-08-04,2026-08-06
RPG,LVS,Las Vegas Sands Corp,0.010158,2026-08-04,2026-08-06
RPG,UBER,Uber Technologies Inc,0.009973,2026-08-04,2026-08-06
RPG,DASH,DoorDash Inc,0.009903,2026-08-04,2026-08-06
RPG,IDXX,IDEXX Laboratories Inc,0.009871,2026-08-04,2026-08-06
RPG,META,Meta Platforms Inc,0.009857,2026-08-04,2026-08-06
RPG,VRSN,VeriSign Inc,0.009644,2026-08-04,2026-08-06
RPG,GOOGL,Alphabet Inc,0.009604,2026-08-04,2026-08-06
RPG,VST,Vistra Corp,0.009407,2026-08-04,2026-08-06
RPG,ULTA,Ulta Beauty Inc,0.009,2026-08-04,2026-08-06
RPG,FLEX,Flex Ltd,0.008752,2026-08-04,2026-08-06
RPG,TDG,TransDigm Group Inc,0.008302,2026-08-04,2026-08-06
RPG,GOOG,Alphabet Inc,0.007609,2026-08-04,2026-08-06
RPG,ORLY,O'Reilly Automotive Inc,0.007425,2026-08-04,2026-08-06
RPG,BKNG,Booking Holdings Inc,0.007357,2026-08-04,2026-08-06
RPG,MSFT,Microsoft Corp,0.007258,2026-08-04,2026-08-06
RPG,PODD,Insulet Corp,0.007045,2026-08-04,2026-08-06
RPG,CASY,Casey's General Stores Inc,0.00648,2026-08-04,2026-08-06
RPG,NFLX,Netflix Inc,0.006186,2026-08-04,2026-08-06
RPG,ISRG,Intuitive Surgical Inc,0.004757,2026-08-04,2026-08-06
RPG,ROL,Rollins Inc,0.004541,2026-08-04,2026-08-06
