ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPHB,HOOD,Robinhood Markets Inc,0.018787,2026-07-31,2026-08-03
SPHB,MU,Micron Technology Inc,0.017069,2026-07-31,2026-08-03
SPHB,SNDK,Sandisk Corp,0.016563,2026-07-31,2026-08-03
SPHB,DELL,Dell Technologies Inc,0.015866,2026-07-31,2026-08-03
SPHB,UAL,United Airlines Holdings Inc,0.015362,2026-07-31,2026-08-03
SPHB,ANET,Arista Networks Inc,0.01492,2026-07-31,2026-08-03
SPHB,DDOG,Datadog Inc,0.014591,2026-07-31,2026-08-03
SPHB,AMD,Advanced Micro Devices Inc,0.014559,2026-07-31,2026-08-03
SPHB,HPE,Hewlett Packard Enterprise Co,0.014453,2026-07-31,2026-08-03
SPHB,WDC,Western Digital Corp,0.014345,2026-07-31,2026-08-03
SPHB,AMAT,Applied Materials Inc,0.014137,2026-07-31,2026-08-03
SPHB,LRCX,Lam Research Corp,0.014049,2026-07-31,2026-08-03
SPHB,TER,Teradyne Inc,0.013952,2026-07-31,2026-08-03
SPHB,ZBRA,Zebra Technologies Corp,0.01323,2026-07-31,2026-08-03
SPHB,NCLH,Norwegian Cruise Line Holdings Ltd,0.013196,2026-07-31,2026-08-03
SPHB,COIN,Coinbase Global Inc,0.013139,2026-07-31,2026-08-03
SPHB,CCL,Carnival Corp Ltd,0.012852,2026-07-31,2026-08-03
SPHB,DAL,Delta Air Lines Inc,0.012772,2026-07-31,2026-08-03
SPHB,SMCI,Super Micro Computer Inc,0.012699,2026-07-31,2026-08-03
SPHB,KLAC,KLA Corp,0.012342,2026-07-31,2026-08-03
SPHB,STX,Seagate Technology Holdings PLC,0.012255,2026-07-31,2026-08-03
SPHB,XYZ,Block Inc,0.012193,2026-07-31,2026-08-03
SPHB,TECH,Bio-Techne Corp,0.01182,2026-07-31,2026-08-03
SPHB,COHR,Coherent Corp,0.011718,2026-07-31,2026-08-03
SPHB,SWK,Stanley Black & Decker Inc,0.011711,2026-07-31,2026-08-03
SPHB,APP,AppLovin Corp,0.011586,2026-07-31,2026-08-03
SPHB,MRNA,Moderna Inc,0.011372,2026-07-31,2026-08-03
SPHB,LITE,Lumentum Holdings Inc,0.011154,2026-07-31,2026-08-03
SPHB,MPWR,Monolithic Power Systems Inc,0.011105,2026-07-31,2026-08-03
SPHB,IBKR,Interactive Brokers Group Inc,0.010983,2026-07-31,2026-08-03
SPHB,CRL,Charles River Laboratories International Inc,0.010837,2026-07-31,2026-08-03
SPHB,APH,Amphenol Corp,0.010656,2026-07-31,2026-08-03
SPHB,FIX,Comfort Systems USA Inc,0.010573,2026-07-31,2026-08-03
SPHB,RCL,Royal Caribbean Cruises Ltd,0.010514,2026-07-31,2026-08-03
SPHB,FCX,Freeport-McMoRan Inc,0.010262,2026-07-31,2026-08-03
SPHB,WSM,Williams-Sonoma Inc,0.01014,2026-07-31,2026-08-03
SPHB,AVGO,Broadcom Inc,0.010076,2026-07-31,2026-08-03
SPHB,IVZ,Invesco Ltd,0.010046,2026-07-31,2026-08-03
SPHB,EXPE,Expedia Group Inc,0.009859,2026-07-31,2026-08-03
SPHB,RVTY,Revvity Inc,0.009836,2026-07-31,2026-08-03
SPHB,PLTR,Palantir Technologies Inc,0.009818,2026-07-31,2026-08-03
SPHB,CVNA,Carvana Co,0.009674,2026-07-31,2026-08-03
SPHB,COF,Capital One Financial Corp,0.009535,2026-07-31,2026-08-03
SPHB,KKR,KKR & Co Inc,0.009522,2026-07-31,2026-08-03
SPHB,PYPL,PayPal Holdings Inc,0.009516,2026-07-31,2026-08-03
SPHB,INTC,Intel Corp,0.009446,2026-07-31,2026-08-03
SPHB,NVDA,NVIDIA Corp,0.009384,2026-07-31,2026-08-03
SPHB,ARES,Ares Management Corp,0.009376,2026-07-31,2026-08-03
SPHB,DASH,DoorDash Inc,0.009354,2026-07-31,2026-08-03
SPHB,NRG,NRG Energy Inc,0.009306,2026-07-31,2026-08-03
SPHB,EL,Estee Lauder Cos Inc/The,0.009276,2026-07-31,2026-08-03
SPHB,GPN,Global Payments Inc,0.009186,2026-07-31,2026-08-03
SPHB,VRT,Vertiv Holdings Co,0.009131,2026-07-31,2026-08-03
SPHB,ALGN,Align Technology Inc,0.009065,2026-07-31,2026-08-03
SPHB,CIEN,Ciena Corp,0.009012,2026-07-31,2026-08-03
SPHB,TSLA,Tesla Inc,0.009007,2026-07-31,2026-08-03
SPHB,GS,Goldman Sachs Group Inc/The,0.008878,2026-07-31,2026-08-03
SPHB,GEV,GE Vernova Inc,0.008815,2026-07-31,2026-08-03
SPHB,LUV,Southwest Airlines Co,0.008769,2026-07-31,2026-08-03
SPHB,BX,Blackstone Inc,0.008696,2026-07-31,2026-08-03
SPHB,C,Citigroup Inc,0.008671,2026-07-31,2026-08-03
SPHB,IR,Ingersoll Rand Inc,0.00866,2026-07-31,2026-08-03
SPHB,TPR,Tapestry Inc,0.00864,2026-07-31,2026-08-03
SPHB,SYF,Synchrony Financial,0.008551,2026-07-31,2026-08-03
SPHB,ON,ON Semiconductor Corp,0.008508,2026-07-31,2026-08-03
SPHB,EMR,Emerson Electric Co,0.008471,2026-07-31,2026-08-03
SPHB,APTV,Aptiv PLC,0.0084,2026-07-31,2026-08-03
SPHB,TEL,TE Connectivity PLC,0.008377,2026-07-31,2026-08-03
SPHB,VST,Vistra Corp,0.008354,2026-07-31,2026-08-03
SPHB,AMZN,Amazon.com Inc,0.008306,2026-07-31,2026-08-03
SPHB,MS,Morgan Stanley,0.008288,2026-07-31,2026-08-03
SPHB,RL,Ralph Lauren Corp,0.008277,2026-07-31,2026-08-03
SPHB,KEYS,Keysight Technologies Inc,0.008247,2026-07-31,2026-08-03
SPHB,JBL,Jabil Inc,0.008211,2026-07-31,2026-08-03
SPHB,META,Meta Platforms Inc,0.008096,2026-07-31,2026-08-03
SPHB,GLW,Corning Inc,0.008087,2026-07-31,2026-08-03
SPHB,CDNS,Cadence Design Systems Inc,0.008041,2026-07-31,2026-08-03
SPHB,LULU,Lululemon Athletica Inc,0.008007,2026-07-31,2026-08-03
SPHB,ODFL,Old Dominion Freight Line Inc,0.007993,2026-07-31,2026-08-03
SPHB,ETN,Eaton Corp PLC,0.007817,2026-07-31,2026-08-03
SPHB,CMI,Cummins Inc,0.007804,2026-07-31,2026-08-03
SPHB,SNPS,Synopsys Inc,0.007751,2026-07-31,2026-08-03
SPHB,EME,EMCOR Group Inc,0.007747,2026-07-31,2026-08-03
SPHB,APO,Apollo Global Management Inc,0.007717,2026-07-31,2026-08-03
SPHB,CAT,Caterpillar Inc,0.007637,2026-07-31,2026-08-03
SPHB,FSLR,First Solar Inc,0.007543,2026-07-31,2026-08-03
SPHB,BLDR,Builders FirstSource Inc,0.007424,2026-07-31,2026-08-03
SPHB,DECK,Deckers Outdoor Corp,0.007365,2026-07-31,2026-08-03
SPHB,SWKS,Skyworks Solutions Inc,0.007361,2026-07-31,2026-08-03
SPHB,IDXX,IDEXX Laboratories Inc,0.007303,2026-07-31,2026-08-03
SPHB,TRMB,Trimble Inc,0.00723,2026-07-31,2026-08-03
SPHB,ADI,Analog Devices Inc,0.007098,2026-07-31,2026-08-03
SPHB,NXPI,NXP Semiconductors NV,0.006923,2026-07-31,2026-08-03
SPHB,GNRC,Generac Holdings Inc,0.00687,2026-07-31,2026-08-03
SPHB,MCHP,Microchip Technology Inc,0.006812,2026-07-31,2026-08-03
SPHB,CEG,Constellation Energy Corp,0.006658,2026-07-31,2026-08-03
SPHB,QCOM,QUALCOMM Inc,0.006485,2026-07-31,2026-08-03
SPHB,CRH,CRH PLC,0.006245,2026-07-31,2026-08-03
SPHB,ORCL,Oracle Corp,0.006085,2026-07-31,2026-08-03
SPHB,ALB,Albemarle Corp,0.005323,2026-07-31,2026-08-03
