ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPHQ,AAPL,Apple Inc,0.054235,2026-07-15,2026-07-16
SPHQ,V,Visa Inc,0.053097,2026-07-15,2026-07-16
SPHQ,MA,Mastercard Inc,0.052925,2026-07-15,2026-07-16
SPHQ,LRCX,Lam Research Corp,0.044611,2026-07-15,2026-07-16
SPHQ,GEV,GE Vernova Inc,0.043234,2026-07-15,2026-07-16
SPHQ,GE,General Electric Co,0.038901,2026-07-15,2026-07-16
SPHQ,COST,Costco Wholesale Corp,0.037752,2026-07-15,2026-07-16
SPHQ,NFLX,Netflix Inc,0.037451,2026-07-15,2026-07-16
SPHQ,CSCO,Cisco Systems Inc,0.035448,2026-07-15,2026-07-16
SPHQ,SNDK,Sandisk Corp,0.030992,2026-07-15,2026-07-16
SPHQ,AMAT,Applied Materials Inc,0.029485,2026-07-15,2026-07-16
SPHQ,PG,Procter & Gamble Co/The,0.028638,2026-07-15,2026-07-16
SPHQ,KLAC,KLA Corp,0.028568,2026-07-15,2026-07-16
SPHQ,WDC,Western Digital Corp,0.028564,2026-07-15,2026-07-16
SPHQ,QCOM,QUALCOMM Inc,0.024245,2026-07-15,2026-07-16
SPHQ,TXN,Texas Instruments Inc,0.023743,2026-07-15,2026-07-16
SPHQ,APP,AppLovin Corp,0.023155,2026-07-15,2026-07-16
SPHQ,TJX,TJX Cos Inc/The,0.014912,2026-07-15,2026-07-16
SPHQ,FTNT,Fortinet Inc,0.014428,2026-07-15,2026-07-16
SPHQ,NEM,Newmont Corp,0.014427,2026-07-15,2026-07-16
SPHQ,STX,Seagate Technology Holdings PLC,0.014305,2026-07-15,2026-07-16
SPHQ,ISRG,Intuitive Surgical Inc,0.013258,2026-07-15,2026-07-16
SPHQ,PGR,Progressive Corp/The,0.012692,2026-07-15,2026-07-16
SPHQ,ADBE,Adobe Inc,0.010628,2026-07-15,2026-07-16
SPHQ,PH,Parker-Hannifin Corp,0.010255,2026-07-15,2026-07-16
SPHQ,MCO,Moody's Corp,0.01002,2026-07-15,2026-07-16
SPHQ,LMT,Lockheed Martin Corp,0.009533,2026-07-15,2026-07-16
SPHQ,TT,Trane Technologies PLC,0.009527,2026-07-15,2026-07-16
SPHQ,ADP,Automatic Data Processing Inc,0.009467,2026-07-15,2026-07-16
SPHQ,JCI,Johnson Controls International plc,0.009134,2026-07-15,2026-07-16
SPHQ,VLO,Valero Energy Corp,0.007725,2026-07-15,2026-07-16
SPHQ,ITW,Illinois Tool Works Inc,0.007576,2026-07-15,2026-07-16
SPHQ,MMM,3M Co,0.007561,2026-07-15,2026-07-16
SPHQ,ACN,Accenture PLC,0.007212,2026-07-15,2026-07-16
SPHQ,ALL,Allstate Corp/The,0.006877,2026-07-15,2026-07-16
SPHQ,ABNB,Airbnb Inc,0.006774,2026-07-15,2026-07-16
SPHQ,ROST,Ross Stores Inc,0.006749,2026-07-15,2026-07-16
SPHQ,AMP,Ameriprise Financial Inc,0.006748,2026-07-15,2026-07-16
SPHQ,CL,Colgate-Palmolive Co,0.006431,2026-07-15,2026-07-16
SPHQ,TRV,Travelers Cos Inc/The,0.006291,2026-07-15,2026-07-16
SPHQ,FIX,Comfort Systems USA Inc,0.006083,2026-07-15,2026-07-16
SPHQ,CTAS,Cintas Corp,0.005898,2026-07-15,2026-07-16
SPHQ,IDXX,IDEXX Laboratories Inc,0.005757,2026-07-15,2026-07-16
SPHQ,CIEN,Ciena Corp,0.005727,2026-07-15,2026-07-16
SPHQ,EBAY,eBay Inc,0.00561,2026-07-15,2026-07-16
SPHQ,ROK,Rockwell Automation Inc,0.005353,2026-07-15,2026-07-16
SPHQ,CTVA,Corteva Inc,0.005339,2026-07-15,2026-07-16
SPHQ,GWW,WW Grainger Inc,0.005207,2026-07-15,2026-07-16
SPHQ,EA,Electronic Arts Inc,0.004794,2026-07-15,2026-07-16
SPHQ,FAST,Fastenal Co,0.004651,2026-07-15,2026-07-16
SPHQ,CMG,Chipotle Mexican Grill Inc,0.004639,2026-07-15,2026-07-16
SPHQ,NTAP,NetApp Inc,0.004216,2026-07-15,2026-07-16
SPHQ,DXCM,Dexcom Inc,0.003933,2026-07-15,2026-07-16
SPHQ,ODFL,Old Dominion Freight Line Inc,0.003918,2026-07-15,2026-07-16
SPHQ,ADSK,Autodesk Inc,0.003832,2026-07-15,2026-07-16
SPHQ,TPR,Tapestry Inc,0.003638,2026-07-15,2026-07-16
SPHQ,HIG,Hartford Insurance Group Inc/The,0.00337,2026-07-15,2026-07-16
SPHQ,KMB,Kimberly-Clark Corp,0.00332,2026-07-15,2026-07-16
SPHQ,EXPE,Expedia Group Inc,0.003271,2026-07-15,2026-07-16
SPHQ,ON,ON Semiconductor Corp,0.003242,2026-07-15,2026-07-16
SPHQ,ACGL,Arch Capital Group Ltd,0.003175,2026-07-15,2026-07-16
SPHQ,CBOE,Cboe Global Markets Inc,0.002957,2026-07-15,2026-07-16
SPHQ,ZTS,Zoetis Inc,0.002926,2026-07-15,2026-07-16
SPHQ,WSM,Williams-Sonoma Inc,0.002749,2026-07-15,2026-07-16
SPHQ,RMD,ResMed Inc,0.002705,2026-07-15,2026-07-16
SPHQ,EXPD,Expeditors International of Washington Inc,0.002567,2026-07-15,2026-07-16
SPHQ,CHRW,CH Robinson Worldwide Inc,0.002512,2026-07-15,2026-07-16
SPHQ,DD,DuPont de Nemours Inc,0.002373,2026-07-15,2026-07-16
SPHQ,WDAY,Workday Inc,0.002361,2026-07-15,2026-07-16
SPHQ,TROW,T Rowe Price Group Inc,0.002338,2026-07-15,2026-07-16
SPHQ,CINF,Cincinnati Financial Corp,0.002278,2026-07-15,2026-07-16
SPHQ,FTV,Fortive Corp,0.002218,2026-07-15,2026-07-16
SPHQ,DLTR,Dollar Tree Inc,0.002167,2026-07-15,2026-07-16
SPHQ,JBHT,JB Hunt Transport Services Inc,0.002158,2026-07-15,2026-07-16
SPHQ,IFF,International Flavors & Fragrances Inc,0.002113,2026-07-15,2026-07-16
SPHQ,EXE,Expand Energy Corp,0.001979,2026-07-15,2026-07-16
SPHQ,LEN,Lennar Corp,0.001904,2026-07-15,2026-07-16
SPHQ,CF,CF Industries Holdings Inc,0.001789,2026-07-15,2026-07-16
