ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
SPMO,NVDA,NVIDIA Corp,0.0889,2026-05-02,2026-05-05
SPMO,AVGO,Broadcom Inc,0.08,2026-05-02,2026-05-05
SPMO,MU,Micron Technology Inc,0.067,2026-05-02,2026-05-05
SPMO,GOOGL,Alphabet Inc,0.0546,2026-05-02,2026-05-05
SPMO,JNJ,Johnson & Johnson,0.0434,2026-05-02,2026-05-05
SPMO,GOOG,Alphabet Inc,0.0434,2026-05-02,2026-05-05
SPMO,XOM,Exxon Mobil Corp,0.0327,2026-05-02,2026-05-05
SPMO,AMD,Advanced Micro Devices Inc,0.032400000000000005,2026-05-02,2026-05-05
SPMO,LRCX,Lam Research Corp,0.0319,2026-05-02,2026-05-05
SPMO,CAT,Caterpillar Inc,0.0296,2026-05-02,2026-05-05
SPMO,INTC,Intel Corp,0.0287,2026-05-02,2026-05-05
SPMO,SNDK,Sandisk Corp/DE,0.019299999999999998,2026-05-02,2026-05-05
SPMO,STX,Seagate Technology Holdings PLC,0.0174,2026-05-02,2026-05-05
SPMO,CSCO,Cisco Systems Inc,0.0172,2026-05-02,2026-05-05
SPMO,AMAT,Applied Materials Inc,0.0172,2026-05-02,2026-05-05
SPMO,GEV,GE Vernova Inc,0.0163,2026-05-02,2026-05-05
SPMO,GE,General Electric Co,0.016200000000000003,2026-05-02,2026-05-05
SPMO,WDC,Western Digital Corp,0.0161,2026-05-02,2026-05-05
SPMO,RTX,RTX Corp,0.0151,2026-05-02,2026-05-05
SPMO,GS,Goldman Sachs Group Inc/The,0.0144,2026-05-02,2026-05-05
SPMO,PLTR,Palantir Technologies Inc,0.0143,2026-05-02,2026-05-05
SPMO,KLAC,KLA Corp,0.0139,2026-05-02,2026-05-05
SPMO,APH,Amphenol Corp,0.0139,2026-05-02,2026-05-05
SPMO,PM,Philip Morris International Inc,0.013600000000000001,2026-05-02,2026-05-05
SPMO,KO,Coca-Cola Co/The,0.013500000000000002,2026-05-02,2026-05-05
SPMO,NEM,Newmont Corp,0.0121,2026-05-02,2026-05-05
SPMO,C,Citigroup Inc,0.011000000000000001,2026-05-02,2026-05-05
SPMO,MS,Morgan Stanley,0.009899999999999999,2026-05-02,2026-05-05
SPMO,GLW,Corning Inc,0.009300000000000001,2026-05-02,2026-05-05
SPMO,GILD,Gilead Sciences Inc,0.0091,2026-05-02,2026-05-05
SPMO,WELL,Welltower Inc,0.009000000000000001,2026-05-02,2026-05-05
SPMO,ADI,Analog Devices Inc,0.0088,2026-05-02,2026-05-05
SPMO,CIEN,Ciena Corp,0.006500000000000001,2026-05-02,2026-05-05
SPMO,SCHW,Charles Schwab Corp/The,0.006500000000000001,2026-05-02,2026-05-05
SPMO,CMI,Cummins Inc,0.0058,2026-05-02,2026-05-05
SPMO,HWM,Howmet Aerospace Inc,0.005699999999999999,2026-05-02,2026-05-05
SPMO,MO,Altria Group Inc,0.005699999999999999,2026-05-02,2026-05-05
SPMO,PWR,Quanta Services Inc,0.005600000000000001,2026-05-02,2026-05-05
SPMO,MCK,McKesson Corp,0.005600000000000001,2026-05-02,2026-05-05
SPMO,BK,Bank of New York Mellon Corp/The,0.0054,2026-05-02,2026-05-05
SPMO,FIX,Comfort Systems USA Inc,0.0054,2026-05-02,2026-05-05
SPMO,LMT,Lockheed Martin Corp,0.0054,2026-05-02,2026-05-05
SPMO,GD,General Dynamics Corp,0.0051,2026-05-02,2026-05-05
SPMO,JCI,Johnson Controls International plc,0.005,2026-05-02,2026-05-05
SPMO,CME,CME Group Inc,0.0048,2026-05-02,2026-05-05
SPMO,LHX,L3Harris Technologies Inc,0.0046,2026-05-02,2026-05-05
SPMO,PH,Parker-Hannifin Corp,0.0046,2026-05-02,2026-05-05
SPMO,MNST,Monster Beverage Corp,0.0044,2026-05-02,2026-05-05
SPMO,GM,General Motors Co,0.0040999999999999995,2026-05-02,2026-05-05
SPMO,FCX,Freeport-McMoRan Inc,0.0039000000000000003,2026-05-02,2026-05-05
SPMO,NOC,Northrop Grumman Corp,0.0039000000000000003,2026-05-02,2026-05-05
SPMO,HCA,HCA Healthcare Inc,0.0039000000000000003,2026-05-02,2026-05-05
SPMO,WMB,Williams Cos Inc/The,0.0037,2026-05-02,2026-05-05
SPMO,MPWR,Monolithic Power Systems Inc,0.0037,2026-05-02,2026-05-05
SPMO,CAH,Cardinal Health Inc,0.0036,2026-05-02,2026-05-05
SPMO,AEP,American Electric Power Co Inc,0.0036,2026-05-02,2026-05-05
SPMO,COR,Cencora Inc,0.0034999999999999996,2026-05-02,2026-05-05
SPMO,TEL,TE Connectivity PLC,0.0033,2026-05-02,2026-05-05
SPMO,TER,Teradyne Inc,0.0031,2026-05-02,2026-05-05
SPMO,HOOD,Robinhood Markets Inc,0.0026,2026-05-02,2026-05-05
SPMO,ROK,Rockwell Automation Inc,0.0024,2026-05-02,2026-05-05
SPMO,F,Ford Motor Co,0.0023,2026-05-02,2026-05-05
SPMO,ETR,Entergy Corp,0.0022,2026-05-02,2026-05-05
SPMO,IDXX,IDEXX Laboratories Inc,0.0021,2026-05-02,2026-05-05
SPMO,VTR,Ventas Inc,0.0021,2026-05-02,2026-05-05
SPMO,EME,EMCOR Group Inc,0.002,2026-05-02,2026-05-05
SPMO,DG,Dollar General Corp,0.002,2026-05-02,2026-05-05
SPMO,EBAY,eBay Inc,0.0019,2026-05-02,2026-05-05
SPMO,STT,State Street Corp,0.0018,2026-05-02,2026-05-05
SPMO,CBOE,Cboe Global Markets Inc,0.0017000000000000001,2026-05-02,2026-05-05
SPMO,TPR,Tapestry Inc,0.0016,2026-05-02,2026-05-05
SPMO,ADM,Archer-Daniels-Midland Co,0.0016,2026-05-02,2026-05-05
SPMO,CHRW,CH Robinson Worldwide Inc,0.0016,2026-05-02,2026-05-05
SPMO,JBL,Jabil Inc,0.0015,2026-05-02,2026-05-05
SPMO,WEC,WEC Energy Group Inc,0.0015,2026-05-02,2026-05-05
SPMO,CNP,CenterPoint Energy Inc,0.0015,2026-05-02,2026-05-05
SPMO,NTRS,Northern Trust Corp,0.0014000000000000002,2026-05-02,2026-05-05
