ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
VLUE,MU,MICRON TECHNOLOGY INC,0.223,2026-07-23,2026-07-25
VLUE,CSCO,CISCO SYSTEMS INC,0.0442,2026-07-23,2026-07-25
VLUE,GM,GENERAL MOTORS,0.0354,2026-07-23,2026-07-25
VLUE,VZ,VERIZON COMMUNICATIONS INC,0.0271,2026-07-23,2026-07-25
VLUE,T,AT&T INC,0.0246,2026-07-23,2026-07-25
VLUE,BAC,BANK OF AMERICA CORP,0.0214,2026-07-23,2026-07-25
VLUE,F,FORD MOTOR CO,0.0201,2026-07-23,2026-07-25
VLUE,QCOM,QUALCOMM INC,0.0161,2026-07-23,2026-07-25
VLUE,CMCSA,COMCAST CORP CLASS A,0.0159,2026-07-23,2026-07-25
VLUE,C,CITIGROUP INC,0.0157,2026-07-23,2026-07-25
VLUE,PFE,PFIZER INC,0.0156,2026-07-23,2026-07-25
VLUE,CVS,CVS HEALTH CORP,0.0154,2026-07-23,2026-07-25
VLUE,HPE,HEWLETT PACKARD ENTERPRISE,0.0152,2026-07-23,2026-07-25
VLUE,DELL,DELL TECHNOLOGIES INC CLASS C,0.015,2026-07-23,2026-07-25
VLUE,DIS,WALT DISNEY,0.0144,2026-07-23,2026-07-25
VLUE,FDX,FEDEX CORP,0.0127,2026-07-23,2026-07-25
VLUE,WFC,WELLS FARGO,0.0122,2026-07-23,2026-07-25
VLUE,BMY,BRISTOL MYERS SQUIBB,0.0114,2026-07-23,2026-07-25
VLUE,UPS,UNITED PARCEL SERVICE INC CLASS B,0.0109,2026-07-23,2026-07-25
VLUE,ADM,ARCHER DANIELS MIDLAND,0.0103,2026-07-23,2026-07-25
VLUE,PCAR,PACCAR INC,0.0101,2026-07-23,2026-07-25
VLUE,CI,CIGNA,0.0093,2026-07-23,2026-07-25
VLUE,DHI,D R HORTON INC,0.0086,2026-07-23,2026-07-25
VLUE,URI,UNITED RENTALS INC,0.0084,2026-07-23,2026-07-25
VLUE,CRM,SALESFORCE INC,0.0083,2026-07-23,2026-07-25
VLUE,COF,CAPITAL ONE FINANCIAL CORP,0.0081,2026-07-23,2026-07-25
VLUE,CSX,CSX CORP,0.0078,2026-07-23,2026-07-25
VLUE,EOG,EOG RESOURCES INC,0.0077,2026-07-23,2026-07-25
VLUE,KHC,KRAFT HEINZ,0.0077,2026-07-23,2026-07-25
VLUE,ACN,ACCENTURE PLC CLASS A,0.0077,2026-07-23,2026-07-25
VLUE,DVN,DEVON ENERGY CORP,0.0074,2026-07-23,2026-07-25
VLUE,TGT,TARGET CORP,0.0072,2026-07-23,2026-07-25
VLUE,ELV,ELEVANCE HEALTH INC,0.0065,2026-07-23,2026-07-25
VLUE,VLO,VALERO ENERGY CORP,0.0065,2026-07-23,2026-07-25
