ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XLG,NVDA,NVIDIA Corp,0.133264,2026-09-05,2026-09-05
XLG,AAPL,Apple Inc,0.112241,2026-09-05,2026-09-05
XLG,MSFT,Microsoft Corp,0.088821,2026-09-05,2026-09-05
XLG,AMZN,Amazon.com Inc,0.060435,2026-09-05,2026-09-05
XLG,GOOGL,Alphabet Inc,0.047426,2026-09-05,2026-09-05
XLG,AVGO,Broadcom Inc,0.040466,2026-09-05,2026-09-05
XLG,GOOG,Alphabet Inc,0.037874,2026-09-05,2026-09-05
XLG,META,Meta Platforms Inc,0.032348,2026-09-05,2026-09-05
XLG,MU,Micron Technology Inc,0.027383,2026-09-05,2026-09-05
XLG,TSLA,Tesla Inc,0.023801,2026-09-05,2026-09-05
XLG,JPM,JPMorgan Chase & Co,0.022952,2026-09-05,2026-09-05
XLG,BRK/B,Berkshire Hathaway Inc,0.022164,2026-09-05,2026-09-05
XLG,LLY,Eli Lilly & Co,0.021753,2026-09-05,2026-09-05
XLG,AMD,Advanced Micro Devices Inc,0.018606,2026-09-05,2026-09-05
XLG,JNJ,Johnson & Johnson,0.015897,2026-09-05,2026-09-05
XLG,XOM,ExxonMobil Holdings Corp,0.015884,2026-09-05,2026-09-05
XLG,V,Visa Inc,0.014868,2026-09-05,2026-09-05
XLG,INTC,Intel Corp,0.011302,2026-09-05,2026-09-05
XLG,WMT,Walmart Inc,0.011244,2026-09-05,2026-09-05
XLG,MA,Mastercard Inc,0.011158,2026-09-05,2026-09-05
XLG,ABBV,AbbVie Inc,0.010823,2026-09-05,2026-09-05
XLG,CSCO,Cisco Systems Inc,0.010299,2026-09-05,2026-09-05
XLG,BAC,Bank of America Corp,0.009823,2026-09-05,2026-09-05
XLG,COST,Costco Wholesale Corp,0.009715,2026-09-05,2026-09-05
XLG,PLTR,Palantir Technologies Inc,0.00956,2026-09-05,2026-09-05
XLG,CVX,Chevron Corp,0.009404,2026-09-05,2026-09-05
XLG,LRCX,Lam Research Corp,0.009192,2026-09-05,2026-09-05
XLG,CAT,Caterpillar Inc,0.008957,2026-09-05,2026-09-05
XLG,MRK,Merck & Co Inc,0.008866,2026-09-05,2026-09-05
XLG,AMAT,Applied Materials Inc,0.00863,2026-09-05,2026-09-05
XLG,UNH,UnitedHealth Group Inc,0.008617,2026-09-05,2026-09-05
XLG,GE,General Electric Co,0.008402,2026-09-05,2026-09-05
XLG,PG,Procter & Gamble Co/The,0.008144,2026-09-05,2026-09-05
XLG,KO,Coca-Cola Co/The,0.008144,2026-09-05,2026-09-05
XLG,NFLX,Netflix Inc,0.007868,2026-09-05,2026-09-05
XLG,HD,Home Depot Inc/The,0.007693,2026-09-05,2026-09-05
XLG,GS,Goldman Sachs Group Inc/The,0.007329,2026-09-05,2026-09-05
XLG,PM,Philip Morris International Inc,0.00679,2026-09-05,2026-09-05
XLG,WFC,Wells Fargo & Co,0.006576,2026-09-05,2026-09-05
XLG,ORCL,Oracle Corp,0.006434,2026-09-05,2026-09-05
XLG,MS,Morgan Stanley,0.006231,2026-09-05,2026-09-05
XLG,SNDK,Sandisk Corp,0.006133,2026-09-05,2026-09-05
XLG,GEV,GE Vernova Inc,0.006043,2026-09-05,2026-09-05
XLG,KLAC,KLA Corp,0.00579,2026-09-05,2026-09-05
XLG,TXN,Texas Instruments Inc,0.005618,2026-09-05,2026-09-05
XLG,IBM,International Business Machines Corp,0.005308,2026-09-05,2026-09-05
XLG,LIN,Linde PLC,0.005292,2026-09-05,2026-09-05
XLG,VZ,Verizon Communications Inc,0.005001,2026-09-05,2026-09-05
XLG,PEP,PepsiCo Inc,0.00454,2026-09-05,2026-09-05
XLG,MCD,McDonald's Corp,0.00437,2026-09-05,2026-09-05
XLG,QCOM,QUALCOMM Inc,0.004272,2026-09-05,2026-09-05
