ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XMMO,CW,Curtiss-Wright Corp,0.042745,2026-08-04,2026-08-05
XMMO,ATI,ATI Inc,0.035244,2026-08-04,2026-08-05
XMMO,FTI,TechnipFMC PLC,0.034645,2026-08-04,2026-08-05
XMMO,WWD,Woodward Inc,0.02764,2026-08-04,2026-08-05
XMMO,NVT,nVent Electric PLC,0.027426,2026-08-04,2026-08-05
XMMO,ROIV,Roivant Sciences Ltd,0.02418,2026-08-04,2026-08-05
XMMO,CRS,Carpenter Technology Corp,0.02408,2026-08-04,2026-08-05
XMMO,RGLD,Royal Gold Inc,0.023851,2026-08-04,2026-08-05
XMMO,STRL,Sterling Infrastructure Inc,0.023563,2026-08-04,2026-08-05
XMMO,FN,Fabrinet,0.023113,2026-08-04,2026-08-05
XMMO,TTMI,TTM Technologies Inc,0.02279,2026-08-04,2026-08-05
XMMO,MKSI,MKS Inc,0.02254,2026-08-04,2026-08-05
XMMO,MLI,Mueller Industries Inc,0.022219,2026-08-04,2026-08-05
XMMO,ARWR,Arrowhead Pharmaceuticals Inc,0.020837,2026-08-04,2026-08-05
XMMO,APG,API Group Corp,0.019148,2026-08-04,2026-08-05
XMMO,NXT,Nextpower Inc,0.019028,2026-08-04,2026-08-05
XMMO,BWXT,BWX Technologies Inc,0.018319,2026-08-04,2026-08-05
XMMO,RBC,RBC Bearings Inc,0.01743,2026-08-04,2026-08-05
XMMO,HL,Hecla Mining Co,0.017129,2026-08-04,2026-08-05
XMMO,AEIS,Advanced Energy Industries Inc,0.016924,2026-08-04,2026-08-05
XMMO,DY,Dycom Industries Inc,0.016653,2026-08-04,2026-08-05
XMMO,RBA,RB Global Inc,0.016621,2026-08-04,2026-08-05
XMMO,WPC,WP Carey Inc,0.016491,2026-08-04,2026-08-05
XMMO,WCC,WESCO International Inc,0.016261,2026-08-04,2026-08-05
XMMO,MTZ,MasTec Inc,0.016211,2026-08-04,2026-08-05
XMMO,KTOS,Kratos Defense & Security Solutions Inc,0.015905,2026-08-04,2026-08-05
XMMO,MTSI,MACOM Technology Solutions Holdings Inc,0.01504,2026-08-04,2026-08-05
XMMO,ELAN,Elanco Animal Health Inc,0.014809,2026-08-04,2026-08-05
XMMO,AHR,American Healthcare REIT Inc,0.014385,2026-08-04,2026-08-05
XMMO,NLY,Annaly Capital Management Inc,0.013972,2026-08-04,2026-08-05
XMMO,FIVE,Five Below Inc,0.013502,2026-08-04,2026-08-05
XMMO,AMG,Affiliated Managers Group Inc,0.013475,2026-08-04,2026-08-05
XMMO,BWA,BorgWarner Inc,0.013328,2026-08-04,2026-08-05
XMMO,CACI,CACI International Inc,0.012703,2026-08-04,2026-08-05
XMMO,OHI,Omega Healthcare Investors Inc,0.012677,2026-08-04,2026-08-05
XMMO,DCI,Donaldson Co Inc,0.012382,2026-08-04,2026-08-05
XMMO,DINO,HF Sinclair Corp,0.012136,2026-08-04,2026-08-05
XMMO,SGI,Somnigroup International Inc,0.011981,2026-08-04,2026-08-05
XMMO,LECO,Lincoln Electric Holdings Inc,0.011862,2026-08-04,2026-08-05
XMMO,TLN,Talen Energy Corp,0.011043,2026-08-04,2026-08-05
XMMO,DTM,DT Midstream Inc,0.010734,2026-08-04,2026-08-05
XMMO,NYT,New York Times Co/The,0.010481,2026-08-04,2026-08-05
XMMO,ORA,Ormat Technologies Inc,0.010104,2026-08-04,2026-08-05
XMMO,FCFS,FirstCash Holdings Inc,0.010021,2026-08-04,2026-08-05
XMMO,ENS,EnerSys,0.009821,2026-08-04,2026-08-05
XMMO,WTS,Watts Water Technologies Inc,0.009762,2026-08-04,2026-08-05
XMMO,AA,Alcoa Corp,0.009567,2026-08-04,2026-08-05
XMMO,MEDP,Medpace Holdings Inc,0.009435,2026-08-04,2026-08-05
XMMO,RMBS,Rambus Inc,0.009118,2026-08-04,2026-08-05
XMMO,UGI,UGI Corp,0.008293,2026-08-04,2026-08-05
XMMO,PEN,Penumbra Inc,0.008272,2026-08-04,2026-08-05
XMMO,SPXC,SPX Technologies Inc,0.008196,2026-08-04,2026-08-05
XMMO,CMC,Commercial Metals Co,0.008051,2026-08-04,2026-08-05
XMMO,IDA,IDACORP Inc,0.007256,2026-08-04,2026-08-05
XMMO,VMI,Valmont Industries Inc,0.007205,2026-08-04,2026-08-05
XMMO,MP,MP Materials Corp,0.006696,2026-08-04,2026-08-05
XMMO,AMKR,Amkor Technology Inc,0.006301,2026-08-04,2026-08-05
XMMO,ALV,Autoliv Inc,0.006148,2026-08-04,2026-08-05
XMMO,NEU,NewMarket Corp,0.006116,2026-08-04,2026-08-05
XMMO,NFG,National Fuel Gas Co,0.005981,2026-08-04,2026-08-05
XMMO,BKH,Black Hills Corp,0.005315,2026-08-04,2026-08-05
XMMO,POR,Portland General Electric Co,0.005296,2026-08-04,2026-08-05
XMMO,TXNM,TXNM Energy Inc,0.005237,2026-08-04,2026-08-05
XMMO,AM,Antero Midstream Corp,0.005181,2026-08-04,2026-08-05
XMMO,CELH,Celsius Holdings Inc,0.004926,2026-08-04,2026-08-05
XMMO,FHI,Federated Hermes Inc,0.004917,2026-08-04,2026-08-05
XMMO,NXST,Nexstar Media Group Inc,0.004827,2026-08-04,2026-08-05
XMMO,WFRD,Weatherford International PLC,0.004522,2026-08-04,2026-08-05
XMMO,CNX,CNX Resources Corp,0.004414,2026-08-04,2026-08-05
XMMO,SR,Spire Inc,0.004179,2026-08-04,2026-08-05
XMMO,BCO,Brink's Co/The,0.004012,2026-08-04,2026-08-05
XMMO,SBRA,Sabra Health Care REIT Inc,0.003698,2026-08-04,2026-08-05
XMMO,EPR,EPR Properties,0.003572,2026-08-04,2026-08-05
XMMO,AVAV,AeroVironment Inc,0.00354,2026-08-04,2026-08-05
XMMO,TNL,Travel + Leisure Co,0.003323,2026-08-04,2026-08-05
