ETF_Ticker,ticker,name,weight,Holdings_As_Of,Date_Scraped
XSMO,VSAT,Viasat Inc,0.033899,2026-06-24,2026-06-26
XSMO,ESE,ESCO Technologies Inc,0.029738,2026-06-24,2026-06-26
XSMO,KRYS,Krystal Biotech Inc,0.026216,2026-06-24,2026-06-26
XSMO,FORM,FormFactor Inc,0.024061,2026-06-24,2026-06-26
XSMO,BTSG,BrightSpring Health Services Inc,0.023886,2026-06-24,2026-06-26
XSMO,SNEX,StoneX Group Inc,0.023433,2026-06-24,2026-06-26
XSMO,POWL,Powell Industries Inc,0.022648,2026-06-24,2026-06-26
XSMO,MRCY,Mercury Systems Inc,0.021452,2026-06-24,2026-06-26
XSMO,ACMR,ACM Research Inc,0.021075,2026-06-24,2026-06-26
XSMO,PTGX,Protagonist Therapeutics Inc,0.020928,2026-06-24,2026-06-26
XSMO,INDV,Indivior Pharmaceuticals Inc,0.020765,2026-06-24,2026-06-26
XSMO,MYRG,MYR Group Inc,0.020433,2026-06-24,2026-06-26
XSMO,GVA,Granite Construction Inc,0.017718,2026-06-24,2026-06-26
XSMO,LGND,Ligand Pharmaceuticals Inc,0.016972,2026-06-24,2026-06-26
XSMO,PRIM,Primoris Services Corp,0.016342,2026-06-24,2026-06-26
XSMO,PTCT,PTC Therapeutics Inc,0.016229,2026-06-24,2026-06-26
XSMO,PLXS,Plexus Corp,0.016102,2026-06-24,2026-06-26
XSMO,LUMN,Lumen Technologies Inc,0.016073,2026-06-24,2026-06-26
XSMO,PSMT,PriceSmart Inc,0.015981,2026-06-24,2026-06-26
XSMO,MSGS,Madison Square Garden Sports Corp,0.014692,2026-06-24,2026-06-26
XSMO,NPO,Enpro Inc,0.013442,2026-06-24,2026-06-26
XSMO,AIR,AAR Corp,0.013284,2026-06-24,2026-06-26
XSMO,AWI,Armstrong World Industries Inc,0.01285,2026-06-24,2026-06-26
XSMO,AX,Axos Financial Inc,0.012765,2026-06-24,2026-06-26
XSMO,ENVA,Enova International Inc,0.011846,2026-06-24,2026-06-26
XSMO,AZZ,AZZ Inc,0.011674,2026-06-24,2026-06-26
XSMO,MCY,Mercury General Corp,0.011439,2026-06-24,2026-06-26
